"","x1","x2","Substrate","treatment","N","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","sqEndochit (pmol g-1 min-1)","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE13Cresp","sqAPE13Cresp","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg",NA,NA,NA,NA,NA,3,387.95641768,19.086110744,116.92500972,10.7334655992,109.70325236,10.47367282,110.30148572,10.501346716,121.09035388,10.98732844,129.14624828,11.336859302,94.11556551,9.7000600866,46.49221096,6.7488195536,72.427644866,8.4297604794,94.433538552,9.7009358246,119.75355402,10.915693618,NA,NA,NA,NA,82.035775432,8.763211962,69.48597039,8.18192395275,131.64609964,10.71580432075,111.64971372,10.4888348935,152.45109175,12.329941165,170.473537,12.991468495,141.98170855,11.914370095,146.92041945,12.119407355,129.3038558,11.36932643,109.5215236,10.46309427,126.2036525,11.208700095,99.989636025,9.997722561,101.18887544,10.0578835695,88.82014587,9.423371099,0.0855116085,0.292333404,0.4061814125,0.63128023525,304.33969565,17.33596512,8.75526178275
"ck",NA,NA,NA,NA,NA,3,158.05196406,12.359292874,87.36748849,9.2957331744,114.17586706,10.680646634,117.53205642,10.835327512,86.450798736,9.2915092266,90.129105376,9.4858408152,96.122128932,9.8034148074,160.46390644,12.529621454,101.08204066,10.0363290074,105.765131636,10.2813671708,140.64110216,11.819538664,NA,NA,NA,NA,104.957692664,10.2423894708,160.28216667,12.1776635216,182.50057448,13.335532812,107.25042678,10.348887812,102.08262892,10.0503009495,93.111923865,9.4002986685,107.90925591,10.378501074,79.59946203,8.9163686565,78.59370478,8.865126109,99.8234842,9.9896973955,87.06195881,9.2316802615,107.62978456,10.3637982165,80.26292468,8.9464124355,79.997085595,8.9145414385,0.0359161225,0.188876008,0.3139967515,0.5598817415,481.43159915,21.8980496425,5.00011435325
"dg",NA,NA,NA,NA,NA,3,26516.557696,162.7177749,87.735386584,9.3495421976,123.96530812,11.125697088,1920.4643188,43.785053156,108.940526726,10.432289158,208.999892,14.45682856,51.98501589,7.210063515,76.720033324,8.7414533406,53.851787496,7.3353532378,104.60885886,10.22660821,59.628840716,7.671061466,NA,NA,NA,NA,115.27405764,10.733615284,NA,NA,NA,NA,107.681771875,10.3728802025,107.597389226667,10.3562160786667,100.599399246667,9.864602925,106.48817404,10.3151078606667,233.159349133333,15.2608169566667,202.9712141,14.23544845,95.5851799066667,9.77406734166667,91.4321218933333,9.44851801033333,92.7868230033333,9.63226116266667,198.603945233333,14.09228133,172.3621686,13.1272817966667,0.418288397333333,0.645543422,1.06592735675,1.031407929,192.796181666667,13.85636876,-0.00425838625000008
"dk",NA,NA,NA,NA,NA,3,17662.7987525,132.175320075,153.903949266,11.6624422946,113.656254852,10.6451315742,2177.4680268,46.115059644,85.41741051,9.2402505312,106.43535944,10.08061330325,94.972227795,9.5402705555,113.923055904,10.5840431816,81.295343632,8.9995330494,99.530778234,9.969555922,69.676000098,8.3206032144,NA,NA,NA,NA,106.975302092,10.3390564234,NA,NA,330.2452105,18.0449074625,104.8103284125,10.2325372425,115.26947485,10.72604673,147.34515275,12.13009288,96.230772,9.797472796,104.42430034,10.216510487,102.05515598,10.10125632,105.55055665,10.27288705,135.203569,11.627487785,88.137066455,9.3864794585,97.29487427,9.8502418225,94.9380996,9.7336862275,0.139760983,0.371636418,0.59196436375,0.76835798525,234.800491125,15.2810186275,0.647057136
"wg",NA,NA,NA,NA,NA,3,280.716691106,16.0604445826,136.99782379,11.6150182162,83.463061192,9.1111307146,83.47676448,9.114109967,89.964194116,9.3508225002,97.680526882,9.633901,98.746156498,9.898539643,90.76152877,9.4539874812,102.527674778,9.9858876182,104.626134954,10.2206746478,105.426046658,10.2591834976,158.1782142,12.563500196,145.33162294,12.047825994,90.612640664,9.5144657952,74.33544619,8.16487692575,127.892713998,11.2618671918,126.5358879025,11.207153955,90.457269135,9.509593295,65.522958595,8.0746202795,106.38723735,10.31431216,121.07097815,10.983648665,118.316563,10.851736375,97.553723675,9.8764654235,73.233644105,8.540470438,112.0731454,10.58575722,124.5454344,11.144482645,121.38395815,10.996467745,0.081972436,0.2836889345,0.43262405825,0.65466143625,413.510637966667,20.2866204266667,23.7334650925
"wk",NA,NA,NA,NA,NA,3,120.835412794,10.4708310692,78.035827494,8.8216167984,90.071257552,9.4336861128,88.979608,9.3898586646,87.229885536,9.3383878426,81.905765618,9.0461189422,106.84158908,10.334628806,165.78177656,12.801545178,137.264710896,11.6103026276,112.10763116,10.581443804,135.13418418,11.622261712,136.8216405,11.69584679,136.9572306,11.699820218,101.416395368,10.0609301158,91.20860689,9.5138501316,193.6474991,13.888466178,131.539787725,11.44423382,92.374379665,9.609142878,107.594848695,10.36478825,83.094709655,9.11494193,47.797003585,6.913272071,49.4075981,7.028946601,112.7092606,10.61598303,131.0440939,11.446999525,101.509411035,10.073523906,59.02276055,7.6767273585,60.947540805,7.801843543,0.111960436,0.3331142055,0.3594261515,0.59804765575,190.060792025,13.7681161875,29.08627024325
"xg",NA,NA,NA,NA,NA,3,26582.020544,163.0178096,119.821804278,10.8072019694,111.17417556,10.542197836,1613.1886724,40.124138708,99.542695868,9.9686154812,197.383484412,13.0701762022,98.400605156,9.1175694416,88.570334236,9.3695874576,71.88527002,8.452880798,103.772623332,10.1765248634,62.998443298,7.818074337,149.247649276,12.0834944544,141.373997416,11.8508744882,98.281783842,9.891719704,NA,NA,NA,NA,122.325752325,11.047886695,122.788719555,11.018130734,145.183154075,11.855225903,108.463185395,10.4050529425,184.08400935,13.56300163,155.90162385,12.48461896,103.345942075,10.161706988,124.037858865,11.0766921305,90.986855795,9.5326020305,151.8403738,12.30568705,128.73488305,11.323454415,0.160732911,0.4009076055,1.00174795575,0.99854171925,562.516220475,23.681792925,15.90856256125
"xk",NA,NA,NA,NA,NA,3,18773.932836,136.85059532,129.023579352,10.845763435,105.659365698,10.2776634842,1877.7085022,43.306635306,85.383193334,9.2388709962,97.577306155,9.733939998,99.400078,9.81270998175,132.93934028,11.519680372,103.544003834,10.1646434832,112.11555368,10.587798176,90.288891644,9.4945572026,142.9911933,11.95320239,128.4022199,11.328136862,82.40565781,9.0754995198,NA,NA,NA,NA,121.58013765,11.02250754,97.16834597,9.857400569,117.0635915,10.81959295,85.28944301,9.235228368,67.30713853,8.204092792,62.44772158,7.902387081,98.005884685,9.8953428775,113.8099505,10.65408257,88.946026845,9.430220412,75.344649085,8.6788199615,69.534846445,8.3378025815,0.1096000485,0.3307354035,0.64594235,0.8036717445,364.39029625,19.0826334975,17.4279622525
