"G0","G0","G"
"G1","G1","G"
"G2","G2","G"
"G3:1a","G3","G"
"G2:1","G2","G"
"G3:1b","G2","G"
"S0","S0","S"
"G3:1c","G3","G"
"S1","S1","S"
"S2","S2","S"
"S3:1a","S3","S"
"S2:1","S2","S"
"G1=O","Go","G"
"G3=O/-OH","Go","G"
"S3:1b","S3","S"
"G3","G3","G"
"G3=O","Go","G"
"S3:1c","S3","S"
"S1=O","So","S"
"S3=O/-OH","So","S"
"GAc","Go","G"
"S3","S3","S"
"S3=O","So","S"
"G3:1=O","Go","G"
"G3:1-OH","Go","G"
"SAc","So","S"
"S3:1=O","So","S"
