"name","N-methyl-pyrrol","pyridine","methylpyridine1","methylpyridine2","pyrrole","methylpyrrol1","methylpyrrol2","Pyridol","Indole","Methylindole"
"RT",,,,,,,,,,
"MW",,,,,,,,,,
"m/z",,,,,,,,,,
"class","p","p","p","p","p","p","p","p","ind","ind"
"origin","N","N","N","N","N","N","N","N","N","N"
"tic",5.4743220269,1.6763104903,1.4113710874,0.5530547433,1.8853371611,1.8407913815,2.2955035346,2.1142456847,2.9698643238,0
"exclude",F,F,F,F,F,F,F,F,F,F
,,,,,,,,,,
"sim",,,,,,,,,,
"Filename","Area","Area","Area","Area","Area","Area","Area","Area","Area","Area"
"OS-4-B",3401241,5228355,1168092,785562,8783484,3729858,5262679,14703535,5124625,3890097
"OS-4-C",6549199,8690833,1986403,1385882,15230295,6230104,8101518,27239299,7709501,5870168
"OS-4-D",4998541,6521569,1561319,1035345,11493104,5050579,6435526,21780855,5838125,4571407
"OS-4-E",4407337,6140502,1427550,956455,10230870,4495873,6094577,17741138,5840448,4230555
"SW-0-A",3739605,6918153,1713672,1029214,13586139,5374781,5631578,29878751,7181574,4994716
"SW-0-B",4025806,7025399,1777435,1069213,14376394,5804685,5855586,32365252,7571606,5456300
"SW-0-C",3255979,5823174,1485069,922210,11357107,4918697,5241601,23180076,6538511,4674185
"SW-0-D",3758630,6823325,1695561,1033639,13253146,5408076,5573155,28538771,7104811,5096218
"SW-2-A",5705675,8933873,2260108,1485443,17758868,7161160,8181372,25220007,10238966,7272787
"SW-2-B",10010885,13486446,3412453,2074526,26897998,9916258,10610843,41528460,13611133,10061886
"SW-2-C",1629610,3236462,804311,508008,5441194,2551885,3106702,8062833,3970705,2633917
"SW-2-D",3846804,6561989,1615641,989200,12187338,5094989,5948051,17986118,7393432,5211130
"SW-2-E",5593329,8619658,2125850,1382064,17162732,6893232,7661566,28145493,9866138,7026882
"SW-3-A",8115697,11089456,2585792,1709315,20463832,7728978,8614688,28669018,10937665,7912555
"SW-3-B",5121317,8023628,1899832,1249770,14426619,6178095,7331351,17757244,8678543,6255332
"SW-3-C",11464992,14620708,3655600,2385465,29216914,10463280,11538148,33789047,15431010,10874254
"SW-3-D",12259407,15798685,3935498,2549924,31211765,11390503,12327655,42104572,16537125,11562753
"SW-3-E",7614141,10824615,2688492,1771171,21311155,8418675,9445834,26803077,12139663,8762120
"SW-4-A",3876863,6441880,1656288,1110752,11844145,5304115,6429058,15073740,8332887,5929109
"SW-4-B",11616550,15114769,3907707,2565915,30948838,11701158,13076860,39397158,16532724,12450234
"SW-4-C",13542881,17161120,4441262,2810650,34842924,12914891,14814734,44549557,19668707,14893871
"SW-4-D",3631284,6204541,1518861,1009571,11076043,4846233,6078676,13764998,7796171,5532541
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"tic",,,,,,,,,,
"Filename","Area","Area","Area","Area","Area","Area","Area","Area","Area",
"AK-0-A",28123907,11353886,2225278,650934,23289630,11345400,15297953,61529752,31144163,
"AK-0-B",39567835,13173911,3103432,440361,26073476,12925489,17228768,72371520,36122141,
"AK-0-C",39997927,17517056,3716596,457332,34566551,17124327,21187606,93831160,43136148,
"AK-0-D",23365767,9918597,1813876,337654,19906667,10616470,13957510,56697719,27833030,
"AK-2-A","NF",13238617,2182085,560177,25528863,9945992,19027836,36679891,31771811,
"AK-2-B","NF",8025015,1328796,196128,16958586,6666620,12898369,25247432,23801354,
"AK-2-C","NF",6414407,453874,35936,14302210,5201955,9978355,16827401,16502039,
"AK-2-D","NF",15120728,2335657,587782,30184024,11371750,21414273,59314955,42328652,
"AK-2-E","NF",12065278,2025545,389051,23260875,9241574,17937641,41065615,30183296,
"AK-3-A","NF",11651083,1966397,720669,22582801,9316555,16834587,34639772,25791956,
"AK-3-B","NF",12066261,1822933,499650,24549461,10232650,17914594,34155324,26868828,
"AK-3-C","NF",15298219,2521751,769470,29369047,13258484,20969497,44400341,36985028,
"AK-3-D","NF",7320953,650908,189207,14410366,5818913,10779236,17744201,15484706,
"AK-3-E","NF",9921476,1639222,340886,20402753,8293031,15758621,31487899,24533673,
"AK-4-A",34608020,12148851,2354618,702376,23264684,10794305,17661187,36979407,25999570,
"AK-4-B","NF",7582673,1469489,569504,25648664,8388493,11420814,25156770,19750458,
"AK-4-C","NF",15794987,4889452,1894603,34491882,20509692,23347786,57218368,44223061,
"AK-4-D","NF",11997610,4387447,1869093,26111949,18918074,18201194,41810572,37096210,
"AK-4-E","NF",6453680,1343075,698034,23485523,7373044,10754529,19223219,18151901,
"KL-0-A",23658189,10997835,2688628,726436,24146136,10299818,14170149,67272954,17016287,
"KL-0-B","NF",9374836,2258066,1456936,20451199,9283334,11181778,57029315,13760951,
"KL-0-C",18152324,8006440,1780991,327928,19573988,8022630,10991261,48957522,13047948,
"KL-0-D","NF",9170660,2134312,1404315,19872114,9134621,11863853,53421129,13927952,
"KL-2-A",32436810,14550441,2949362,588641,32273859,10261460,19358276,52579789,22874449,
"KL-2-B","NF",8019167,1378061,831551,17837927,7075000,11309932,25432737,12907514,
"KL-2-C",32715378,13604552,3046342,312715,30728202,11874762,18268225,50513213,22368579,
"KL-2-D",23224932,10783112,2370371,392479,22926414,8408410,15090476,29501751,16491268,
"KL-3-A",55681275,23575072,4252749,"NF",52566416,16810475,27436289,64585900,28542642,
"KL-3-B",16976394,7924518,1275984,"NF",16980134,6004163,10297705,21766802,11050614,
"KL-3-C","NF",5992630,933113,533516,14847257,4930769,9048587,20443339,9632290,
"KL-3-D","NF",5345868,743188,865744,10357640,4423211,7587875,14397728,8528896,
"KL-3-E",33065609,14223458,2517658,662210,28521656,11629292,17584840,39005413,19178434,
"KL-4-A",30993132,12880645,2872921,1803649,28647688,10833008,16009198,46825493,19149402,
"KL-4-B",17580428,7536701,1254893,519697,23350384,5611177,10528673,27081084,11665927,
"KL-4-C",21887760,10077341,1843775,1766482,20609524,8759289,13084242,33421153,15265571,
"KL-4-D",24272032,10868203,2068375,1597430,23780240,8945385,13738326,38702787,15964905,
"KL-4-E","NF",15483586,3095282,1221263,33138939,12639595,19266862,53439318,22888969,
"OS-0-A","NF",16834819,3141293,82069,32534462,16271404,19888593,101585883,38861001,
"OS-0-B",37848410,14963585,2707794,"NF",29131530,12220205,19115085,90698228,37301299,
"OS-0-C",54262621,21187474,4855441,107596,40143545,18820775,24339637,126943065,45747975,
"OS-0-D",11944026,6570906,1407580,"NF",12231369,6762919,8919828,37546696,15896435,
"OS-2-A","NF",9653079,712951,"NF",16201113,6188211,13411032,31890987,23022468,
"OS-2-B",62318327,24211083,3346843,"NF",42470147,16730751,29651241,82231167,56246279,
"OS-2-c","NF",7873735,1344560,264054,14534478,6441685,11814290,23103123,20265778,
"OS-2-D",23760222,9375240,1115617,252731,17351297,6797297,13614395,30629816,21329311,
"OS-2-E","NF",5809893,1224914,442632,12365241,5354465,8822578,21675763,17426604,
"OS-3-A","NF",9048536,1228469,417763,16150021,7349791,12745316,18964544,22332700,
"OS-3-B","NF",13723962,2216306,235354,25336336,11133559,19265351,45998811,32552987,
"OS-3-C","NF",12904420,1886490,"NF",23907465,10031324,17141781,37466682,30332984,
"OS-3-D","NF",5939865,1038069,121946,11884732,4744046,8965970,17703841,14830895,
"OS-3-E","NF",16518067,2318835,"NF",29186069,11408880,23432543,41968846,34080572,
"OS-4-A",50727019,19274637,3788294,534108,38437588,16409706,25339150,80017322,43959827,
"OS-4-B",20369527,8704556,1606045,568296,16604199,7485223,12716148,31037715,19441526,
"OS-4-C",30874671,14690293,3261235,1319181,28696319,13634237,19495689,57899118,32170031,
"OS-4-D","NF",10932184,2268946,1587921,21910982,10334131,15711019,45774094,23664542,
"OS-4-E",25102657,10293379,2087296,472192,19118821,7198823,14466956,37568453,21424139,
"SW-0-A",19755152,11329495,2986220,831998,25274769,10122450,13767842,61678416,13999883,
"SW-0-B",20106445,11730901,2911680,1195379,26330208,10548217,14484317,67445428,14441548,
"SW-0-C",17032109,9485038,2403992,1466148,21282200,9449254,12402238,49464225,12360597,
"SW-0-D",20575951,11221120,2877020,471875,24769238,11199873,14315688,59319001,13731818,
"SW-2-A",26803925,15475935,4439051,975005,32793157,13780126,18135033,54880009,19946441,
"SW-2-B",44567303,23442565,6158891,253087,48880221,18675198,25425127,92061885,27755342,
"SW-2-C","NF",4906680,763511,272738,9681113,4068506,6803158,17161756,7592233,
"SW-2-D",19458646,10892222,3004707,1412533,22578946,9983240,13656844,34938838,14268357,
"SW-2-E",25835694,14917884,3556917,674321,31080357,12365816,17168028,61521488,18892961,
"SW-3-A",23500737,19137278,5624864,384319,37586563,13958502,18981680,56910503,21807404,
"SW-3-B",25439571,13820292,3834908,1467268,26202727,11093839,15158402,34431399,16625411,
"SW-3-C",45858125,25674095,6236719,"NF",55071808,17965844,26875886,66582933,29794333,
"SW-3-D",49283161,28491718,7284003,"NF",58372949,21292939,28019088,84081022,30921467,
"SW-3-E",33172327,19168849,4925978,537950,38436131,15085210,20974860,52518856,22685652,
"SW-4-A",21623808,10675130,2447456,970776,22475720,10253189,13734472,32086973,14440900,
"SW-4-B",50742114,27693838,6320501,1674407,57191062,21996199,28264196,91286988,30261913,
"SW-4-C",58364629,30599551,7499960,747751,64864574,23733789,31024666,104976872,36564059,
"SW-4-D",17287383,10378880,2355714,1877003,22183688,9066818,12498635,29407955,13745607,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"tic/sim",,,,,,,,,,
"AK-0-A",5.9214470832,1.6792626434,1.3850852732,0.5692321146,1.9355040576,1.982897522,2.2926841002,2.0781159258,4.6003235749,0
"AK-0-B",7.3191698938,1.6805119128,1.6898576372,0.3474311565,1.9035489995,2.0793570051,2.3997898397,2.0949453767,4.7936390375,0
"AK-0-C",5.5829458684,1.7320186105,1.5755992549,0.2831112699,1.9111826231,2.0617329375,2.420395628,2.0450200041,4.6938050278,0
"AK-0-D",5.8409832328,1.6113462948,1.2970125913,0.3571425549,1.8554951753,2.1008389726,2.336466308,2.1901760818,4.4907505933,0
"AK-2-A",,1.672036139,1.2779579005,0.4676344755,1.9551964359,1.5874976717,2.2692987165,2.252522458,3.6375555921,0
"AK-2-B",,1.6475929482,1.2741575749,0.260993844,2.0396506999,1.7330543789,2.2949870788,2.127188299,3.6369294815,0
"AK-2-C",,1.6174846205,0.5645444764,0.0637060332,2.2939795389,1.6342905525,2.1585495357,2.2784533479,3.4482004289,0
"AK-2-D",,1.6847598414,1.1844408755,0.4314822876,1.8450267967,1.577446021,2.2996713662,2.199512002,4.3184649485,0
"AK-2-E",,1.6806395895,1.2776166907,0.3523936074,1.9384908974,1.5995446574,2.3055868606,2.2287952561,3.897672099,0
"AK-3-A",,1.6506845666,1.2735434925,0.6766209746,1.90611119,1.6472844676,2.1851969685,2.2178420549,3.3868076578,0
"AK-3-B",,1.6074260518,1.1770912702,0.4524368567,1.9658171721,1.7153302597,2.2553848455,2.0294614037,3.4783014171,0
"AK-3-C",,1.642529657,1.313482442,0.5703385697,1.901372412,1.9041138876,2.2892423987,1.9750015213,4.1416122365,0
"AK-3-D",,1.5512343951,0.6845941392,0.2813687817,2.0482245855,1.6543890155,2.1328554449,1.8952065404,3.1314377445,0
"AK-3-E",,1.5644973743,1.2145363048,0.3572213763,1.9221581076,1.6462014139,2.3373325587,2.0515535936,3.6652411765,0
"AK-4-A",6.7498184213,1.680179817,1.4208831905,0.5989427753,1.902455104,1.756394738,2.1076146604,2.3698946393,2.8082909031,0
"AK-4-B",,1.6369718579,1.4290622578,0.7897777544,3.2611126453,2.2143287795,2.0685923128,2.141554132,3.5122952379,0
"AK-4-C",,1.6543750532,2.177093695,1.2097972606,1.9077831591,2.6495489369,2.2744085198,2.1460006944,4.3855394911,0
