"","name","RT","MW","m/z","class","origin","tic","exclude","","sim"
"unk23","unknown_20.85","","","","unk","unk","7.9403920167","F","",""
"unk24","unknown_20.86","","","","unk","unk","0","F","",""
"unk25","unknown_22.43","","","","unk","unk","3.879169543","F","",""
"al26","unknown_alkyl_22.82","","","","al","unk","12.4633994945","F","",""
"o27","hexan2,4dione,_-enol_23.92","","","","o","unk","1.1928004505","F","",""
"bf28","benzofuran_26.19","","","","bf","unk","1.4484175162","F","",""
"unk29","unknown_27.76","","","","unk","unk","163.6031069473","F","",""
"g1","G0","18.87","124","109+124","g","L","2.482302165","F","",""
"g2","G1","20.32","138","123+138","g","L","1.929272649","F","",""
"g3","G2","21.4","152","137+152","g","L","2.177237752","F","",""
"g4","G3:1a","23.29","164","149+164","g","L","3.302724171","F","",""
"g5","G2:1","23.69","150","135+150","g","L","2.051260701","F","",""
"g6","G3:1b","24.48","164","149+164","g","L","14.19963294","F","",""
"sy7","S0","24.58","154","139+154","sy","L","2.366406583","F","",""
"g8","G3:1c","25.66","164","149+164","g","L","5.008086329","F","",""
"sy9","S1","25.67","168","153+168","sy","L","0","F","",""
"sy10","S2","26.39","182","167+182","sy","L","1.704106475","F","",""
"ph11","Ph3:1b","27.76","134","133+134","ph","Ph","4.779585604","F","",""
"sy12","S3:1a","27.97","194","179+194","sy","L","4.583376624","F","",""
"sy13","S2:1","28.37","180","165+180","sy","L","5.098561495","F","",""
"g14","G1=O","28.4","152","109+152","g","L","0","F","",""
"g15","G3","28.72","166","137+166","g","L","1.46713684","F","",""
"g16","G3=O/-OH","28.77","182","182","g","L","20.4516478","F","",""
"sy17","S3:1b","28.91","194","179+194","sy","L","2.712633878","F","",""
"g18","G2=O","29.2","166","151+166","g","L","1.689511248","F","",""
"g19","G3=O","29.36","180","137+180","g","L","1.69993548","F","",""
"sy20","S3:1c","30.16","194","194+179","sy","L","3.764842777","F","",""
"sy21","S1=O","32.68","182","139+182","sy","L","7.196839485","F","",""
"ph22","Ph1=O","32.7","122","121+122","ph","Ph","0","F","",""
"sy23","S3=O/-OH","32.8","212","212","sy","L","0","F","",""
"g24","GAc","32.88","182","137+182","g","L","2.040800361","F","",""
"sy25","S3","33.15","196","181+196","sy","L","3.048146122","F","",""
"sy26","S3=O","33.32","210","167+210","sy","L","1.643070693","F","",""
"g27","G3:1=O","35.3","178","135+178","g","L","4.123085745","F","",""
"g28","G3:1-OH","37.1","137+180","180","g","L","2.075472035","F","",""
"sy29","SAc","38.78","212","212","sy","L","4.781771452","F","",""
"sy30","S3:1=O","43.06","208","165+208","sy","L","2.963975521","F","",""
"cp15","Acetaldehyde","2.06","44","29+44","cp","C","1.044112118","F","",""
"short21","Aceton","2.46","","","short","non","1.647243507","F","",""
"short3","2-Propenal","2.6","","","short","non","1.754936789","F","",""
"short4","Methanol","2.88","","","short","non","1.360766447","F","",""
"short5","3-Buten-2-one","3.39","","","short","non","2.931846536","F","",""
"short6","2,3-Butandione","3.67","","","short","non","1.575826376","F","",""
"short7","3-Penten-2-one","3.89","","","short","non","3.547527192","F","",""
"short8","2-Butanal","4.56","","","short","non","0","F","",""
"short9","2,3-Pentadione","4.77","","","short","non","2.459511326","F","",""
"short10","Hexanal","5.16","","","short","non","2.849030484","F","",""
"short11","1-Penten-3-one","11.28","","","short","non","2.140231388","F","",""
"fa1","14:0fa","2.35","68","39+68","fa","lip","50","F","",""
"fa2","16.0fa","2.74","82","81+82","fa","lip","62.67","F","",""
"fa3","18:0fa","2.91","82","81+82","fa","lip","29.59","F","",""
