"total_plfa","id_plfa","fung_bm","sum_gpos","sum_bact","f2b1","f2b2","f2b3","i14:0","14:0","i15:0","a15:0","15:0","i16:0","14-Me-15:1(4)","16:0","16:1(9)c","16:1(11)t","i17:0","a17:0","i17:1(9)c","17:0","cy17:0(9.10)","18:0","18:1(9)t","18:1(9)c","18:1(11)c","18:2(9,12)t","18:2(9,12)c","18:3(6,9,12)c","cy19:0(9.10)","18:3(9,12,15)c","20:0","20:4(5,8,11,14)c","22:0","23:0","24:0"
467.38,2051.68,31.72,52.99,894.15,7.06,0.0508,1.1468,1.6,10.11,12.92,23.41,10.2,6.52,12.39,674.46,109.45,7.4,2.97,5.58,3.26,29.41,25.17,75.36,7.21,142.59,112.32,0.49,374.3,45.41,9.05,275.63,12.57,4.15,30.66,11.96,15.15
455.56,1978.18,31.61,47.26,841.98,7.89,0.054,1.2098,1.31,8.65,12.04,20.85,9.33,6,11.42,645.74,95.88,6.54,2.32,4.75,3,31.2,21.16,64.46,6.43,130.97,101.4,0.54,372.96,45.44,7.63,291.91,10.93,1.79,34.07,12.67,16.8
510.85,2224.36,33.27,65.17,984.08,6.03,0.0481,1.1324,2.77,1.08,19,26.95,13.22,7.41,23.74,775.37,115.07,7.34,2.77,6.25,4.97,34.63,21.65,58.78,7.18,140.28,94.14,1.13,392.64,47.31,6.84,340.96,11.98,3.04,29.93,12.15,15.76
218.45,987.1,12.34,44.45,502.44,3.28,0.009,0.7804,3.37,7.04,11.64,17.38,5.75,5.95,6.12,366.63,58.58,8.64,2.25,3.86,2.93,16.62,15.86,30.71,2.02,58.68,81.21,1.04,145.65,4.52,6.73,91,5.36,2.3,13.91,4.87,6.47
196.11,882.19,11.88,45.3,449.64,3.09,0.0051,0.7933,3.55,8.22,11.74,18.3,6.26,5.95,7.27,320.26,56.95,6.79,2.12,3.64,2.86,15.53,15.2,26.77,1.3,53.04,63.79,0.59,140.16,2.3,5.3,80.68,4.24,1.93,9.95,3.46,4.05
264.08,1195.39,13.63,65.04,635.38,2.47,0.0043,0.7098,5.12,13.77,16.41,27.6,8.5,8.8,15.78,448.63,79.34,7.38,2.71,4.41,4.18,21.39,20.66,41.54,2.05,71.64,86.95,0.82,160.81,2.76,8.47,102.3,5.94,2.14,14.6,4.64,6.07
236.58,1060.46,11.49,57.68,567.63,2.35,0.0032,0.6983,6.32,11.44,14.21,22.97,7.19,7.57,12.73,402.5,62.26,6.72,2.72,3.87,3.12,19.23,17.21,37.73,1.4,67.1,78.56,0.87,135.62,1.83,7.93,88.46,7.26,2.07,16.29,7.05,8.22
303.88,1368.58,14.51,79.55,735.86,2.15,0.0029,0.6755,6.19,15.26,20.59,32.93,9.73,11.61,17.16,499.52,96.46,8.8,3.25,4.96,4.37,23.79,25.16,62.05,2.24,76.01,111.38,1.17,171.21,2.15,12.01,104.65,11.26,2.73,17.35,6.32,8.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
