"","f1tic","f2tic","f3tic","f4tic","f5tic","f6tic","f7tic","f8tic","f9tic","cp10tic","f11tic","cp12tic","cp13tic","f14tic","f15tic","ar1tic","ar2tic","ar3tic","ar4tic","ar5tic","ar6tic","ph1tic","ph2tic","ph3tic","ph4tic","ph5tic","ph6tic","ph7tic","ph8tic","cp1tic","cp2tic","cp3tic","f4tic.1","cp5tic","f6tic.1","cp7tic","f8tic.1","f9tic.1","f10tic","cp1tic.1","cp2tic.1","cp3tic.1","cp4tic","cp5tic.1","cp6tic","cp7tic.1","cp8tic","p1tic","p2tic","p3tic","p4tic","p5tic","p6tic","p7tic","p8tic","ind9tic","ind10tic","cut01tic","cut12tic","cut03tic","cut14tic","cut05tic","cut16tic","al1tic","short2tic","f3tic.1","cp4tic.1","ar5tic.1","ter6tic","p7tic.1","f8tic.2","unk9tic","al10tic","al11tic","al12tic","cp13tic.1","cp14tic","al15tic","ar16tic","cp17tic","ar18tic","cp19tic","cp20tic","o21tic","al22tic","unk23tic","unk24tic","unk25tic","al26tic","o27tic","bf28tic","unk29tic","g1tic","g2tic","g3tic","g4tic","g5tic","g6tic","sy7tic","g8tic","sy9tic","sy10tic","ph11tic","sy12tic","sy13tic","g14tic","g15tic","g16tic","sy17tic","g18tic","g19tic","sy20tic","sy21tic","ph22tic","sy23tic","g24tic","sy25tic","sy26tic","g27tic","g28tic","sy29tic","sy30tic","cp1tic.2","short2tic.1","short3tic","short4tic","short5tic","short6tic","short7tic","short8tic","short9tic","short10tic","short11tic","fa1tic","fa2tic","fa3tic"
"SW-2-E","13932721","13351258","2609235.388","4927955.332","6436817.37","4215341","30950884","22675584","182111207","18279426","41911647","16922737","50742772","17308882","33341303","88061899","15636323","","1949635","17139375","34674269","284029006","231356024","11200832","27915884","9790263","58046653","8935020","32765188","638045","151030790","137530327","127219103","15387693","","49226744","8742819","44837798","","46313723","13501024","30683528","9069104","17120859","141089863","26468226","59720385","25835694","14917884","3556917","674321","31080357","12365816","17168028","61521488","18892961","","8612128","72210760","101420730","72210760","2233500","42388726","11381944","","2390843","","11831489","3735533","3186221","7214177","9047468","7136785","14269742","NF","13042722","9765267","NF","NF","50660592","17308882","19242440","37319141","4446167","45916810","19048210","","30687180","29214463","7439000","260271310","260271310","189455541","85680431","31287893","23706853","252407288","44489501","115464430","188210121","","15280615","13494984","36929483","338486765","","8239336","9693780","14677796","21375794","33020205","159688993","62182833","","","18626715","41154082","30354538","43135307","20517379","8044517","13635821","60200992","49265463","21528776","212626306","37346374","58410582","5977211","","4775640","2376769","5395649","","92314002","12910764"
"SW-3-A","15781906","10632984","4299278.063","5975932.97","8433179.576","4924417","41981359","31740074","244839185","22833206","48633511","28754363","65474410","24073158","39276207","110990263","19996388","","2278923","22373170","53763015","317833384","256825728","14833892","38887627","13828333","75316252","10526145","41002824","775264","217918306","176636895","167745082","22679167","","68040428","10778358","64405775","","62986505","16953778","50638887","12943378","22065949","188220094","32928804","86833096","23500737","19137278","5624864","384319","37586563","13958502","18981680","56910503","21807404","","12915607","86913155","NF","86913155","4806662","61063632","38330777","","3875540","","14554825","3591999","4723237","7649733","11255260","45035511","24171047","32323533","NF","11218446","NF","3822025","65474410","24073158","21632232","45379217","NF","49569108","21485825","","44075285","34330581","11981873","307414768","307414768","268968265","132847696","51592747","41312283","372025291","67271024","160727152","296220823","","24039923","20598643","51318869","442111136","","8576601","32005739","NF","35731961","50072899","231075955","93931234","","","31485977","59292468","47074785","72373224","40743491","13281404","31804024","75401099","65572619","31969501","399622924","45429393","76093686","8435054","","5529667","2501521","8168660","","407611303","15638175"
"SW-3-B","9847723","8664424","2580038.172","3627400.872","6163217.63","4369410","28329698","21449834","155787953","15391849","32470825","15128936","41562675","16069615","26738754","78295557","15195501","","1705630","15403490","31219766","248538685","196065969","10448410","25705027","8997762","61338577","8948122","27649609","525987","127059850","113695956","102213433","11478583","","40837547","7141118","40954189","","43633746","12018447","28526704","8393248","14732257","122015716","21436760","51146770","25439571","13820292","3834908","1467268","26202727","11093839","15158402","34431399","16625411","","12129959","67000726","109940049","67000726","3233795","48882126","16633277","","2178892","","9722893","3213103","3052478","6220874","8645448","15767233","15029457","17226821","16564629","7443464","NF","2048991","41562675","16069615","14762287","39649416","NF","34950497","14711418","","26711879","22947656","6646483","222479500","222479500","167285729","76381438","28254487","23968440","236269346","44857090","106229344","177396479","","13335934","11649628","32553274","298397863","","7958378","16077547","NF","21999588","29733593","164405720","72944589","","","17821734","48862630","27944165","50055736","25549572","5050842","16603323","51675800","44816981","21210004","208060801","32258157","51239921","5156789","","4467616","1957470","4678324","","299464120","7154054"
"SW-3-C","22353381","28980058","4757778.322","8209984.628","12348807.01","5966521","46363779","34475880","312253581","31743059","61224561","28869690","82144060","31116413","46826265","128294585","26928107","","2910233","28761498","53301290","433730300","358328689","16781880","52082903","16840443","78527343","9403932","54068170","984313","286142969","201885311","170538836","28896630","","81196045","15518867","67699461","","81485680","26169268","49500675","18649433","27466535","215057046","36759480","109148583","45858125","25674095","6236719","NF","55071808","17965844","26875886","66582933","29794333","","23005874","121609539","NF","121609539","7176520","72907237","9021976","","3705854","","17206749","5331354","5188027","10889994","13993486","1006666","21311354","10390438","30065468","14012517","NF","5610558","82144060","31116413","28377696","63580294","8001290","65290718","32347999","","53931160","50088065","12113814","397561301","397561301","320501472","153310882","62773099","48261923","429230528","76860113","207994752","359847056","","37350453","23185210","66987308","539594322","","7263355","34804331","NF","39621015","58355167","NF","113020740","","","32781420","75520328","55959203","73377558","32908210","10081072","29954438","94499017","97304197","33057390","296925683","65543088","104896502","11297451","","8061591","4243128","9509073","","189592661","18445219"
"SW-3-D","25113242","25485030","5033722","8690303.922","13044347.94","6882472","47215918","35826147","287766495","31103881","68804784","30563806","82867776","32906727","48302131","139874074","29019361","","3414006","31939745","56072626","482232674","405073355","19234959","56620002","18009548","68648937","12847026","59012530","967864","282669560","201566694","178491097","27567306","","77912455","14886560","76602843","","83728824","27264560","52249092","19056191","27714646","228070221","36642613","110287284","49283161","28491718","7284003","NF","58372949","21292939","28019088","84081022","30921467","","22989094","133598868","NF","133598868","26818671","82650966","13910983","","4390146","","20317225","7388522","6311634","11874978","15125208","8686296","22792476","16646780","30215509","16152910","NF","5293167","82740783","32906727","35174078","62856400","NF","66420530","29522970","","52740633","52821867","14879969","409772347","409772347","342004792","165878486","65780926","47539923","441272557","78621187","214151962","364412220","","35894074","25144881","63119691","553550066","","6584618","27686260","NF","41784450","61024990","NF","134085720","","","9662032","87069871","62925525","82931327","38570818","11251041","27441521","96505385","97229996","38942686","329632171","72304652","102971120","12429418","","7954402","4262534","10354713","","331837141","11656921"
"SW-3-E","16743215","16498764","3491036.897","5675747.87","8710283.377","5811246","34581296","26128956","217197977","21256810","47562140","20315748","58973090","21795121","36536672","106791612","20167575","","2252119","20917694","39208736","337508477","276367044","13299792","36158632","13131504","72592957","8271387","42097029","699767","184354345","151320503","136552138","17967140","","58231859","10227420","52727912","","57072341","17118804","37119278","12367070","20609609","160463278","29360800","70927363","33172327","19168849","4925978","537950","38436131","15085210","20974860","52518856","22685652","","13984814","93537260","NF","93537260","8414690","48761261","11052220","","2819575","","13450384","4247319","NF","8383420","11143377","6520778","16811465","12015005","21856918","10964811","NF","2197573","58891747","21795121","22853960","49570690","5367679","52254083","23085090","","36100685","36580110","9062711","307539329","307539329","229896664","108050899","40967150","32035415","309248948","57734129","140905457","248462953","","21665671","16430375","44566205","409792191","","7288317","24798349","NF","28612003","41011716","NF","84666174","","","23366770","51235193","40140549","55086981","25250932","8064834","16623226","71637272","62190344","24252677","238839058","44598618","71421287","6933359","","5354638","3010321","6848524","","133113388","16105808"
"SW-4-A","10057321","6898317","2154180.099","2873765.904","5358625.177","3118983","25047388","16632199","121490084","15048755","26714768","11575398","31112727","12813370","21774096","66644318","11878454","","1530441","13146333","23838254","214394035","172206247","8640589","19235408","8256311","44167638","9885155","18886937","440776","96192892","89104697","83696322","8083951","","28198470","7791054","28884823","","33297317","8425341","22445108","6202915","12524486","95118949","17761435","39294087","21623808","10675130","2447456","970776","22475720","10253189","13734472","32086973","14440900","","NF","50165353","69188019","50165353","2512701","33323210","9348471","","1552685","","7347098","2511219","2445787","NF","6907455","8157615","11518671","10069726","10098040","6537335","2391847","1078731","31112727","15699007","16079878","29979747","4747200","32980378","14287335","","23246671","16602215","5089695","201442950","201442950","123207773","56974746","20610525","17035612","177397221","35369516","75909375","133172533","","8791630","NF","23804264","223774081","","6910118","NF","10044380","16332741","19893569","108208312","44379016","","","10985267","35931414","21800757","33762742","14107470","2666936","10514434","43705341","35934758","17090757","151296459","23580447","40252530","2565411","","3716771","1075481","4153789","","89384756","8789936"
"SW-4-B","22907042","23522185","4898808.468","7749233.551","13029581.78","6960301","44213198","32438530","274369013","33026167","61465147","28862078","74545687","29027454","44973220","140817297","29181636","","3366057","30940381","50735560","454468030","396016822","20324794","54615590","15572375","55141226","16802807","50630150","968670","250049101","179557621","160615079","24743380","","61741352","18877972","65175018","","76577494","25155562","47283656","17901301","24849222","200305303","34659928","96397522","50742114","27693838","6320501","1674407","57191062","21996199","28264196","91286988","30261913","","NF","113506624","117310728","113506624","8909182","77957723","14863321","","4095723","","18975551","7122507","6570075","11119715","14627371","8319428","20792205","17570038","30684466","14404148","NF","2711765","74419068","35139307","35146856","55426288","7355371","62372793","36422256","","46125806","37142606","10116834","396042511","396042511","297892197","149794898","56207778","43165837","405834728","78418361","180959748","336022533","","29738016","NF","57087729","478892359","","8007086","17598717","26220048","42086263","45086492","259471747","109042901","","","NF","77838031","49263763","59756371","21828351","9870840","23342269","99285464","93821385","39891096","294892105","64707746","93866664","9599951","","5429933","5136291","7796412","","215391296","14561331"
"SW-4-C","31094702","29261606","5471567.861","9080744.574","14712932.74","7934992","51670355","36714768","324363281","38796326","62377427","38192852","85415416","35108335","53671562","157820854","32604752","","3751211","34680078","59661463","507734449","433586622","21645999","63390773","19219434","62120270","17791959","62967920","1182501","304126514","216289766","188704249","29970099","","79605627","23478033","82639499","","87657160","28667592","55976815","21119584","30641870","237944599","41533930","117408694","58364629","30599551","7499960","747751","64864574","23733789","31024666","104976872","36564059","","NF","137341858","157246835","137341858","4147135","102829403","14931281","","4362806","","21713446","8154871","6925647","13983683","15610448","6503773","23977927","17316533","34467381","16472726","NF","4696134","85285543","43340426","31794768","75778463","9308861","69942256","41996676","","54289970","48201837","12402625","464196951","464196951","352751994","176300287","66359296","51994275","483980102","95842000","222408003","405565743","","37402418","NF","71970433","587327207","","9053741","NF","32599212","52860171","62087228","324299187","131924484","","","NF","103481515","65774734","75518673","36896742","11538021","32264545","112829079","104272200","44364826","326787159","76926271","110764548","12020127","","7986563","4580434","9183756","","279081723","15975843"
"SW-4-D","8812387","7236453","1740161.512","2542409.826","5405268.752","3602235","23836454","14879614","117781425","14343429","23187738","10990582","28589818","11859796","18475086","62378008","10568418","","1302405","11188844","19624091","189463642","149970035","7680442","18439946","5883444","37244385","8808211","16181959","423225","100161957","86205545","73085847","6561963","","26543901","7285973","23381090","","29612703","7799685","18269177","6207588","12660068","93106868","15849979","37904540","17287383","10378880","2355714","1877003","22183688","9066818","12498635","29407955","13745607","","NF","47294483","53987574","47294483","1520903","28762562","3540113","","1048282","","6188627","2341209","2262547","4812596","5786633","1762468","9638930","4813985","10695545","5567318","1580630","925969","28589818","14110924","14367664","28200338","3777029","27702203","15255757","","19323536","17318333","5132411","178217695","178217695","116978347","52902182","19239864","17812694","167326498","32825766","67372908","127752575","","9215680","NF","23067788","203165761","","5519939","NF","9505056","16099631","17199377","101100238","37540910","","","8425220","31617354","18456979","30092109","14771477","4753098","9840188","45232701","33278047","13748746","118494116","22045238","41058009","2487027","","3820141","1132359","2645193","","93435012","3658226"
