"","f1tic","f2tic","f3tic","f4tic","f5tic","f6tic","f7tic","f8tic","f9tic","cp10tic","f11tic","cp12tic","cp13tic","f14tic","f15tic","ar1tic","ar2tic","ar3tic","ar4tic","ar5tic","ar6tic","ph1tic","ph2tic","ph3tic","ph4tic","ph5tic","ph6tic","ph7tic","ph8tic","cp1tic","cp2tic","cp3tic","f4tic.1","cp5tic","f6tic.1","cp7tic","f8tic.1","f9tic.1","f10tic","cp1tic.1","cp2tic.1","cp3tic.1","cp4tic","cp5tic.1","cp6tic","cp7tic.1","cp8tic","p1tic","p2tic","p3tic","p4tic","p5tic","p6tic","p7tic","p8tic","ind9tic","ind10tic","cut01tic","cut12tic","cut03tic","cut14tic","cut05tic","cut16tic","al1tic","short2tic","f3tic.1","cp4tic.1","ar5tic.1","ter6tic","p7tic.1","f8tic.2","unk9tic","al10tic","al11tic","al12tic","cp13tic.1","cp14tic","al15tic","ar16tic","cp17tic","ar18tic","cp19tic","cp20tic","o21tic","al22tic","unk23tic","unk24tic","unk25tic","al26tic","o27tic","bf28tic","unk29tic","g1tic","g2tic","g3tic","g4tic","g5tic","g6tic","sy7tic","g8tic","sy9tic","sy10tic","ph11tic","sy12tic","sy13tic","g14tic","g15tic","g16tic","sy17tic","g18tic","g19tic","sy20tic","sy21tic","ph22tic","sy23tic","g24tic","sy25tic","sy26tic","g27tic","g28tic","sy29tic","sy30tic","cp1tic.2","short2tic.1","short3tic","short4tic","short5tic","short6tic","short7tic","short8tic","short9tic","short10tic","short11tic","fa1tic","fa2tic","fa3tic"
"OS-4-D","21122648","14802961","3640364.459","4989478.687","11608292.44","4851436","42410213","26375313","228577810","17343582","49258392","26626029","34676189","17787122","62684246","88810060","13803623","","2052690","14925778","34675732","235929136","219846350","13406493","30273923","","73088135","10443050","24251520","847060","113964375","112649405","212889597","13261579","","21364046","12389236","77312121","","45633113","12246141","32384880","7941565","18896932","115297799","23567590","55852081","NF","10932184","2268946","1587921","21910982","10334131","15711019","45774094","23664542","","","32403072","43306312","32403072","1229610","31357732","18155283","","3094542","","9645540","1872802","NF","NF","6695718","17327167","13831097","15863375","15252050","8221242","NF","NF","34601835","21266276","15604390","15145424","3956335","56691925","16590965","","34068950","12819384","8834959","299831985","299831985","169267052","115343837","35716809","29901453","273911542","98198103","89335435","216747421","","13793181","NF","35738870","318673828","","14755136","7552664","15300220","27492112","26215771","157132110","71424784","","","17478280","34311153","34269348","55525146","9032920","5563262","22789005","49320784","50247874","26394400","232983325","42704705","60772367","4831819","","4630729","899231","5708596","","87650232","9895140"
"OS-4-E","17615707","14360038","3037969.231","4532802.497","10992467.92","4173519","37909252","21002330","212684349","17200367","46298784","18841892","31602825","16335908","52558097","78928305","12562690","","1621185","12233198","26373347","214669877","192831063","9706283","28532559","","71167872","9953806","23602040","749973","107919035","102983597","183126330","12501015","","19608294","10851633","60206767","","39681528","10900388","24327936","6771912","16204685","106505611","19002008","47396953","25102657","10293379","2087296","472192","19118821","7198823","14466956","37568453","21424139","","","30075403","49702124","30075403","2361253","28176976","7740735","","2486733","","7284466","2180299","1657838","NF","4924451","3251363","11365205","6111609","13622990","5956383","NF","NF","31602825","19353504","17633278","15991508","NF","53457440","16887248","","28052054","11819164","7527668","303891135","303891135","144038080","89108303","29603184","23228044","226687644","76867481","74776158","177581302","","14362464","NF","34118232","281031627","","12549129","NF","13893232","22484699","22625544","147171574","59951723","","","13949628","30314548","28810696","42566535","6006881","4368038","19160345","41238136","47785895","18220103","164272791","32655553","57232284","3740504","","5149584","899923","4887464","","96867437","6195751"
"SW-0-A","8950480","7994845","2125323.381","4012720.315","4639108.194","3670286","20325536","18912480","153843117","17486058","29535604","13172647","51945973","13354200","30899180","69128385","11479095","","1368778","12700235","27908253","205452842","167418141","7320789","17602989","6404208","44669960","7801712","25069789","511218","121922456","115914799","110942251","9552811","","42926391","10873832","38832840","","36782096","8462348","26319087","6669320","15365241","123408159","24508288","44654815","19755152","11329495","2986220","831998","25274769","10122450","13767842","61678416","13999883","","","43534693","66916402","43534693","3867839","25671026","13626181","","1939915","","8426739","2906592","3303442","NF","6970123","12587925","13016441","12467607","15212050","6679903","3119429","538481","51945973","13354200","19655287","18709991","5304488","38343841","18078704","","24811057","23834934","6611335","212376279","212376279","139507174","62012342","22132347","17728051","197872111","35339555","88428982","146799120","","9204365","NF","25887210","262910825","","8760579","NF","NF","14416218","22280624","118626913","43277469","","","NF","26193625","25385373","33384815","11577871","6678812","14006945","45674806","38696867","16807617","210790827","27874447","46724454","3391639","","5062968","1844007","5778592","","164429144","14972098"
"SW-0-B","10997366","11768764","2077641.202","4169715.602","4671539.078","3804027","18974915","18730642","155248335","19139709","30355899","14141070","52547171","13462250","30809528","70925056","12935781","","1490758","14016595","27278671","222729623","178871576","8764712","20319457","7300059","43644974","7885747","27335236","517225","133926470","117567832","111323841","10862522","","46740288","11736382","41916570","","38501952","9900695","23933859","7589612","16523975","129857916","25968697","49484933","20106445","11730901","2911680","1195379","26330208","10548217","14484317","67445428","14441548","","","46425165","52087574","46425165","1736300","27183249","5546637","","1680565","","8846467","3001719","3044722","6838820","7248631","1335396","10285458","6116690","15307073","7604353","3120844","385424","52547171","13462250","17180911","20842373","4759470","37921419","17968276","","23545185","23706758","7873882","206104109","206104109","149973967","66981944","23557867","19694062","207478330","34941462","96238516","157454398","","10948073","NF","26201074","268903741","","8194944","NF","NF","16530548","25564884","124074101","44209219","","","NF","27083955","27537610","34317861","13487420","7172141","14197288","46985665","40767033","17169580","178386279","30456998","48845137","4046227","","4699079","1170177","6084535","","166983647","13539323"
"SW-0-C","9651764","8314035","1830929.097","3641545.504","3946475.029","3445612","17463100","16341042","131673314","14778750","25306467","10748481","43671559","11603064","27637558","62382573","10437827","","1320489","12769402","24055372","193623311","164583901","7292927","15347395","6494300","48972702","6922961","22095737","440583","101676168","105609471","104534512","7177058","","36930558","10462012","36474213","","31934336","7430835","22638709","5874435","13190436","105355666","21774581","38784883","17032109","9485038","2403992","1466148","21282200","9449254","12402238","49464225","12360597","","","40896225","20802952","40896225","1373468","26158473","8351744","","1761677","","7365559","2656116","NF","NF","6188185","8402394","10486231","8406885","11549705","5677294","2701237","1642835","43671559","11603064","17387955","17426799","3648408","34838438","15972823","","21579840","20509750","6292235","183997431","183997431","129201720","59035824","20198586","17112342","183333024","32141055","80017047","134108848","","8003018","NF","23363805","235827964","","8134182","NF","7419426","13723264","18642745","102670330","39604693","","","NF","26056669","23254409","30517328","11786213","5777155","12374958","40565658","31904431","14756455","169410849","25452928","39552277","2618634","","3935088","1369771","6617539","","146939508","7817438"
"SW-0-D","9197765","8048062","2209975.579","4101064.24","4101064.24","4323899","19549024","18836628","146743416","17821696","28645684","13557095","50618887","12749266","30735460","68104776","12979799","","1444923","13868821","28164975","206807907","174356889","7836998","18937595","7122068","46360216","7284773","21142238","470153","112664497","112396380","116286122","9724713","","39440773","10631980","40058540","","34319082","8400504","26770385","6318430","15157127","116899785","23493504","44468744","20575951","11221120","2877020","471875","24769238","11199873","14315688","59319001","13731818","","","44727616","62058689","44727616","2334549","27719375","14766440","","2310505","","8220701","3271545","NF","NF","7255684","16527911","13074121","14558154","12299727","6283167","NF","1660484","50618887","12749266","15293207","18540819","5021027","40057979","16816293","","21941317","25913780","6487839","205103634","205103634","141604428","63682679","22693959","18584482","198728484","35450870","87817526","146375504","","8599325","NF","25729392","253838859","","8434164","NF","7439226","15002477","23930772","111102720","43305313","","","NF","27881500","22112063","28809156","11961354","7209590","6459311","43544120","37588640","17190286","223970341","28244749","44183032","4487956","","4135769","1660957","6104899","","166684026","9315127"
"SW-2-A","15087482","15464444","2841833.891","5019126.263","7033288.306","4736013","31183444","22331819","184049705","20162706","41883900","15772308","48990860","18325676","33964766","89245565","16970204","","1993212","18520562","33469391","302048709","242672233","11954069","29252510","10385608","67507423","9979704","35705363","637779","148287925","133984898","120031117","14271951","","48401347","9539153","44105236","","46802016","14186420","30527697","10783468","17413579","142276863","26179435","61168730","26803925","15475935","4439051","975005","32793157","13780126","18135033","54880009","19946441","","7942317","76773170","109063500","76773170","2957705","45685181","7260838","","2518878","","11091971","3960687","3784099","7861653","9682624","2749802","14111435","9191899","19266427","8680717","NF","NF","48920460","18325676","18814447","37755635","4353957","45114134","19166651","","30014108","29352656","7590665","262224918","262224918","196163373","86338425","32478898","24531072","250953453","46699388","120605169","192737712","","16452717","13239848","34689104","338242147","","8205674","15796012","15440373","21753479","29918376","169089630","67960459","","","18699098","45647614","34268528","44117007","17627284","8450900","16452410","58874450","53175951","19944574","189350336","38224343","59852321","5724558","","4760147","2476563","6175802","","86472157","13518837"
"SW-2-B","22294221","23473034","4616217.978","8403249.159","10754732.55","6009423","47467105","35160837","302365391","32045142","67090443","27416925","82527972","29355604","49983495","129680938","26510456","","3176561","28365146","56388753","416538068","354183545","17866599","47767401","12925662","83314381","15648917","53197276","947965","274339592","199911023","180280639","26181474","","75177242","15905730","73055944","","76520600","25083587","52755206","17049007","26571438","226327077","38518294","101433980","44567303","23442565","6158891","253087","48880221","18675198","25425127","92061885","27755342","","19253163","105458064","208284563","105458064","11948718","60881303","16153997","","4086728","","18517521","5961600","NF","10850120","14157963","10088638","21417522","17040939","26413976","14111697","NF","2930724","82424239","29355604","32551160","41352292","6740826","63097101","29382125","","44107457","47489641","13164646","363433176","363433176","299647884","145493650","56443469","41273469","400136807","70445766","185116989","319563735","","30367139","17182037","57339624","499110224","","10633678","22996778","28418128","34270561","51179197","269397966","105133560","","","17458905","63278403","52585986","64550218","27119834","9385132","27840224","88695039","86624101","38463539","322957357","70028873","96835172","11525326","","5987720","3593920","9819257","","242103686","9751320"
"SW-2-C","4270749","4681823","947047.3096","1477281.089","2270215.824","2192476","10268807","10070141","73133972","6994312","15402807","4085484","18615915","6795414","11970494","32606660","5130713","","686577","6354304","13080339","115500431","83927254","3665618","8036722","3570540","32642498","3673217","11693265","259072","55875931","55229042","46529179","3522966","","17480369","2824594","14200016","","16995144","4164711","11199004","3175150","6814471","55829151","9594025","20312679","NF","4906680","763511","272738","9681113","4068506","6803158","17161756","7592233","","4910237","29396766","61386755","29396766","622601","14666416","1466782","","636158","","4606767","1149441","NF","3401566","3494244","NF","5634354","2620327","5879700","3431556","NF","575486","18615915","6795414","8655410","9891489","2029697","18139624","7233217","","10611733","11283698","2431012","103654641","103654641","66677941","26421436","9711867","7918675","89780562","17475266","44901893","65406867","","4260574","4165029","12589673","123991784","","3811122","3937507","NF","7844335","8720722","54618672","19034497","","","7075211","16190462","10527286","16005437","6545149","4322540","5471554","21775512","19095390","5387955","70190434","11598010","22053518","1132585","","1666103","357350","566299","","94669596","2855141"
"SW-2-D","8664305","8297663","2149775.988","3412061.359","4777918.419","3025500","21474258","19576129","144863872","15233192","26837088","12677336","40758100","13751130","27334712","69941789","12173206","","1534649","13913514","27782828","217242322","175082947","8513833","20130916","8231297","60714170","7447051","21936100","514317","114970671","115477082","112612443","9139978","","39537704","7081611","37103981","","35642323","8751214","24975190","6776927","14050104","111080528","22871278","45708452","19458646","10892222","3004707","1412533","22578946","9983240","13656844","34938838","14268357","","7537813","54671009","76089909","54671009","1381524","32025680","12506050","","2203316","","8369586","2492699","NF","5348299","7377580","12068557","13327537","NF","11124488","6844769","2885149","1206263","40758100","13751130","20255863","27177064","3867291","36877869","15160096","","21756848","20594446","6097629","199817111","199817111","144401059","66548802","22355375","19499458","204345201","40435713","91244828","150762928","","10159296","9395297","28324514","271938678","","8913917","7253451","11164540","17659046","24314147","127715475","49935338","","","15417538","31948223","22541064","36471257","16949594","5358333","7528012","44575660","36133806","17295025","188655479","27419331","44356610","4455066","","4723111","1182279","5506933","","64197224","7347693"
