"","NMDS1","NMDS2"
"6",-0.137833611467274,-0.0226171476576209
"7",-0.150171991806243,-0.0559679382296846
"8",-0.230546389217531,-0.00828740970355857
"9",-0.245610925017037,-0.037026942488559
"10",-0.138044100869473,-0.0303998161054056
"11",-0.0360429835675809,0.0208299918587753
"12",-0.060793247011814,0.0236115881630347
"13",-0.045535917640768,0.0139307665820614
"14",-0.0365507525224978,0.0361571135068247
"15",-0.0450831586655859,0.104757539424902
"26",-0.0522650911962864,-0.0484448187561663
"27",-0.0400196534097215,-0.0428345068915925
"28",-0.0528840758922321,-0.0345483193512715
"29",-0.0805234990617877,-0.0430272524281513
"30",-0.0633574247263019,-0.0607555761124445
"31",0.098196943484031,0.0119374120824313
"32",0.0872461850011242,0.0227368739669649
"33",0.139856855885331,0.0237908327107608
"34",0.144500085898657,0.0249166568087374
"35",0.172125659152306,0.0391627945923183
"46",-0.118822298822629,-0.0121739851126605
"47",-0.129021405406041,0.005668853043804
"48",-0.130400382167357,0.0103297303511455
"49",-0.118396472509263,0.0328429581445349
"50",-0.115561343839025,0.0260335044053251
"51",-0.022032272700542,0.110539263138878
"52",0.0131415165707167,0.0661620575980753
"53",-0.0207318545828486,0.0804280822658372
"54",-0.000102736930068406,0.0258970672047254
"55",0.0050307079246053,0.034056075411791
"66",0.168784254137082,-0.0175790152771265
"67",0.202467896720295,0.0240594092311390
"68",0.141506905370169,0.0915626756676435
"70",0.268369270102725,-0.0216470433189571
"71",0.171500487296284,-0.0714807339985034
"72",0.0757346372447096,-0.102253861688360
"73",0.143328840112146,-0.0671140325234269
"74",0.156342394045563,-0.0581146941155726
"75",0.0821989500841636,-0.0951381524006478
