"","protease R","protease p","protease sig","phenoloxydase R","phenoloxydase p","phenoloxydase sig","peroxydase R","peroxydase p","peroxydase sig","cellulase2phenolxydase R","cellulase2phenolxydase p","cellulase2phenolxydase sig","cellulase2peroxydase R","cellulase2peroxydase p","cellulase2peroxydase sig","protase2phenoloxydase R","protase2phenoloxydase p","protase2phenoloxydase sig","protease2peroxydase R","protease2peroxydase p","protease2peroxydase sig","aa_conc R","aa_conc p","aa_conc sig","g_prot_depoly R","g_prot_depoly p","g_prot_depoly sig","g_aa_immo R","g_aa_immo p","g_aa_immo sig","g_p_immo R","g_p_immo p","g_p_immo sig","g_glucan_depoly R","g_glucan_depoly p","g_glucan_depoly sig","net_glucan_depoly R","net_glucan_depoly p","net_glucan_depoly sig","g_glucose_consumption R","g_glucose_consumption p","g_glucose_consumption sig","glucose_conc R","glucose_conc p","glucose_conc sig","N.Pmic R","N.Pmic p","N.Pmic sig","total.PFLA.content R","total.PFLA.content p","total.PFLA.content sig","identified.PLFA.content R","identified.PLFA.content p","identified.PLFA.content sig","approx..Fungal.Biomass R","approx..Fungal.Biomass p","approx..Fungal.Biomass sig","main.fungal.marker.18.2.9.12.c R","main.fungal.marker.18.2.9.12.c p","main.fungal.marker.18.2.9.12.c sig"
"g_p_immo","0.168741874284724","0.325214697604448","n.s.","0.322373754665338","0.0551713869256956",".","0.327477241959589","0.051216927482062",".","0.332710309614879","0.047400729819181","*","0.239914554132576","0.158726932227124","n.s.","-0.214115134064039","0.209858329230479","n.s.","-0.176923007131714","0.301956907242693","n.s.","0.379482143074364","0.0224496791354734","*","-0.0438390722559785","0.799593328146374","n.s.","0.423696857190085","0.0100228541816951","*","1","0","***","0.450357179735164","0.00663207589683634","**","-0.482030423127054","0.00336576484902009","**","0.380764080273452","0.0219622289058234","*","0.394905418631826","0.0171442239299084","*","-0.131973706508074","0.44292581355464","n.s.","0.329300998383694","0.0533988968477679",".","0.331164720307533","0.0519831275328535",".","0.238656159971408","0.167378081116693","n.s.","0.238656163165137","0.167378075262792","n.s."
"g_glucan_depoly","-0.0964565460716918","0.564560135331105","n.s.","0.279957437957291","0.0886890765103658",".","0.171476113833975","0.30329720653037","n.s.","0.519843214842175","0.000822839354628124","***","0.594543670135034","8.28146181779399e-05","***","-0.385610427933519","0.0168050205636421","*","-0.277760574433605","0.0913266997886595",".","0.39548889596661","0.0139851806859641","*","-0.142903528658346","0.39205613172772","n.s.","0.372975181628564","0.0210944211747726","*","0.450357179735164","0.00663207589683634","**","1","0","***","-0.709549373605268","8.79205408989256e-07","***","0.970557353851506","0","***","0.797383318744838","2.07235428817398e-09","***","0.337303310022531","0.038363783755947","*","0.527088416982182","0.000802786285824864","***","0.522437726301967","0.000910046579955415","***","0.394302835836225","0.0157405152645296","*","0.394302791767974","0.0157405279734046","*"
"net_glucan_depoly","0.304145925317175","0.0633816282135478",".","-0.36810481551378","0.0229751410279835","*","-0.222272943025695","0.17983589315963","n.s.","-0.46402094264898","0.00334118929210462","**","-0.58626015370926","0.000109856461399268","***","0.605867822052195","5.55633132761635e-05","***","0.435843168062734","0.00623395741149269","**","-0.373872775822559","0.0207622278160781","*","0.167576672579829","0.314589633429591","n.s.","-0.247379641421652","0.134290838070845","n.s.","-0.482030423127054","0.00336576484902009","**","-0.709549373605268","8.79205408989256e-07","***","1","0","***","-0.831133984552463","1.04916525051982e-10","***","-0.944765146385167","5.05278411340209e-19","***","-0.179101726482625","0.281969652686498","n.s.","-0.523495328539977","0.0008845987021032","***","-0.526878453422293","0.000807375548064625","***","-0.423092580184335","0.0090793482904912","**","-0.423092538218427","0.00907935588268492","**"
"g_glucose_consumption","-0.169368494099262","0.302651748570173","n.s.","0.344384256570199","0.0318043301381079","*","0.21505496876405","0.188588083852275","n.s.","0.499416087417942","0.00120908275249398","**","0.605740701119258","4.38586756807968e-05","***","-0.490315646520864","0.00153118912713828","**","-0.356378269701171","0.0259569876033958","*","0.426329660655941","0.00680355772164276","**","-0.157919460870135","0.336973214537772","n.s.","0.318419145896102","0.0482014836747444","*","0.380764080273452","0.0219622289058234","*","0.970557353851506","0","***","-0.831133984552463","1.04916525051982e-10","***","1","0","***","0.904621101978368","2.88657986402541e-15","***","0.329215248032741","0.0407073312817938","*","0.560686839173062","0.000250881437577455","***","0.557354462451988","0.00027801810416106","***","0.420962627982262","0.00849193321191488","**","0.420962580817166","0.0084919413517186","**"
"glucose_conc","-0.286710463350831","0.076791599766554",".","0.377420033451286","0.0178531641761397","*","0.281137177602878","0.0829643988253221",".","0.517214331560148","0.000747289719819966","***","0.586679989639572","8.66297865709242e-05","***","-0.618300005383046","2.7331316858138e-05","***","-0.500971320864691","0.00116049447907929","**","0.487945359777002","0.00162662231319488","**","-0.118608188994087","0.472046534213351","n.s.","0.252022094411878","0.12167674243987","n.s.","0.394905418631826","0.0171442239299084","*","0.797383318744838","2.07235428817398e-09","***","-0.944765146385167","5.05278411340209e-19","***","0.904621101978368","2.88657986402541e-15","***","1","0","***","0.307665328883903","0.0567331163282239",".","0.559864420585087","0.000257347927261398","***","0.560998535617213","0.000248468999889173","***","0.415153770547233","0.0095464734323103","**","0.415153736084276","0.00954648000584557","**"
"N.Pmic","0.211996906146609","0.195102754925621","n.s.","0.527862428854757","0.000553258800718437","***","0.524855976281893","0.000602872985578928","***","-0.157376170598531","0.338659249628511","n.s.","-0.105835282523985","0.521365503762419","n.s.","-0.48935825461615","0.00156912405603039","**","-0.570918382182627","0.000147397831315739","***","0.53173434654524","0.000494744744258702","***","0.601121780353546","5.19306963591148e-05","***","0.413475328980784","0.00888669439985712","**","-0.131973706508074","0.44292581355464","n.s.","0.337303310022531","0.038363783755947","*","-0.179101726482625","0.281969652686498","n.s.","0.329215248032741","0.0407073312817938","*","0.307665328883903","0.0567331163282239",".","1","0","***","-0.261697942874503","0.112484299151543","n.s.","-0.24237271723308","0.142610725082733","n.s.","-0.400900331258991","0.0126177707162539","*","-0.400900434490909","0.0126177457532529","*"
"total.PFLA.content","-0.343194149174986","0.0349048216273051","*","0.128354725074188","0.442495882039581","n.s.","0.077156635153066","0.64521151957776","n.s.","0.725879946319112","2.50777985932871e-07","***","0.723527748239419","2.86222226808519e-07","***","-0.343133732304021","0.0349389563349189","*","-0.23539124233097","0.154835636308466","n.s.","0.199953050602151","0.228736762822809","n.s.","-0.639206496406168","1.56289290380702e-05","***","-0.0223202014981925","0.89418456359721","n.s.","0.329300998383694","0.0533988968477679",".","0.527088416982182","0.000802786285824864","***","-0.523495328539977","0.0008845987021032","***","0.560686839173062","0.000250881437577455","***","0.559864420585087","0.000257347927261398","***","-0.261697942874503","0.112484299151543","n.s.","1","0","***","0.99744975004046","0","***","0.939682083808838","0","***","0.939682063812039","0","***"
"identified.PLFA.content","-0.361818717422814","0.0256066987169904","*","0.136453403239114","0.413992652745854","n.s.","0.0833526920762123","0.618819904035362","n.s.","0.707617103949252","6.76667990084923e-07","***","0.709256698194303","6.20878628065924e-07","***","-0.356350937036487","0.0280942195210579","*","-0.252019358586869","0.126907081921507","n.s.","0.211487602218955","0.202443021269176","n.s.","-0.627066014140601","2.52308119617317e-05","***","-0.0250123492433327","0.88150705398143","n.s.","0.331164720307533","0.0519831275328535",".","0.522437726301967","0.000910046579955415","***","-0.526878453422293","0.000807375548064625","***","0.557354462451988","0.00027801810416106","***","0.560998535617213","0.000248468999889173","***","-0.24237271723308","0.142610725082733","n.s.","0.99744975004046","0","***","1","0","***","0.936945563001337","0","***","0.93694553114965","0","***"
"approx..Fungal.Biomass","-0.444749878423995","0.00514711422870927","**","-0.0501933389016371","0.764737683971825","n.s.","-0.123063824557244","0.461682252120686","n.s.","0.669507860673364","4.29916916044881e-06","***","0.708515170986767","6.455629188995e-07","***","-0.230884354099906","0.163121841056644","n.s.","-0.101609548176275","0.543841638762155","n.s.","-0.00221553667532671","0.98946722931285","n.s.","-0.671277912947725","3.96879328097565e-06","***","-0.17905913958476","0.282085985021602","n.s.","0.238656159971408","0.167378081116693","n.s.","0.394302835836225","0.0157405152645296","*","-0.423092580184335","0.0090793482904912","**","0.420962627982262","0.00849193321191488","**","0.415153770547233","0.0095464734323103","**","-0.400900331258991","0.0126177707162539","*","0.939682083808838","0","***","0.936945563001337","0","***","1","0","***","0.999999999999861","0","***"
"main.fungal.marker.18.2.9.12.c","-0.444749702975366","0.00514713390798241","**","-0.0501933881244607","0.764737459780777","n.s.","-0.123063871012666","0.461682081730986","n.s.","0.669507846551556","4.29917189403994e-06","***","0.708515170617076","6.45562931333998e-07","***","-0.230884231973708","0.16312206984614","n.s.","-0.101609416126396","0.543842165011778","n.s.","-0.0022155314843485","0.989467253989643","n.s.","-0.671277908900534","3.96879400900359e-06","***","-0.179059125263965","0.282086024146189","n.s.","0.238656163165137","0.167378075262792","n.s.","0.394302791767974","0.0157405279734046","*","-0.423092538218427","0.00907935588268492","**","0.420962580817166","0.0084919413517186","**","0.415153736084276","0.00954648000584557","**","-0.400900434490909","0.0126177457532529","*","0.939682063812039","0","***","0.93694553114965","0","***","0.999999999999861","0","***","1","0","***"
