"","corr...38. R","corr...38. sig","massloss R","massloss sig","cellulase R","cellulase sig","chitinase R","chitinase sig","phosphatase R","phosphatase sig","protease R","protease sig","phenoloxydase R","phenoloxydase sig","peroxydase R","peroxydase sig","cellulase2phenolxydase R","cellulase2phenolxydase sig","cellulase2peroxydase R","cellulase2peroxydase sig","chitinase2phenoloxydase R","chitinase2phenoloxydase sig","chitinase2peroxydase R","chitinase2peroxydase sig","phosphatase2phenoloxydase R","phosphatase2phenoloxydase sig","phosphatase2peroxydase R","phosphatase2peroxydase sig","protase2phenoloxydase R","protase2phenoloxydase sig","protease2peroxydase R","protease2peroxydase sig","aa_conc R","aa_conc sig","g_prot_depoly R","g_prot_depoly sig","g_aa_immo R","g_aa_immo sig","g_n_min R","g_n_min sig","g_nh4_immo R","g_nh4_immo sig","g_nitrifi R","g_nitrifi sig","g_n03_immo R","g_n03_immo sig","g_p_min R","g_p_min sig","g_p_immo R","g_p_immo sig","g_glucan_depoly R","g_glucan_depoly sig","net_glucan_depoly R","net_glucan_depoly sig","g_glucose_consumption R","g_glucose_consumption sig","glucose_conc R","glucose_conc sig","C_mic R","C_mic sig","N_.mic R","N_.mic sig","P_mic R","P_mic sig","C.N_mic R","C.N_mic sig","C.Pmic R","C.Pmic sig","N.Pmic R","N.Pmic sig","total.PFLA.content R","total.PFLA.content sig","identified.PLFA.content R","identified.PLFA.content sig","approx..Fungal.Biomass R","approx..Fungal.Biomass sig","main.fungal.marker.18.2.9.12.c R","main.fungal.marker.18.2.9.12.c sig","Sum.of.gram.positiv.markers R","Sum.of.gram.positiv.markers sig","Sum.of.general.bacterial.markers.incl..gram. R","Sum.of.general.bacterial.markers.incl..gram. sig","ratioF.B.1 R","ratioF.B.1 sig","ratioF.B.2 R","ratioF.B.2 sig","ratioF.B.3 R","ratioF.B.3 sig","al R","al sig","ar R","ar sig","bf R","bf sig","c R","c sig","cp R","cp sig","cut0 R","cut0 sig","cut1 R","cut1 sig","f R","f sig","g R","g sig","ind R","ind sig","o R","o sig","p R","p sig","ph R","ph sig","Ph R","Ph sig","short R","short sig","sy R","sy sig","ter R","ter sig","unk R","unk sig","al.1 R","al.1 sig","C R","C sig","Cut R","Cut sig","L R","L sig","N R","N sig","non R","non sig","Ph.1 R","Ph.1 sig","unk.1 R","unk.1 sig","adf R","adf sig","cellulose R","cellulose sig","llignin_extr R","llignin_extr sig","starch R","starch sig","C_lit R","C_lit sig","N_lit R","N_lit sig","P_lit R","P_lit sig","C.N_lit R","C.N_lit sig","C.P_lit R","C.P_lit sig","N.P_lit R","N.P_lit sig","NH4.concentration R","NH4.concentration sig","NO3.concentration R","NO3.concentration sig","PO4.concentration R","PO4.concentration sig","DOC R","DOC sig","TN R","TN sig","DON R","DON sig","K.litter R","K.litter sig","CA.litter R","CA.litter sig","MG.litter R","MG.litter sig","FE.litter R","FE.litter sig","MN.litter R","MN.litter sig","ZN.litter R","ZN.litter sig","corr...60. R","corr...60. sig","recidx R","recidx sig","L_PH R","L_PH sig"
"corr...38.","1","***","0.14439233004916","n.s.","0.0985042148396728","n.s.","0.244951965607363","n.s.","0.292750447014346","n.s.","-0.352847471900765","n.s.","0.189365096106004","n.s.","0.16700630556337","n.s.","-0.0584933099862609","n.s.","0.0946225777424742","n.s.","0.270431033639673","n.s.","0.284361922788706","n.s.","-0.266521631537614","n.s.","-0.0708970217446825","n.s.","-0.434282374526833","n.s.","-0.294674968286106","n.s.","0.177477247354508","n.s.","0.320003009267399","n.s.","-0.0513533137684833","n.s.","0.202571328411128","n.s.","0.175625759143305","n.s.","-0.0309614854740251","n.s.","-0.0311800714024626","n.s.","-0.13510287694281","n.s.","-0.0272745009464398","n.s.","0.118662038791959","n.s.","-0.242963496647714","n.s.","0.103289240490422","n.s.","0.273328590433102","n.s.","0.148418853696498","n.s.","0.223333423395404","n.s.","-0.341765816606469","n.s.","-0.01554476665152","n.s.","0.275487013792553","n.s.","0.329984698555214","n.s.","0.43382265601453","n.s.","0.466108149999092",".","0.354278909548889","n.s.","0.354279031556155","n.s.","0.245015890583036","n.s.","0.436831994616848","n.s.","-0.0675809985678031","n.s.","0.234027070531781","n.s.","-0.321815674991244","n.s.","0.413020901901377","n.s.","0.265716284982121","n.s.","-0.0293532615404655","n.s.","-0.293758440893993","n.s.","0.231493340646663","n.s.","0.445441801437227",".","0.302880013781432","n.s.","-0.475852739796751",".","-0.20720747064798","n.s.","0.260161777729351","n.s.","-0.190971284485271","n.s.","0.239846032128908","n.s.","0.327386560484814","n.s.","0.150404582205528","n.s.","0.158195138726235","n.s.","0.163694801865836","n.s.","-0.360299694454578","n.s.","-0.454874716834907",".","0.0133550086358202","n.s.","-0.375484004680552","n.s.","0.384272906045902","n.s.","-0.124787153671289","n.s.","0.255108611338209","n.s.","0.18630912760365","n.s.","0.152506370106142","n.s.","-0.23168961770289","n.s.","-0.120400227592981","n.s.","-0.0657497182880697","n.s.","-0.131164362371323","n.s.","-0.136410160056359","n.s.","0.134676494770692","n.s.","0.373535062868944","n.s.","-0.0382363975384766","n.s.","-0.392361096272106","n.s.","0.131187541080174","n.s.","0.365752137147521","n.s.","0.312853572600786","n.s.","0.356680273089419","n.s.","0.0084417180567091","n.s.","-0.0809160507042201","n.s.","-0.0785313511690235","n.s.","-0.419346146593188","n.s.","0.495734456481143",".","-0.228773032662825","n.s.","-0.384643971964025","n.s.","-0.159537393476047","n.s.","0.382530144250653","n.s.","0.26558336182977","n.s.","-0.0492917676478616","n.s.","-0.539148918883248","*","0.104553119877956","n.s."
"massloss","0.14439233004916","n.s.","1","***","-0.0696613619833671","n.s.","-0.0524464062130589","n.s.","-0.0205750491497605","n.s.","0.184468648767226","n.s.","-0.090518505185537","n.s.","-0.0262211736642936","n.s.","-0.0446762521132013","n.s.","-0.110017589341093","n.s.","0.0234596498263274","n.s.","-0.059295781450552","n.s.","0.224758224288758","n.s.","0.155934204473429","n.s.","0.345642882934205","n.s.","0.361256397684513","n.s.","0.129326459950983","n.s.","-0.244051515409202","n.s.","0.0150364787930632","n.s.","0.0704744867943242","n.s.","0.0748663870359642","n.s.","0.160020041838419","n.s.","0.192944120428008","n.s.","0.0516512765357614","n.s.","0.079561775438035","n.s.","-0.0106559072572998","n.s.","0.211501625570741","n.s.","-0.0700568640166024","n.s.","-0.191072563144394","n.s.","-0.063486235561316","n.s.","-0.0630392344555304","n.s.","0.300696508676232","n.s.","-0.0182500569236302","n.s.","-0.182652535178702","n.s.","-0.207772891646089","n.s.","0.122904150263953","n.s.","0.115623831625319","n.s.","-0.121928883153617","n.s.","-0.121928590960875","n.s.","0.0383178227937485","n.s.","0.101790585601803","n.s.","0.0126000916554941","n.s.","-0.170582977685803","n.s.","-0.0483628903092808","n.s.","0.00190693399899656","n.s.","-0.112518933689827","n.s.","0.0667386140650167","n.s.","-0.0779894483514424","n.s.","-0.260637816302011","n.s.","-0.111901764953405","n.s.","-0.0993007400872142","n.s.","0.123157080469886","n.s.","0.0144897511450395","n.s.","0.0691059273165404","n.s.","0.176174438427068","n.s.","0.183963867558981","n.s.","0.0768035005146517","n.s.","-0.0279307978034312","n.s.","-0.294283800096227","n.s.","0.0987077242981802","n.s.","0.218870241069631","n.s.","0.31859532693014","n.s.","0.25910011430965","n.s.","-0.0254569693056847","n.s.","-0.109228427398123","n.s.","0.0393373877422966","n.s.","0.167744211424089","n.s.","-0.248667670764812","n.s.","-0.0268079973748373","n.s.","0.168202942456859","n.s.","0.0850064416678573","n.s.","0.0423502565769537","n.s.","0.0940380262992756","n.s.","-0.299923173452222","n.s.","0.414387551653396",".","0.0901455409402898","n.s.","0.0270379470466142","n.s.","-0.0404446415238057","n.s.","0.00212530646054954","n.s.","0.0212298497160322","n.s.","0.016903009616702","n.s.","0.0737829033638976","n.s.","0.0567324530582821","n.s.","0.255791299748352","n.s.","0.272480164661522","n.s.","0.286702540832241","n.s.","-0.149544622575665","n.s.","-0.173246208929236","n.s.","0.300242159719427","n.s.","-0.132741993595637","n.s.","-0.155360856182651","n.s.","-0.0728839186877296","n.s.","0.0735784637396823","n.s.","0.233602294634806","n.s.","-0.0014490713192014","n.s."
"cellulase","0.0985042148396728","n.s.","-0.0696613619833671","n.s.","1","***","0.930636786807703","***","0.800962298463662","***","0.426125343440881",".","0.874193846011166","***","0.85568812558068","***","0.652949461548011","**","0.465597709850012","*","0.411898209378558",".","0.202562549414233","n.s.","-0.755169417476334","***","-0.718265715554229","***","-0.649175138100181","**","-0.641168928131088","**","0.861070010511467","***","0.468126742121852","*","0.660159290698743","**","0.855433074803445","***","0.861478231460587","***","0.721366077752478","***","0.5812098713157","**","0.784705937514963","***","0.457102584338094",".","0.519386331260527","*","-0.507590380789261","*","0.541764883285852","*","0.603130592230095","**","0.91785498625844","***","0.748327342928482","***","-0.534434701408217","*","0.503868716499449","*","0.838255244240474","***","0.680547764783195","**","0.331457932110526","n.s.","0.293956942956538","n.s.","-0.308427856174295","n.s.","-0.3084279723335","n.s.","0.445650390241093",".","0.529351098724936","*","-0.478116497074245","*","0.419378954748809",".","-0.803463635121669","***","0.0832384508172536","n.s.","0.633312929196573","**","-0.810363561664116","***","-0.207713911835795","n.s.","0.748667159395412","***","0.696187743302518","***","0.824418369453995","***","-0.462691800822663","*","0.463378377093302","*","0.286984412890795","n.s.","-0.134319553360274","n.s.","0.563486793179555","*","-0.184740907443947","n.s.","-0.464468585531262","*","0.487011076613135","*","0.324056381106336","n.s.","-0.81806317302652","***","-0.460861559101323","*","-0.373963906769743","n.s.","-0.155460974399811","n.s.","0.794006451000043","***","0.467533644284882","*","0.530235996056221","*","0.508465949315533","*","-0.461869418610919","*","-0.816158894688293","***","-0.771202807641968","***","-0.776716281517903","***","-0.73203642586049","***","0.197806873695725","n.s.","-0.249086838828029","n.s.","0.706479123962187","***","0.738066080068527","***","-0.69224450659302","**","-0.641498387296923","**","-0.305734289761543","n.s.","0.88101051990151","***","0.679292666882651","**","0.62724920970406","**","0.502699897732086","*","0.507623912024673","*","-0.325776818803567","n.s.","0.578381812463537","**","-0.0415666024802696","n.s.","-0.678126065067367","**","-0.0656001098426474","n.s.","0.811177324231773","***","0.53076365424502","*","0.24736647166851","n.s.","-0.465052685798887","*","-0.254634200737664","n.s."
"chitinase","0.244951965607363","n.s.","-0.0524464062130589","n.s.","0.930636786807703","***","1","***","0.752784932203067","***","0.32028175651953","n.s.","0.881505512852119","***","0.781635646949105","***","0.504939964807965","*","0.492820592864174","*","0.582288734411599","**","0.449461094999623",".","-0.77871610601743","***","-0.630309547649856","**","-0.698808374976352","***","-0.625159930001654","**","0.903610757007065","***","0.554509547140568","*","0.634039480335692","**","0.85822667112678","***","0.84788761292908","***","0.77288728535103","***","0.647538317072442","**","0.706877333759089","**","0.327462224877472","n.s.","0.666206016906287","**","-0.576263623630803","**","0.692469192700873","**","0.699927485787799","***","0.939986074710988","***","0.85884539269689","***","-0.531328055057715","*","0.442575105375615",".","0.861910962825726","***","0.772266865648132","***","0.514011452157523","*","0.471960999503814","*","-0.0663819015094913","n.s.","-0.0663819548564457","n.s.","0.406101386557128",".","0.666583006937745","**","-0.393566956067507",".","0.372067096468008","n.s.","-0.87477308123005","***","0.257677003543467","n.s.","0.799845058040788","***","-0.845137529386619","***","-0.331457591291335","n.s.","0.838873380436533","***","0.821838400150874","***","0.931088055530825","***","-0.606385779015746","**","0.351874623526656","n.s.","0.445658571037395",".","-0.226971478576481","n.s.","0.718885876249233","***","-0.0889572743650696","n.s.","-0.384720554925289","n.s.","0.5851792047585","**","0.228406538999571","n.s.","-0.875394439119686","***","-0.61401408763579","**","-0.272909810839927","n.s.","-0.27420333451868","n.s.","0.91397902281297","***","0.350098588180672","n.s.","0.693815934909766","***","0.640777820990593","**","-0.381863347983669","n.s.","-0.916641507298953","***","-0.736767304843163","***","-0.822140907606306","***","-0.674633502404241","**","0.0572505408419255","n.s.","-0.242003396571998","n.s.","0.848644324707309","***","0.765226249029088","***","-0.844836247072092","***","-0.634520332564685","**","-0.231098073538053","n.s.","0.968374961854451","***","0.803424587883263","***","0.610545791453129","**","0.587375224342728","**","0.586811742106377","**","-0.33391140324269","n.s.","0.73624389807135","***","-0.208622999665644","n.s.","-0.746062138991462","***","-0.216425262022463","n.s.","0.93185141809317","***","0.718946051796278","***","0.0912764468170535","n.s.","-0.614059326940856","**","-0.256820432190434","n.s."
"phosphatase","0.292750447014346","n.s.","-0.0205750491497605","n.s.","0.800962298463662","***","0.752784932203067","***","1","***","0.423408706451612",".","0.802450150755763","***","0.668139450223702","**","0.546272896661658","*","0.534380507665743","*","0.210528079693308","n.s.","0.173097970729597","n.s.","-0.691497350234525","**","-0.529807490781231","*","-0.654915963494978","**","-0.563920568803566","*","0.631623407380671","**","0.272568748282171","n.s.","0.436294943422956",".","0.711950633835906","***","0.680624410590109","**","0.679986365876246","**","0.522508202558124","*","0.561900787764228","*","0.279751311498075","n.s.","0.36632987864041","n.s.","-0.264654175690163","n.s.","0.338070339953738","n.s.","0.379219511439295","n.s.","0.708823120070407","***","0.691782111984138","**","-0.652214802360599","**","0.212149398492","n.s.","0.726664761034278","***","0.694686579797926","***","0.255672181241671","n.s.","0.221993551552037","n.s.","-0.239356798140638","n.s.","-0.239357011864978","n.s.","0.415230122393534",".","0.393657325286108",".","-0.399001644427112",".","0.689804065063884","**","-0.605400812368356","**","0.0273343271444394","n.s.","0.471208335716613","*","-0.650538418700485","**","-0.198654314128654","n.s.","0.707176979427139","***","0.759298697797239","***","0.698495069337265","***","-0.3904146188345",".","0.373969593421784","n.s.","0.104419166622893","n.s.","-0.0660283826685717","n.s.","0.33602864259337","n.s.","-0.144914667767499","n.s.","-0.413824965789443",".","0.56642372397384","*","0.206542056998132","n.s.","-0.829816583822827","***","-0.447924037226819",".","-0.533713027331479","*","-0.0975347625588562","n.s.","0.754840033380147","***","0.36197817995221","n.s.","0.301643576417734","n.s.","0.512251789110685","*","-0.411292810112358",".","-0.692460681455604","**","-0.730805017027837","***","-0.732365010864996","***","-0.69482099459888","**","0.379723350689232","n.s.","-0.179622584905063","n.s.","0.52241626207679","*","0.52964246755173","*","-0.510501032010892","*","-0.44868153718116",".","-0.176467154288584","n.s.","0.723412700919118","***","0.50936221551566","*","0.524503517088143","*","0.263837641704513","n.s.","0.251510633120774","n.s.","-0.450189821257788",".","0.505906787868092","*","0.154188162204825","n.s.","-0.721385440878046","***","0.11616410906209","n.s.","0.71409845015764","***","0.506117618446851","*","0.342808842372967","n.s.","-0.565957619275518","*","-0.294292059778554","n.s."
"protease","-0.352847471900765","n.s.","0.184468648767226","n.s.","0.426125343440881",".","0.32028175651953","n.s.","0.423408706451612",".","1","***","0.408493628143176",".","0.360387718762752","n.s.","0.221224693383735","n.s.","0.0482485949109587","n.s.","-0.0952981906440716","n.s.","-0.204871822254351","n.s.","-0.233829834510694","n.s.","-0.343501312403756","n.s.","0.16714367646288","n.s.","0.155548740253142","n.s.","0.268822637530038","n.s.","0.0829343067102324","n.s.","0.56648771705674","*","0.327640174088038","n.s.","0.327256809722793","n.s.","0.427628579938304",".","0.383122725701014","n.s.","0.657508178188292","**","0.536526560232365","*","0.129288485745452","n.s.","0.181393545784041","n.s.","0.0336102993227967","n.s.","-0.150825476125203","n.s.","0.318237060481425","n.s.","0.293174565783216","n.s.","0.083269849729011","n.s.","0.0568872401159306","n.s.","0.0726234048917731","n.s.","0.0232194114456737","n.s.","-0.204177132216418","n.s.","-0.274146842816824","n.s.","-0.578952538759137","**","-0.578952380427919","**","0.096133303577618","n.s.","-0.149581553793926","n.s.","-0.126660492070411","n.s.","0.294320378159047","n.s.","-0.0834508350235107","n.s.","-0.39673348635266",".","-0.0631354117766175","n.s.","-0.358728250595598","n.s.","0.186368933393626","n.s.","0.15992349205433","n.s.","0.115899716858577","n.s.","0.217341131059983","n.s.","0.35287513243017","n.s.","0.414479521251255",".","-0.181578816721353","n.s.","0.151534205850203","n.s.","0.183253533027325","n.s.","-0.586110547715924","**","-0.612225191018366","**","0.188375506450614","n.s.","0.107890435528953","n.s.","-0.133532992888419","n.s.","0.348353947572454","n.s.","-0.27150111448185","n.s.","0.414928979142184",".","0.17654835910649","n.s.","0.367415759039338","n.s.","0.112463124138029","n.s.","0.102316409550246","n.s.","-0.612565664375394","**","-0.164170145068992","n.s.","-0.576199551777095","*","-0.581789624008212","*","-0.546482788601753","*","0.123323030750842","n.s.","-0.260455942568937","n.s.","0.0164447932674177","n.s.","0.57152724039117","*","0.0259863589261547","n.s.","-0.630512375624178","**","-0.681252450369202","**","0.251635795528812","n.s.","0.133005867061998","n.s.","0.487234200308299","*","0.423541024493314",".","0.430481369832522",".","0.245546888696815","n.s.","-0.259416050274247","n.s.","0.437564371477559",".","0.108960686659722","n.s.","0.360789203187994","n.s.","0.0547220247522528","n.s.","0.204361614483258","n.s.","0.495260764631294","*","0.234868319659815","n.s.","-0.643052655428788","**"
"phenoloxydase","0.189365096106004","n.s.","-0.090518505185537","n.s.","0.874193846011166","***","0.881505512852119","***","0.802450150755763","***","0.408493628143176",".","1","***","0.797746156055885","***","0.263251633185163","n.s.","0.33430923865992","n.s.","0.186486279292125","n.s.","0.211682391809851","n.s.","-0.910513102442443","***","-0.693869742570656","***","-0.761480349423568","***","-0.670319170011656","**","0.697091481480908","***","0.354027939409017","n.s.","0.549683222556763","*","0.75332800160055","***","0.735099816533506","***","0.693317334141559","***","0.59925794699772","**","0.62107402690662","**","0.34859571376751","n.s.","0.442622757037209",".","-0.530009435045527","*","0.505301211775775","*","0.571525639651112","*","0.86603587934393","***","0.683470504450663","**","-0.599479865227726","**","0.487392732113878","*","0.836580232441854","***","0.679860239323935","**","0.319992089074948","n.s.","0.295072212808185","n.s.","-0.22854968164564","n.s.","-0.228549822046908","n.s.","0.435708516966546",".","0.511713129559973","*","-0.443607399419266",".","0.571616046818823","*","-0.769098885967271","***","0.216793405195394","n.s.","0.658083649966375","**","-0.67102430961502","**","-0.255966253663265","n.s.","0.75881405030951","***","0.807952082488236","***","0.802238205194022","***","-0.539462654121302","*","0.296307548205875","n.s.","0.324229528555022","n.s.","-0.167553784894511","n.s.","0.454069518733225",".","-0.105726650850437","n.s.","-0.320279479650364","n.s.","0.528719452187342","*","0.0512165349199249","n.s.","-0.820820600314795","***","-0.565759629699612","*","-0.362807278875312","n.s.","-0.219470491520137","n.s.","0.835879992489203","***","0.255430702310593","n.s.","0.447558798322547",".","0.549594308826911","*","-0.318249030311204","n.s.","-0.749178431520208","***","-0.718997988936678","***","-0.830037377796637","***","-0.649808496609541","**","0.0681715006655704","n.s.","-0.306495636151189","n.s.","0.67303490043538","**","0.591747241591567","**","-0.678654655370584","**","-0.484894691916464","*","-0.144933829034683","n.s.","0.85492954292424","***","0.626665087592121","**","0.482794541621015","*","0.399955790987628",".","0.397316815099219",".","-0.420694215850937",".","0.64933403972528","**","-0.0698942015365887","n.s.","-0.737356174029715","***","-0.0539221821423138","n.s.","0.812469154381936","***","0.593972410547692","**","0.365474640234353","n.s.","-0.651921628481829","**","-0.258307216200921","n.s."
"peroxydase","0.16700630556337","n.s.","-0.0262211736642936","n.s.","0.85568812558068","***","0.781635646949105","***","0.668139450223702","**","0.360387718762752","n.s.","0.797746156055885","***","1","***","0.442152511170967",".","0.0200154771454899","n.s.","0.203180151495348","n.s.","-0.133689273004496","n.s.","-0.701457565703778","***","-0.861931110926298","***","-0.567578379567463","*","-0.677886919259061","**","0.722218332180901","***","0.287758815877902","n.s.","0.448402432165498",".","0.833317131186634","***","0.847216804369431","***","0.619953122159011","**","0.542993482384545","*","0.769747123506925","***","0.483004189715117","*","0.352225950136399","n.s.","-0.424955998986927",".","0.397440031493662",".","0.538090531820542","*","0.897164831045882","***","0.527862025701793","*","-0.415244585250085",".","0.767289301614446","***","0.834693727365537","***","0.498744858956496","*","0.500703465046653","*","0.464184676207807","*","-0.144266715036719","n.s.","-0.144266878031929","n.s.","0.569369122311537","*","0.657978002489136","**","-0.433203456419112",".","0.225987212217188","n.s.","-0.765454573527856","***","0.153432148471557","n.s.","0.565773115171014","*","-0.666003836541725","**","-0.122913279338614","n.s.","0.58207339884769","**","0.573601824700289","*","0.749145677132112","***","-0.396905636501983",".","0.371065983859435","n.s.","0.350532970601436","n.s.","-0.116011735649902","n.s.","0.501832049671227","*","-0.177158526025304","n.s.","-0.411116234783479",".","0.314202133294074","n.s.","0.267558168483247","n.s.","-0.68426035586143","**","-0.37565887444822","n.s.","-0.187163851972251","n.s.","-0.130659423631432","n.s.","0.692909800000794","**","0.376642410200137","n.s.","0.49293443343621","*","0.369138579869874","n.s.","-0.408965565415939",".","-0.671026011881817","**","-0.720774764607656","***","-0.73539838598859","***","-0.681247338697393","**","0.0422729289477328","n.s.","-0.164973507389794","n.s.","0.699472113204059","***","0.691763596127065","**","-0.673375020954606","**","-0.615565010635112","**","-0.297129810598829","n.s.","0.738167939859464","***","0.613154792413446","**","0.686136800095865","**","0.590679295241525","**","0.589181355058486","**","-0.0912297412665068","n.s.","0.50217061015568","*","-0.123554717001868","n.s.","-0.480726349696545","*","-0.110555332019157","n.s.","0.687486122735613","**","0.445541882188453",".","0.191129913528456","n.s.","-0.390638533747445",".","-0.271323429591609","n.s."
"cellulase2phenolxydase","-0.0584933099862609","n.s.","-0.0446762521132013","n.s.","0.652949461548011","**","0.504939964807965","*","0.546272896661658","*","0.221224693383735","n.s.","0.263251633185163","n.s.","0.442152511170967",".","1","***","0.635920266725028","**","0.531656180519384","*","0.194495565032819","n.s.","-0.24286750225838","n.s.","-0.380931384886594","n.s.","-0.292644641583303","n.s.","-0.354932521400667","n.s.","0.657429766809515","**","0.427311201278235",".","0.484746967661847","*","0.482745579277067","*","0.506314408248056","*","0.331475006412423","n.s.","0.149103630816527","n.s.","0.575983136386336","*","0.324095644273502","n.s.","0.454227607438931",".","-0.272534388644158","n.s.","0.380103033365349","n.s.","0.394401872147682",".","0.471594941281974","*","0.563272754970002","*","-0.431221929231813",".","0.0668209643869108","n.s.","0.470909464748468","*","0.522692042094924","*","0.13311916187719","n.s.","0.112480012684361","n.s.","-0.251545182599726","n.s.","-0.251545419462821","n.s.","0.296362987505689","n.s.","0.252737889051539","n.s.","-0.375028412586059","n.s.","0.234223587466359","n.s.","-0.430105128208638",".","-0.330681219025713","n.s.","0.196115415477751","n.s.","-0.659642621940797","**","0.117143008059354","n.s.","0.463256793467364","*","0.214025210722514","n.s.","0.442637905386376",".","-0.0805772355975088","n.s.","0.633372451085983","**","-0.101759840798061","n.s.","0.185896974791206","n.s.","0.278105119581305","n.s.","-0.313987257900598","n.s.","-0.569711430960761","*","0.239042786118924","n.s.","0.591508234445052","**","-0.528403696166133","*","-0.0731537476377196","n.s.","-0.489231744914207","*","0.143204853699968","n.s.","0.348890257723371","n.s.","0.680511974781675","**","0.208592322603818","n.s.","0.192187718947716","n.s.","-0.567484035814043","*","-0.531936904960964","*","-0.532387617717856","*","-0.319531767820276","n.s.","-0.572199252487127","*","0.589304506336927","*","-0.0931541898690216","n.s.","0.299808278041402","n.s.","0.561828729003774","*","-0.265375931935951","n.s.","-0.54136881464407","*","-0.410049339463974",".","0.436466669219024",".","0.321531535336501","n.s.","0.581098281973023","**","0.204785913075091","n.s.","0.210076600340956","n.s.","-0.206698649489337","n.s.","0.156072470630398","n.s.","0.256084272286416","n.s.","-0.39097608310765",".","0.180851635809239","n.s.","0.434545523640713",".","0.291519717867923","n.s.","0.0151426238453158","n.s.","0.00951065982490054","n.s.","-0.180098945266234","n.s."
"cellulase2peroxydase","0.0946225777424742","n.s.","-0.110017589341093","n.s.","0.465597709850012","*","0.492820592864174","*","0.534380507665743","*","0.0482485949109587","n.s.","0.33430923865992","n.s.","0.0200154771454899","n.s.","0.635920266725028","**","1","***","0.559801059125284","*","0.739620550744736","***","-0.368053232201375","n.s.","0.0468247188318371","n.s.","-0.473707367148585","*","-0.221628567072877","n.s.","0.542476638669205","*","0.495598636175044","*","0.470349887439528","*","0.251348439472279","n.s.","0.239760929146829","n.s.","0.214200610996313","n.s.","0.009876747830267","n.s.","0.188653000334999","n.s.","-0.0285396461769253","n.s.","0.569630751206153","*","-0.451226278973911",".","0.550244709476314","*","0.486025782749473","*","0.293178326575837","n.s.","0.682100024022649","**","-0.626727395506937","**","-0.362570116329841","n.s.","0.396288262779888",".","0.724560573353973","***","-0.0307390202089648","n.s.","-0.0304057665989718","n.s.","-0.179973685795509","n.s.","-0.179973839538833","n.s.","0.0702294442317588","n.s.","0.0985123573497037","n.s.","-0.286978603712518","n.s.","0.544218932562229","*","-0.385939432564545","n.s.","-0.165229792557898","n.s.","0.333298423173421","n.s.","-0.550104701941904","*","-0.106519742932011","n.s.","0.622593223935342","**","0.42666151951046",".","0.443054294849628",".","-0.290225305901628","n.s.","0.396518414588919",".","-0.0746994242352455","n.s.","0.0571970995583199","n.s.","0.228321064080807","n.s.","-0.087137845492721","n.s.","-0.309931222805176","n.s.","0.489778626373534","*","0.227734620082072","n.s.","-0.604813012764756","**","-0.3428109507808","n.s.","-0.600981389353698","**","-0.0334495008613037","n.s.","0.45216091076192",".","0.38624266324497","n.s.","0.173181400458074","n.s.","0.427232837007271",".","-0.307799570564684","n.s.","-0.562647170739218","*","-0.364887852874358","n.s.","-0.276630369119827","n.s.","-0.374392749449798","n.s.","0.574411640683186","*","-0.212218576000483","n.s.","0.240903241021476","n.s.","0.310583760900422","n.s.","-0.2541537255981","n.s.","-0.245314817730481","n.s.","-0.0965954938383092","n.s.","0.473561852326956","*","0.264653554347099","n.s.","0.230431288451764","n.s.","-0.0954201046420844","n.s.","-0.0948755607084723","n.s.","-0.582663715402102","**","0.35995211631901","n.s.","0.225135799230624","n.s.","-0.654216428663079","**","0.166357710733403","n.s.","0.540096305518103","*","0.513221535841501","*","0.0926258962112555","n.s.","-0.310469659367556","n.s.","-0.0781685148396986","n.s."
