"","protease R","protease p","protease sig","phenoloxydase R","phenoloxydase p","phenoloxydase sig","peroxydase R","peroxydase p","peroxydase sig","cellulase2phenolxydase R","cellulase2phenolxydase p","cellulase2phenolxydase sig","cellulase2peroxydase R","cellulase2peroxydase p","cellulase2peroxydase sig","protase2phenoloxydase R","protase2phenoloxydase p","protase2phenoloxydase sig","protease2peroxydase R","protease2peroxydase p","protease2peroxydase sig","aa_conc R","aa_conc p","aa_conc sig","g_prot_depoly R","g_prot_depoly p","g_prot_depoly sig","g_aa_immo R","g_aa_immo p","g_aa_immo sig","g_p_immo R","g_p_immo p","g_p_immo sig","g_glucan_depoly R","g_glucan_depoly p","g_glucan_depoly sig","net_glucan_depoly R","net_glucan_depoly p","net_glucan_depoly sig","g_glucose_consumption R","g_glucose_consumption p","g_glucose_consumption sig","glucose_conc R","glucose_conc p","glucose_conc sig","N.Pmic R","N.Pmic p","N.Pmic sig","total.PFLA.content R","total.PFLA.content p","total.PFLA.content sig","identified.PLFA.content R","identified.PLFA.content p","identified.PLFA.content sig","approx..Fungal.Biomass R","approx..Fungal.Biomass p","approx..Fungal.Biomass sig","main.fungal.marker.18.2.9.12.c R","main.fungal.marker.18.2.9.12.c p","main.fungal.marker.18.2.9.12.c sig","al R","al p","al sig","ar R","ar p","ar sig","bf R","bf p","bf sig","c.cp R","c.cp p","c.cp sig","c.f R","c.f p","c.f sig","f.f R","f.f p","f.f sig","f.fp R","f.fp p","f.fp sig","g R","g p","g sig","ind R","ind p","ind sig","o R","o p","o sig","unk R","unk p","unk sig","al.1 R","al.1 p","al.1 sig","C R","C p","C sig","Cut R","Cut p","Cut sig","L R","L p","L sig","cellulose R","cellulose p","cellulose sig","llignin_extr R","llignin_extr p","llignin_extr sig","starch R","starch p","starch sig","C_lit R","C_lit p","C_lit sig","N_lit R","N_lit p","N_lit sig","NO3.concentration R","NO3.concentration p","NO3.concentration sig","PO4.concentration R","PO4.concentration p","PO4.concentration sig","DOC R","DOC p","DOC sig","TN R","TN p","TN sig","DON R","DON p","DON sig","MN.litter R","MN.litter p","MN.litter sig","ZN.litter R","ZN.litter p","ZN.litter sig","corr...60. R","corr...60. p","corr...60. sig","recidx R","recidx p","recidx sig","L_PH R","L_PH p","L_PH sig"
"g_p_immo","0.168741874284724","0.325214697604448","n.s.","0.322373754665338","0.0551713869256956",".","0.327477241959589","0.051216927482062",".","0.332710309614879","0.047400729819181","*","0.239914554132576","0.158726932227124","n.s.","-0.214115134064039","0.209858329230479","n.s.","-0.176923007131714","0.301956907242693","n.s.","0.379482143074364","0.0224496791354734","*","-0.0438390722559785","0.799593328146374","n.s.","0.423696857190085","0.0100228541816951","*","1","0","***","0.450357179735164","0.00663207589683634","**","-0.482030423127054","0.00336576484902009","**","0.380764080273452","0.0219622289058234","*","0.394905418631826","0.0171442239299084","*","-0.131973706508074","0.44292581355464","n.s.","0.329300998383694","0.0533988968477679",".","0.331164720307533","0.0519831275328535",".","0.238656159971408","0.167378081116693","n.s.","0.238656163165137","0.167378075262792","n.s.","0.201575743976317","0.238430117224913","n.s.","0.09589340354625","0.577978659531337","n.s.","-0.236436967613055","0.165035981251793","n.s.","0.133853226888776","0.436399324622703","n.s.","-0.0302831745357496","0.860823005102203","n.s.","-0.0584663532613952","0.734829877145698","n.s.","0.151213122912015","0.378676873211872","n.s.","0.117208463542953","0.496008058917234","n.s.","0.173264952291956","0.312222159637904","n.s.","0.355857138578713","0.0331658213193757","*","-0.0604314305451517","0.72625431031062","n.s.","0.261643870243349","0.123206720743088","n.s.","0.03929943025718","0.81998623481203","n.s.","0.133262359983745","0.438445338049739","n.s.","0.108759600336254","0.527775719564722","n.s.","-0.08604398454681","0.623094662132072","n.s.","-0.245995213794666","0.154310267981635","n.s.","0.0143995963610744","0.938716846972752","n.s.","-0.0452488723580779","0.793286049742124","n.s.","0.265342916537772","0.117804393293992","n.s.","-0.00117805890400722","0.994559354493126","n.s.","0.285205065773017","0.0917841782834872",".","0.383624516411655","0.020906194749521","*","0.362931956382331","0.0295906639372983","*","0.0501490531448424","0.771465881247524","n.s.","0.22104844321095","0.195120448097249","n.s.","0.286168109366898","0.0906451978874583",".","0.424514340075633","0.0098646824954105","**","-0.0324080199574091","0.851162926696706","n.s.","-0.177782464295624","0.2995765894449","n.s."
"g_glucan_depoly","-0.0964565460716918","0.564560135331105","n.s.","0.279957437957291","0.0886890765103658",".","0.171476113833975","0.30329720653037","n.s.","0.519843214842175","0.000822839354628124","***","0.594543670135034","8.28146181779399e-05","***","-0.385610427933519","0.0168050205636421","*","-0.277760574433605","0.0913266997886595",".","0.39548889596661","0.0139851806859641","*","-0.142903528658346","0.39205613172772","n.s.","0.372975181628564","0.0210944211747726","*","0.450357179735164","0.00663207589683634","**","1","0","***","-0.709549373605268","8.79205408989256e-07","***","0.970557353851506","0","***","0.797383318744838","2.07235428817398e-09","***","0.337303310022531","0.038363783755947","*","0.527088416982182","0.000802786285824864","***","0.522437726301967","0.000910046579955415","***","0.394302835836225","0.0157405152645296","*","0.394302791767974","0.0157405279734046","*","0.319039109414757","0.0508966234741017",".","0.405326006092304","0.0115853182167969","*","-0.420915870814495","0.0085000058938897","**","0.48628064702477","0.0019650201669088","**","-0.326889643536861","0.0451580390967328","*","-0.345958839054533","0.0333717310189248","*","0.449445592303342","0.00464317063008668","**","0.125424633051031","0.453066816112993","n.s.","0.36271921158552","0.0252150777570708","*","0.238714212056671","0.148925259380922","n.s.","-0.323538223042328","0.0475404238671289","*","0.0378630972637493","0.821444300355584","n.s.","-0.099345045373339","0.552901700556484","n.s.","0.489203640505467","0.0018278553922062","**","0.0955733638354933","0.568147265125219","n.s.","-0.256133510327375","0.12597248776208","n.s.","-0.295726089308038","0.075555407916419",".","0.095436867713944","0.603355160256423","n.s.","-0.235388657888013","0.154840298518548","n.s.","0.47069609630222","0.00285998848379809","**","0.0490645964218606","0.769883602211073","n.s.","0.501279084269721","0.00134633907076576","**","0.498649335438903","0.00144040636113307","**","0.47107869398086","0.00283434440440056","**","0.089341630050226","0.593749807727866","n.s.","0.510199409076596","0.00106636748208033","**","0.631163701994172","2.15137035874946e-05","***","0.2644857624348","0.108568968201019","n.s.","-0.345825157461274","0.0334445696645477","*","-0.273449643322666","0.096677573610232","."
"net_glucan_depoly","0.304145925317175","0.0633816282135478",".","-0.36810481551378","0.0229751410279835","*","-0.222272943025695","0.17983589315963","n.s.","-0.46402094264898","0.00334118929210462","**","-0.58626015370926","0.000109856461399268","***","0.605867822052195","5.55633132761635e-05","***","0.435843168062734","0.00623395741149269","**","-0.373872775822559","0.0207622278160781","*","0.167576672579829","0.314589633429591","n.s.","-0.247379641421652","0.134290838070845","n.s.","-0.482030423127054","0.00336576484902009","**","-0.709549373605268","8.79205408989256e-07","***","1","0","***","-0.831133984552463","1.04916525051982e-10","***","-0.944765146385167","5.05278411340209e-19","***","-0.179101726482625","0.281969652686498","n.s.","-0.523495328539977","0.0008845987021032","***","-0.526878453422293","0.000807375548064625","***","-0.423092580184335","0.0090793482904912","**","-0.423092538218427","0.00907935588268492","**","-0.437204573480516","0.00605601694380283","**","-0.401923931724567","0.0123722972728404","*","0.269685432406667","0.101543354937009","n.s.","-0.478491240711451","0.0023756480005927","**","0.343464114860546","0.0347526275991044","*","0.442835968373336","0.00536569936590059","**","-0.317787042422317","0.0518636600803603",".","-0.0136337820458952","0.935250737142452","n.s.","-0.374256874126241","0.0206214155595572","*","-0.35078538298045","0.0308276670265377","*","0.409886452235784","0.0105973934834402","*","-0.158845104629854","0.340821437535492","n.s.","0.226396855833169","0.171685865549198","n.s.","-0.348845885352555","0.0318301124690283","*","0.00231060611069497","0.989015291309713","n.s.","0.00950584066615804","0.95547057047324","n.s.","0.118843464104424","0.483568983494541","n.s.","-0.0730453731344916","0.691147216709303","n.s.","0.0995864947246873","0.551932319042416","n.s.","-0.40959373628213","0.0106585752781513","*","0.0667363759956938","0.690562054199841","n.s.","-0.246333146710665","0.135999340055086","n.s.","-0.313483802301722","0.0552999979955377",".","-0.314403326348109","0.0545508601647584",".","-0.0516301949856881","0.758201470713728","n.s.","-0.414901473721121","0.00959470068572572","**","-0.474862192503278","0.0025913727173893","**","-0.469714700362493","0.0029266968620532","**","0.400124331850874","0.0128066053551144","*","-0.0365841517737251","0.827382979518788","n.s."
"g_glucose_consumption","-0.169368494099262","0.302651748570173","n.s.","0.344384256570199","0.0318043301381079","*","0.21505496876405","0.188588083852275","n.s.","0.499416087417942","0.00120908275249398","**","0.605740701119258","4.38586756807968e-05","***","-0.490315646520864","0.00153118912713828","**","-0.356378269701171","0.0259569876033958","*","0.426329660655941","0.00680355772164276","**","-0.157919460870135","0.336973214537772","n.s.","0.318419145896102","0.0482014836747444","*","0.380764080273452","0.0219622289058234","*","0.970557353851506","0","***","-0.831133984552463","1.04916525051982e-10","***","1","0","***","0.904621101978368","2.88657986402541e-15","***","0.329215248032741","0.0407073312817938","*","0.560686839173062","0.000250881437577455","***","0.557354462451988","0.00027801810416106","***","0.420962627982262","0.00849193321191488","**","0.420962580817166","0.0084919413517186","**","0.40533877399704","0.0104698146155258","*","0.453054468241369","0.00377617573200717","**","-0.406736024772858","0.0101819959822911","*","0.528001661498785","0.000551052077189418","***","-0.388102461051213","0.0146307722869918","*","-0.433000195599636","0.00589914403813548","**","0.453326735894158","0.00375268600402712","**","0.0886859644827467","0.591347786051344","n.s.","0.412763965952351","0.00901639716281588","**","0.224237169308907","0.169954919380579","n.s.","-0.393435945872556","0.0132154051787512","*","0.0972910383286797","0.555717072166012","n.s.","-0.195362672396105","0.233311717633496","n.s.","0.501742346937168","0.00113705367896921","**","0.0689389272344184","0.676668945774797","n.s.","-0.196569519803398","0.236872233520315","n.s.","-0.204475196283397","0.218164110014342","n.s.","0.0273195991666581","0.8800421439902","n.s.","-0.193655055380579","0.237503274824085","n.s.","0.500788157323407","0.00116612554135398","**","0.0411949136894996","0.803362621952163","n.s.","0.43779211296439","0.00531534964677816","**","0.489699751450311","0.00155549878705852","**","0.469702447721344","0.00255424958340678","**","0.0673704769109815","0.683638273061078","n.s.","0.53506525078702","0.00044889956047145","***","0.622780520697468","2.29733089336381e-05","***","0.339296670584329","0.0345920054970306","*","-0.4114246162196","0.00926500097307347","**","-0.152660072282675","0.353512461790731","n.s."
"glucose_conc","-0.286710463350831","0.076791599766554",".","0.377420033451286","0.0178531641761397","*","0.281137177602878","0.0829643988253221",".","0.517214331560148","0.000747289719819966","***","0.586679989639572","8.66297865709242e-05","***","-0.618300005383046","2.7331316858138e-05","***","-0.500971320864691","0.00116049447907929","**","0.487945359777002","0.00162662231319488","**","-0.118608188994087","0.472046534213351","n.s.","0.252022094411878","0.12167674243987","n.s.","0.394905418631826","0.0171442239299084","*","0.797383318744838","2.07235428817398e-09","***","-0.944765146385167","5.05278411340209e-19","***","0.904621101978368","2.88657986402541e-15","***","1","0","***","0.307665328883903","0.0567331163282239",".","0.559864420585087","0.000257347927261398","***","0.560998535617213","0.000248468999889173","***","0.415153770547233","0.0095464734323103","**","0.415153736084276","0.00954648000584557","**","0.473582993475879","0.00232522630761789","**","0.511591713577539","0.000872429871565883","***","-0.369697453677271","0.0205372294335013","*","0.604315233929733","4.62189220946652e-05","***","-0.466898680363188","0.00273180010966149","**","-0.556539128942874","0.000233926717298228","***","0.439180036649277","0.0051558935320557","**","0.0664257212433466","0.68784879710865","n.s.","0.419127469327278","0.00791172607628376","**","0.271802291465947","0.0941586676737955",".","-0.528737698652267","0.00053951649580023","***","0.101300507061073","0.539466073039587","n.s.","-0.303586770486426","0.0602678393766419",".","0.479894887188153","0.00199107876945392","**","0.0471865414187235","0.775451703678457","n.s.","-0.0589963162890199","0.724961465269864","n.s.","-0.134236861757704","0.421688424337521","n.s.","0.055114862074224","0.760644623041679","n.s.","-0.115853621419749","0.482469317970612","n.s.","0.488308652149158","0.00161166330056206","**","0.0784125451405467","0.635153568256926","n.s.","0.307573423102838","0.0568109037059485",".","0.419558265869502","0.00784133721962221","**","0.443530289240076","0.00468263960316206","**","0.0222480785524282","0.893058403736786","n.s.","0.553195931949227","0.000259666532637981","***","0.55327748237696","0.000259009559009371","***","0.404115385159791","0.0107274876580024","*","-0.52512121565303","0.000598341593689838","***","0.0631552763691871","0.702495392795571","n.s."
"N.Pmic","0.211996906146609","0.195102754925621","n.s.","0.527862428854757","0.000553258800718437","***","0.524855976281893","0.000602872985578928","***","-0.157376170598531","0.338659249628511","n.s.","-0.105835282523985","0.521365503762419","n.s.","-0.48935825461615","0.00156912405603039","**","-0.570918382182627","0.000147397831315739","***","0.53173434654524","0.000494744744258702","***","0.601121780353546","5.19306963591148e-05","***","0.413475328980784","0.00888669439985712","**","-0.131973706508074","0.44292581355464","n.s.","0.337303310022531","0.038363783755947","*","-0.179101726482625","0.281969652686498","n.s.","0.329215248032741","0.0407073312817938","*","0.307665328883903","0.0567331163282239",".","1","0","***","-0.261697942874503","0.112484299151543","n.s.","-0.24237271723308","0.142610725082733","n.s.","-0.400900331258991","0.0126177707162539","*","-0.400900434490909","0.0126177457532529","*","-0.0279711893140052","0.865773317930324","n.s.","0.619672858420934","2.59220847829145e-05","***","-0.618857422575975","2.67509246710239e-05","***","0.696289764121678","8.55484775685866e-07","***","-0.616979645264585","2.87521308800435e-05","***","-0.585615612983227","8.98733776086399e-05","***","0.667429582537737","3.46960928387929e-06","***","0.478932491785949","0.00203912493444025","**","0.178574819061695","0.276732963813382","n.s.","-0.453647556899576","0.00372517079242094","**","-0.436898172069333","0.00542029780957709","**","-0.466750302872141","0.00274149004895666","**","-0.347997483453927","0.02993883857371","*","0.691001716673838","1.11895139776053e-06","***","0.480792382343934","0.00194717278381074","**","-0.565890579933549","0.000213236962178054","***","-0.543068632226585","0.000426641174933874","***","-0.0905642964314418","0.616213284619886","n.s.","-0.208055388335711","0.203730682505451","n.s.","0.512491757194907","0.00085122474502497","***","0.58362768600555","9.62271825948324e-05","***","0.309743580233412","0.0549966920486167",".","0.106317436903107","0.519458771546047","n.s.","0.116567857348341","0.479755320665783","n.s.","-0.728748289866139","1.44012857256063e-07","***","0.708562872073431","4.4857177305957e-07","***","0.597771121420728","5.86058525580135e-05","***","-0.377445610234718","0.0178447899607125","*","-0.420290019987008","0.00772300626341518","**","0.144062302853693","0.381587766872053","n.s."
"total.PFLA.content","-0.343194149174986","0.0349048216273051","*","0.128354725074188","0.442495882039581","n.s.","0.077156635153066","0.64521151957776","n.s.","0.725879946319112","2.50777985932871e-07","***","0.723527748239419","2.86222226808519e-07","***","-0.343133732304021","0.0349389563349189","*","-0.23539124233097","0.154835636308466","n.s.","0.199953050602151","0.228736762822809","n.s.","-0.639206496406168","1.56289290380702e-05","***","-0.0223202014981925","0.89418456359721","n.s.","0.329300998383694","0.0533988968477679",".","0.527088416982182","0.000802786285824864","***","-0.523495328539977","0.0008845987021032","***","0.560686839173062","0.000250881437577455","***","0.559864420585087","0.000257347927261398","***","-0.261697942874503","0.112484299151543","n.s.","1","0","***","0.99744975004046","0","***","0.939682083808838","0","***","0.939682063812039","0","***","0.495621746380456","0.00155584440228007","**","0.085406683828011","0.610171859484103","n.s.","-0.124687292227567","0.455748259943922","n.s.","0.20206118752842","0.223765348883312","n.s.","-0.0652333408259287","0.697196855215704","n.s.","-0.151181129163428","0.364917664103454","n.s.","0.0646732402779352","0.699675003660396","n.s.","-0.0826006186641267","0.621999171035898","n.s.","0.215851412813445","0.193068639004429","n.s.","0.581423014166361","0.000129109579589448","***","-0.184268294112435","0.268087480888211","n.s.","0.376535686712615","0.0198022886815994","*","0.00678851223799344","0.967734606320264","n.s.","0.193118977968297","0.245368251274357","n.s.","-0.0762745215747398","0.649004848123297","n.s.","0.0533150785772444","0.753980547793923","n.s.","0.0320390112532756","0.850684678543594","n.s.","0.258168000488662","0.153686309452423","n.s.","-0.153709295350437","0.356858729996216","n.s.","0.194823064053509","0.241147174212872","n.s.","-0.31189249266284","0.0566158179637545",".","0.297526296147862","0.0696564431329061",".","0.507697667472657","0.00113914472146792","**","0.464179557167631","0.00332898414173433","**","0.441533893500436","0.0055189530200801","**","0.185554309157625","0.264703218090149","n.s.","0.303481002150754","0.0639909494172417",".","0.676245598309334","3.16188143623108e-06","***","-0.283996790819973","0.0839931390830287",".","-0.224277458645428","0.175840681367924","n.s."
"identified.PLFA.content","-0.361818717422814","0.0256066987169904","*","0.136453403239114","0.413992652745854","n.s.","0.0833526920762123","0.618819904035362","n.s.","0.707617103949252","6.76667990084923e-07","***","0.709256698194303","6.20878628065924e-07","***","-0.356350937036487","0.0280942195210579","*","-0.252019358586869","0.126907081921507","n.s.","0.211487602218955","0.202443021269176","n.s.","-0.627066014140601","2.52308119617317e-05","***","-0.0250123492433327","0.88150705398143","n.s.","0.331164720307533","0.0519831275328535",".","0.522437726301967","0.000910046579955415","***","-0.526878453422293","0.000807375548064625","***","0.557354462451988","0.00027801810416106","***","0.560998535617213","0.000248468999889173","***","-0.24237271723308","0.142610725082733","n.s.","0.99744975004046","0","***","1","0","***","0.936945563001337","0","***","0.93694553114965","0","***","0.497101894309439","0.00149842782484266","**","0.0919692256227827","0.582892956518653","n.s.","-0.118798161930162","0.477468818607786","n.s.","0.2062905904863","0.21401593132721","n.s.","-0.0728257032067139","0.663918806323017","n.s.","-0.163651520404846","0.326220204818143","n.s.","0.0643907929224004","0.700925848344359","n.s.","-0.0833872912870451","0.618673805185977","n.s.","0.222231119777689","0.179919933466131","n.s.","0.570086458503767","0.000186667964022336","***","-0.193736057533036","0.243834031359239","n.s.","0.371461871961953","0.0216645204675487","*","-0.00635191394132685","0.969808750638174","n.s.","0.197112285652073","0.235554175782652","n.s.","-0.0762538123659069","0.649094008664715","n.s.","0.0555851915835319","0.743849833723509","n.s.","0.0396079906624739","0.815957074803246","n.s.","0.255058077297239","0.158879894939643","n.s.","-0.147120450981974","0.378087339001923","n.s.","0.198231014133689","0.232853147498292","n.s.","-0.296236143661789","0.0709343830834542",".","0.285063792223333","0.0827854716135832",".","0.492674646172068","0.00167596716422458","**","0.450648672924223","0.00452115724415347","**","0.408836389875653","0.0108182684605314","*","0.195674746499983","0.239055989435458","n.s.","0.307810442928043","0.0601054512694659",".","0.659517703238338","6.68526745895015e-06","***","-0.290476814406726","0.0768651278699194",".","-0.209155633058014","0.207580711611668","n.s."
"approx..Fungal.Biomass","-0.444749878423995","0.00514711422870927","**","-0.0501933389016371","0.764737683971825","n.s.","-0.123063824557244","0.461682252120686","n.s.","0.669507860673364","4.29916916044881e-06","***","0.708515170986767","6.455629188995e-07","***","-0.230884354099906","0.163121841056644","n.s.","-0.101609548176275","0.543841638762155","n.s.","-0.00221553667532671","0.98946722931285","n.s.","-0.671277912947725","3.96879328097565e-06","***","-0.17905913958476","0.282085985021602","n.s.","0.238656159971408","0.167378081116693","n.s.","0.394302835836225","0.0157405152645296","*","-0.423092580184335","0.0090793482904912","**","0.420962627982262","0.00849193321191488","**","0.415153770547233","0.0095464734323103","**","-0.400900331258991","0.0126177707162539","*","0.939682083808838","0","***","0.936945563001337","0","***","1","0","***","0.999999999999861","0","***","0.404079838348612","0.0118685019555889","*","-0.114217142979842","0.494732243674136","n.s.","0.0385962335340024","0.818044433221613","n.s.","0.045013784832931","0.788429763766773","n.s.","0.101325134947459","0.54497565398032","n.s.","0.00464548618364147","0.977917215682724","n.s.","-0.100876546461329","0.546766552461788","n.s.","-0.152140563428456","0.361846586571928","n.s.","0.0583024366984606","0.728072609505762","n.s.","0.66610893880697","5.005204052555e-06","***","-0.0453494972865978","0.786888218712772","n.s.","0.363964805860341","0.0246815662171875","*","0.122046483200072","0.465421720785803","n.s.","-0.0113141063813691","0.946249677760668","n.s.","-0.141453472297675","0.396927888887867","n.s.","0.179412569720877","0.288000426432736","n.s.","0.133048334268414","0.432439695877361","n.s.","0.285648800949322","0.113010022544593","n.s.","-0.16965862759971","0.308527966897517","n.s.","-0.0180204696054242","0.914484822622148","n.s.","-0.460430138275707","0.00362813007138164","**","0.157030821534825","0.346435534597664","n.s.","0.301193786666915","0.066122339633397",".","0.258342805654329","0.117336630701848","n.s.","0.509658496057102","0.00108174443159736","**","0.0043462025183107","0.9793395755602","n.s.","0.158556927313538","0.341709421936403","n.s.","0.64917554913669","1.0382427881428e-05","***","-0.161304849106208","0.333299720389773","n.s.","-0.230647841137237","0.163565355478403","n.s."
"main.fungal.marker.18.2.9.12.c","-0.444749702975366","0.00514713390798241","**","-0.0501933881244607","0.764737459780777","n.s.","-0.123063871012666","0.461682081730986","n.s.","0.669507846551556","4.29917189403994e-06","***","0.708515170617076","6.45562931333998e-07","***","-0.230884231973708","0.16312206984614","n.s.","-0.101609416126396","0.543842165011778","n.s.","-0.0022155314843485","0.989467253989643","n.s.","-0.671277908900534","3.96879400900359e-06","***","-0.179059125263965","0.282086024146189","n.s.","0.238656163165137","0.167378075262792","n.s.","0.394302791767974","0.0157405279734046","*","-0.423092538218427","0.00907935588268492","**","0.420962580817166","0.0084919413517186","**","0.415153736084276","0.00954648000584557","**","-0.400900434490909","0.0126177457532529","*","0.939682063812039","0","***","0.93694553114965","0","***","0.999999999999861","0","***","1","0","***","0.404079817840221","0.011868506663903","*","-0.114217110007897","0.494732369066526","n.s.","0.0385962993457966","0.8180441281702","n.s.","0.0450137385496894","0.78842997634786","n.s.","0.10132516435842","0.544975536654541","n.s.","0.00464551234908558","0.97791709133308","n.s.","-0.10087660007874","0.546766338238521","n.s.","-0.152140595880328","0.361846482958984","n.s.","0.0583024454712633","0.728072570143935","n.s.","0.666108915106049","5.00520932589232e-06","***","-0.0453495062085374","0.78688817775506","n.s.","0.36396481707578","0.0246815614558902","*","0.122046489171119","0.465421698790671","n.s.","-0.0113141493926255","0.946249473721878","n.s.","-0.141453534071611","0.396927680603911","n.s.","0.179412600284687","0.288000342944565","n.s.","0.133048374078316","0.432439556921046","n.s.","0.285648764244277","0.113010070860023","n.s.","-0.169658632914199","0.308527951519299","n.s.","-0.0180205136878959","0.914484614200047","n.s.","-0.460430195166972","0.00362812536046843","**","0.157030740870245","0.346435785451842","n.s.","0.301193824143089","0.0661223042573353",".","0.258342870413899","0.11733653555011","n.s.","0.509658588995635","0.00108174177279285","**","0.00434614790433463","0.979339835121595","n.s.","0.158556858490898","0.341709634174416","n.s.","0.649175560845965","1.03824228037119e-05","***","-0.161304839131476","0.333299750682151","n.s.","-0.230647835778606","0.163565365536877","n.s."
"al","-0.367188140131928","0.0214788361645478","*","0.420385726726474","0.00770764366039267","**","0.314264774524634","0.0513657897597881",".","0.197187075276889","0.228889373561802","n.s.","0.288674444300261","0.0747040152113063",".","-0.515447847662234","0.000784764136321449","***","-0.415971866702075","0.00844406158369484","**","0.45502332028087","0.00360916145654033","**","-0.0989330315084503","0.549034190242673","n.s.","-0.0191625758874404","0.90782117437924","n.s.","0.201575743976317","0.238430117224913","n.s.","0.319039109414757","0.0508966234741017",".","-0.437204573480516","0.00605601694380283","**","0.40533877399704","0.0104698146155258","*","0.473582993475879","0.00232522630761789","**","-0.0279711893140052","0.865773317930324","n.s.","0.495621746380456","0.00155584440228007","**","0.497101894309439","0.00149842782484266","**","0.404079838348612","0.0118685019555889","*","0.404079817840221","0.011868506663903","*","1","0","***","0.499648630362285","0.00120170510743778","**","-0.0806358093212235","0.625562240650243","n.s.","0.434989250088685","0.00565042176467645","**","-0.673809851988177","2.57994192694435e-06","***","-0.719483825188938","2.45540722279377e-07","***","0.341679228828812","0.033262583742947","*","-0.392792839809558","0.0133796642336321","*","0.822623117301952","1.32439392785955e-10","***","-0.0791268083846195","0.632065679712274","n.s.","-0.71479522647191","3.19116452114594e-07","***","0.759599381271179","2.06041330663709e-08","***","-0.758508774738039","2.21775050298124e-08","***","0.494856125932472","0.00136208415989025","**","-0.304933428419429","0.0590819020673428",".","0.0785070552887427","0.639421460445005","n.s.","0.284148432055998","0.0838206789852431",".","-0.430653244223391","0.0123550500933956","*","0.287120047583244","0.076352518943355",".","0.655773932549269","5.85535631625334e-06","***","0.253886537013348","0.118851206820382","n.s.","-0.17195324124417","0.295223577187162","n.s.","0.538491746963288","0.00040573911528341","***","0.557326425134785","0.000228209379291355","***","-0.0402013113935176","0.80801548216708","n.s.","0.4095559373565","0.0096216371304163","**","0.23376588975952","0.152057289281957","n.s.","0.413723721800564","0.00884178280405834","**","-0.745437442675392","5.20490372799602e-08","***","0.370515412354483","0.0202378539889212","*"
"ar","0.0463905424290952","0.779144562912174","n.s.","0.632581992321786","1.55615169508128e-05","***","0.619597226394276","2.59979638230767e-05","***","-0.0427415816163194","0.796133187930737","n.s.","0.00924326313693852","0.95546353266709","n.s.","-0.541433791958263","0.000371685788594152","***","-0.564196849498628","0.00018340180828645","***","0.677313482846029","2.18582316247051e-06","***","0.394337280564334","0.0129880686712904","*","0.385313780455105","0.0154204469860195","*","0.09589340354625","0.577978659531337","n.s.","0.405326006092304","0.0115853182167969","*","-0.401923931724567","0.0123722972728404","*","0.453054468241369","0.00377617573200717","**","0.511591713577539","0.000872429871565883","***","0.619672858420934","2.59220847829145e-05","***","0.085406683828011","0.610171859484103","n.s.","0.0919692256227827","0.582892956518653","n.s.","-0.114217142979842","0.494732243674136","n.s.","-0.114217110007897","0.494732369066526","n.s.","0.499648630362285","0.00120170510743778","**","1","0","***","-0.595676140041016","6.31654941439622e-05","***","0.759459246801846","2.08003243518107e-08","***","-0.843217864005717","1.6244286123064e-11","***","-0.796413655310919","1.33635820715397e-09","***","0.791803181997964","1.93877025544964e-09","***","0.116523310968327","0.479924356915157","n.s.","0.652127882504954","6.86538374372603e-06","***","-0.459956025512193","0.00321869931705042","**","-0.757002586958827","2.45344242435435e-08","***","0.113664243382107","0.490838247157564","n.s.","-0.632079257071089","1.5880743898776e-05","***","0.803209213139157","7.58724860716598e-10","***","0.105573752438807","0.522401195715134","n.s.","-0.474227414172046","0.00263081779452049","**","-0.324489252562987","0.0468543235526883","*","-0.214731150414058","0.230126377281912","n.s.","0.0470359685530259","0.77614988222312","n.s.","0.819172559169601","1.83350223892376e-10","***","0.563874107726254","0.000185314627949351","***","0.200991260211723","0.219852967043068","n.s.","0.554736626512928","0.00024750424153086","***","0.576507327527678","0.000122459361588501","***","-0.470254651923922","0.00252049860255615","**","0.747528361028517","4.55671682608738e-08","***","0.576254444884924","0.000123499686982553","***","-0.167107289768729","0.309246962554418","n.s.","-0.646635858858804","8.69063825912683e-06","***","0.209032079726306","0.201568326696669","n.s."
