"","corr...38. R","corr...38. p","corr...38. sig","massloss R","massloss p","massloss sig","cellulase R","cellulase p","cellulase sig","chitinase R","chitinase p","chitinase sig","phosphatase R","phosphatase p","phosphatase sig","chitinase2phenoloxydase R","chitinase2phenoloxydase p","chitinase2phenoloxydase sig","chitinase2peroxydase R","chitinase2peroxydase p","chitinase2peroxydase sig","phosphatase2phenoloxydase R","phosphatase2phenoloxydase p","phosphatase2phenoloxydase sig","phosphatase2peroxydase R","phosphatase2peroxydase p","phosphatase2peroxydase sig","g_n_min R","g_n_min p","g_n_min sig","g_nh4_immo R","g_nh4_immo p","g_nh4_immo sig","g_nitrifi R","g_nitrifi p","g_nitrifi sig","g_n03_immo R","g_n03_immo p","g_n03_immo sig","g_p_min R","g_p_min p","g_p_min sig","C_mic R","C_mic p","C_mic sig","N_.mic R","N_.mic p","N_.mic sig","P_mic R","P_mic p","P_mic sig","C.N_mic R","C.N_mic p","C.N_mic sig","C.Pmic R","C.Pmic p","C.Pmic sig","Sum.of.gram.positiv.markers R","Sum.of.gram.positiv.markers p","Sum.of.gram.positiv.markers sig","Sum.of.general.bacterial.markers.incl..gram. R","Sum.of.general.bacterial.markers.incl..gram. p","Sum.of.general.bacterial.markers.incl..gram. sig","ratioF.B.1 R","ratioF.B.1 p","ratioF.B.1 sig","ratioF.B.2 R","ratioF.B.2 p","ratioF.B.2 sig","ratioF.B.3 R","ratioF.B.3 p","ratioF.B.3 sig","cp.cp R","cp.cp p","cp.cp sig","cut0 R","cut0 p","cut0 sig","cut1 R","cut1 p","cut1 sig","f.cp R","f.cp p","f.cp sig","p R","p p","p sig","ph R","ph p","ph sig","short R","short p","short sig","sy R","sy p","sy sig","ter R","ter p","ter sig","N R","N p","N sig","non R","non p","non sig","Ph R","Ph p","Ph sig","unk.1 R","unk.1 p","unk.1 sig","adf R","adf p","adf sig","P_lit R","P_lit p","P_lit sig","C.N_lit R","C.N_lit p","C.N_lit sig","C.P_lit R","C.P_lit p","C.P_lit sig","N.P_lit R","N.P_lit p","N.P_lit sig","NH4.concentration R","NH4.concentration p","NH4.concentration sig","K.litter R","K.litter p","K.litter sig","CA.litter R","CA.litter p","CA.litter sig","MG.litter R","MG.litter p","MG.litter sig","FE.litter R","FE.litter p","FE.litter sig"
"g_n03_immo","0.257738779043958","0.141117228040534","n.s.","0.0700165933281829","0.676161682648186","n.s.","0.75108404269656","5.56054751132962e-08","***","0.774321757530345","1.17465255300431e-08","***","0.309890401881207","0.0583066109588688",".","0.52793729372439","0.000657987897038526","***","0.444915197344586","0.00512860005741134","**","-0.527838433460167","0.00065980936111051","***","-0.460888719658257","0.00359032949621205","**","0.719966108394205","5.09272186643983e-07","***","0.665504506116019","6.97912615899021e-06","***","0.96933038789147","0","***","1","0","***","0.554766879661913","0.000543091555633479","***","0.42877192741996","0.0072324654735818","**","-0.189048665315117","0.255650430899637","n.s.","-0.213111304733155","0.19891857373165","n.s.","0.685458720087142","2.05031175704029e-06","***","0.522843220572552","0.00075789293764017","***","0.080739161941159","0.634760168224806","n.s.","0.596427562191501","9.78941709808279e-05","***","0.329112798910957","0.0467008839011691","*","0.417542372614621","0.0101320514246863","*","0.0756997349368968","0.656103577713998","n.s.","0.411132623946332","0.0103402605389915","*","0.489830594739377","0.00179955658737274","**","0.530811713437379","0.000606946220784943","***","0.565654334157664","0.000214829254524984","***","0.378792907848912","0.0190179137113997","*","-0.209713140987787","0.20634427783637","n.s.","0.168101496797844","0.31305457446969","n.s.","0.19912207050146","0.230716913756591","n.s.","-0.39473398387082","0.014185538737683","*","0.398056188904489","0.0133216048035085","*","0.223417958551771","0.177545921380378","n.s.","-0.209713140987787","0.20634427783637","n.s.","-0.479061812376517","0.00234320366231491","**","-0.248719942126776","0.137698197084689","n.s.","0.382426519047295","0.0178099425434266","*","-0.538133196479885","0.000492501604264006","***","-0.319739914286421","0.0503616994978434",".","-0.124669491510029","0.45581310028459","n.s.","0.371458042029829","0.0216659794170175","*","0.372736640974028","0.0211834452130648","*","-0.308982586213152","0.0590863905579502",".","-0.331218962205714","0.0422241459205803","*","-0.252278673153249","0.126503519060425","n.s."
"g_p_min","0.31860011398006","0.0755338892322663",".","0.0869317048244858","0.614164008529086","n.s.","0.702002422138843","1.83203884285277e-06","***","0.673659645330552","6.69560998067809e-06","***","0.382248204412661","0.0214089114384035","*","0.310403251521302","0.0654021838485557",".","0.11593482251995","0.500733691928009","n.s.","-0.529915733906973","0.000887649594085797","***","-0.641804244840916","2.45621261177027e-05","***","0.718538265706577","1.16820402062956e-06","***","0.745134854684204","2.83141993184799e-07","***","0.639222183691033","3.57475429435539e-05","***","0.554766879661913","0.000543091555633479","***","1","0","***","0.659762084460545","1.20282714228814e-05","***","0.22696539174106","0.183129197879719","n.s.","-0.0259633314354591","0.880522088672132","n.s.","0.393823522147245","0.0174784793284901","*","0.525785531127564","0.00099025445531642","***","0.208470834037631","0.229441891191752","n.s.","0.324044230537654","0.0575581432464922",".","-0.134969785207091","0.439498585885419","n.s.","0.273296740653658","0.112165067496412","n.s.","-0.219300653726473","0.205600063886357","n.s.","0.485423432020189","0.00269120288081703","**","0.367718594964758","0.0273562170482651","*","0.657467302074208","1.3211835714344e-05","***","0.442227391889611","0.00692279684893782","**","0.526755693575464","0.00096525509411327","***","-0.630240054804496","3.79880261546173e-05","***","0.132826802609233","0.439956921661968","n.s.","0.433570369141364","0.00824978877101845","**","-0.514975289391028","0.00131003288263603","**","0.473170395701476","0.00356207541381548","**","0.212886259468759","0.21254867782819","n.s.","-0.630240054804496","3.79880261546173e-05","***","-0.583684250771725","0.000186400613122924","***","-0.653974052402721","2.03950877800651e-05","***","0.8214644199634","8.30329804912822e-10","***","-0.530744422550935","0.000868234935003104","***","-0.787165142936691","1.23976244453095e-08","***","-0.584307795399878","0.000182761594715535","***","0.491677655564959","0.00232309852422619","**","0.239812337095522","0.158909850678244","n.s.","0.0236871365677435","0.890931097436029","n.s.","-0.296672549610015","0.0789155490992059",".","0.0315343702954526","0.855132256760113","n.s."
"C_mic","0.432497827713393","0.00946431617121757","**","0.216902813135803","0.184726948758982","n.s.","0.539762268441931","0.000390704858048929","***","0.548727450237097","0.000298036192602602","***","0.45718723203458","0.00343306180633851","**","0.0290489231429523","0.860651341648223","n.s.","-0.0194922296281142","0.906242381197502","n.s.","-0.601620185307377","5.09990337143568e-05","***","-0.643878638670045","9.76547558896316e-06","***","0.627841623300593","2.44853247541865e-05","***","0.641295672612696","1.43624018922317e-05","***","0.518344306224434","0.000857103209557897","***","0.42877192741996","0.0072324654735818","**","0.659762084460545","1.20282714228814e-05","***","1","0","***","0.685032776592018","1.5049731587613e-06","***","0.229398192361552","0.160082112027627","n.s.","0.197783959979662","0.227455032333253","n.s.","0.62120241923975","2.44301785201628e-05","***","0.181947118464206","0.274267624221383","n.s.","0.274716234305791","0.0950811290937517",".","-0.199246764651375","0.230419037281071","n.s.","0.0782510299825671","0.640517592566888","n.s.","-0.419454413861053","0.0087556609152558","**","0.544919823997833","0.000334665044278148","***","0.527805906182194","0.00055415688716276","***","0.760825074301902","1.89599531630336e-08","***","0.54784070582822","0.000306229240949474","***","0.692208575747671","1.05296988750503e-06","***","-0.437656219308285","0.00533118922023773","**","0.154200648736319","0.34861765008869","n.s.","0.407508922471911","0.0100257075170926","*","-0.588267495501321","8.19885925436792e-05","***","0.666288469326621","3.65568705462671e-06","***","0.298567199054191","0.0648559043454029",".","-0.437656219308285","0.00533118922023773","**","-0.670466603295876","3.01592080873216e-06","***","-0.705164480470917","7.68787908371496e-07","***","0.748550170469833","4.26797541752677e-08","***","-0.711152260022499","3.89812284470828e-07","***","-0.65875140295422","5.13364124966605e-06","***","-0.408756925966956","0.0097776705609662","**","0.729459058705536","1.3811379839801e-07","***","0.457085551481766","0.00344116555870655","**","-0.228273574423675","0.162197182156307","n.s.","-0.309154822587445","0.0554842419199542",".","-0.254098646618282","0.118532908625429","n.s."
"N_.mic","0.314472551360534","0.065787486163476",".","0.341547501075081","0.0333349741263183","*","-0.120382626034608","0.465395941098784","n.s.","-0.087341374035528","0.597004874045425","n.s.","0.270305108115587","0.0960572281669723",".","-0.497768554558664","0.00126251052877942","**","-0.423998778336703","0.00714656702080103","**","-0.210364022503267","0.198645395268097","n.s.","-0.269559806061855","0.0970132193902806",".","0.0232709254600491","0.889704417540245","n.s.","0.0667267316314022","0.69060455515437","n.s.","-0.0955215762699115","0.568357928913576","n.s.","-0.189048665315117","0.255650430899637","n.s.","0.22696539174106","0.183129197879719","n.s.","0.685032776592018","1.5049731587613e-06","***","1","0","***","0.582763943445932","9.9112343019625e-05","***","-0.543073039802384","0.000353843640931451","***","0.0485693212034464","0.769048210426904","n.s.","-0.0664179915199679","0.691965609470813","n.s.","-0.322393661111509","0.0483768422711586","*","-0.433740444920287","0.00651764102794219","**","-0.390620814399992","0.0153202917887174","*","-0.538828479783337","0.000482705944121045","***","0.161764222978733","0.325189779743421","n.s.","0.218905545213036","0.180605874536288","n.s.","0.35889728048608","0.024849795568574","*","0.115308396634312","0.484546467939502","n.s.","0.503066828759132","0.00109776430278163","**","-0.20271185431508","0.215847622837248","n.s.","0.0114269135137277","0.944956620373725","n.s.","0.238134669259814","0.144328259897824","n.s.","-0.274689628581383","0.0905788602410224",".","0.47140124248397","0.00245166464611124","**","0.120727340640217","0.464109768898915","n.s.","-0.20271185431508","0.215847622837248","n.s.","-0.310163453609431","0.0546510913875507",".","-0.467216811709162","0.00310265299290419","**","0.49030448972933","0.00153162649136496","**","-0.394027978942908","0.0130657047739504","*","-0.407935746829208","0.00994027994348188","**","-0.271997492445788","0.093913276268374",".","0.543908904110393","0.00034504458003104","***","0.257632458205104","0.113323767683296","n.s.","-0.125985380375896","0.44472845941639","n.s.","-0.0483879889734217","0.769887088979222","n.s.","-0.236854829947384","0.146561944931034","n.s."
"P_mic","-0.111106841862478","0.525156435444755","n.s.","0.362742426507106","0.0232355091526073","*","-0.410097064856573","0.00951717670973115","**","-0.420877875159404","0.00762905907789975","**","-0.399506404463534","0.0117473379169931","*","-0.501100231852421","0.00115654577284868","**","-0.459279429707132","0.00326997281383109","**","0.27387655866874","0.09157613733131",".","0.237967531504676","0.144618534296208","n.s.","-0.297569572006022","0.0696138927731933",".","-0.289336688042434","0.0780837900530258",".","-0.243064191976633","0.141439704684309","n.s.","-0.213111304733155","0.19891857373165","n.s.","-0.0259633314354591","0.880522088672132","n.s.","0.229398192361552","0.160082112027627","n.s.","0.582763943445932","9.9112343019625e-05","***","1","0","***","-0.337721616069032","0.0354945092967466","*","-0.548262196729113","0.000302310027182216","***","-0.360501210955869","0.0261887418277347","*","-0.345356934808111","0.0337007160096125","*","0.0900332171243392","0.59088368623017","n.s.","-0.412490379028903","0.0100661726131368","*","0.133564846343078","0.424037411588018","n.s.","-0.544066906891531","0.000343403512897406","***","-0.403995439863526","0.0107530392153463","*","-0.276939822095931","0.0878625120382711",".","-0.469251368766887","0.00258211299633903","**","0.232607428896269","0.154156530731203","n.s.","0.17748926690179","0.279711257103708","n.s.","-0.269110190457818","0.0975934534975914",".","-0.210712926674016","0.197884665382927","n.s.","0.514286169565289","0.000810310164723216","***","0.228460768990022","0.161843729851015","n.s.","-0.226875345360258","0.164854934109807","n.s.","0.17748926690179","0.279711257103708","n.s.","0.330485544243413","0.0398915570224156","*","0.109629067169041","0.51233696274915","n.s.","0.158724260650588","0.33448514566575","n.s.","0.0775288518052253","0.63898236595934","n.s.","-0.183095258255589","0.264554303408983","n.s.","-0.248102811861194","0.127780117372521","n.s.","-0.0570012028542585","0.730341645643292","n.s.","-0.254211336739872","0.118364063241875","n.s.","-0.158324974249257","0.335718132082089","n.s.","0.648130067095202","8.15448853019873e-06","***","-0.31583349071158","0.050151897107261","."
"C.N_mic","-0.0500426883536167","0.775273812905694","n.s.","-0.201944117446673","0.217628554943448","n.s.","0.706495990292011","5.01231391281109e-07","***","0.664185359840461","4.02282832179246e-06","***","-0.043472310860187","0.79272340118187","n.s.","0.664796457489714","3.91280665956728e-06","***","0.518257801978045","0.000725909330144381","***","-0.345374105582442","0.031284022741","*","-0.250394504475769","0.124184238268084","n.s.","0.548974204694829","0.000358251989553748","***","0.505314279644341","0.00121253095158291","**","0.64280793309744","1.3504824613042e-05","***","0.685458720087142","2.05031175704029e-06","***","0.393823522147245","0.0174784793284901","*","0.197783959979662","0.227455032333253","n.s.","-0.543073039802384","0.000353843640931451","***","-0.337721616069032","0.0354945092967466","*","1","0","***","0.543270292972517","0.000351749246025435","***","0.241842287002737","0.143513833097701","n.s.","0.727601818082517","2.27451875556284e-07","***","0.409139080462354","0.0107542009196391","*","0.560347303358518","0.000253533244176207","***","0.364117287452808","0.0246169034662336","*","0.224161164979923","0.17010350809022","n.s.","0.128134812739244","0.436935020594868","n.s.","0.249425079753117","0.125696004437369","n.s.","0.324866085603559","0.0436035443381193","*","0.103405144113487","0.531028019782827","n.s.","-0.132179133124413","0.422477566125338","n.s.","0.0662108127829192","0.688807889163717","n.s.","0.0275418769806296","0.86781516167365","n.s.","-0.106620401863513","0.518262431410853","n.s.","0.122343800244986","0.458103947069428","n.s.","0.0817696138798424","0.620694090554265","n.s.","-0.132179133124413","0.422477566125338","n.s.","-0.187600163323756","0.252775242985164","n.s.","-0.055513195124108","0.740621604056028","n.s.","0.202066400706918","0.217344216344444","n.s.","-0.203888178649614","0.213138447486294","n.s.","-0.23048136319624","0.158063959965692","n.s.","-0.163981032164571","0.318514039410573","n.s.","-0.0507726907208616","0.758875960336076","n.s.","0.0870615305645697","0.598185218801333","n.s.","-0.125984244085918","0.444732599389263","n.s.","-0.106670145328988","0.518066136327448","n.s.","-0.0281746579428283","0.864805904010429","n.s."
"C.Pmic","0.303126945801656","0.0767092838217827",".","-0.153507788018623","0.350813916965039","n.s.","0.816189933876792","2.41550779378485e-10","***","0.829752424444726","6.61157795178724e-11","***","0.603785867565243","4.71244036612806e-05","***","0.470149254527768","0.00252691018763573","**","0.390996902171064","0.0138475603224295","*","-0.665177329396934","3.8456389181678e-06","***","-0.625581434268508","2.05810924327802e-05","***","0.729162349336691","2.08059575346198e-07","***","0.728822655773413","2.1214590595342e-07","***","0.607446255274404","5.24932145413715e-05","***","0.522843220572552","0.00075789293764017","***","0.525785531127564","0.00099025445531642","***","0.62120241923975","2.44301785201628e-05","***","0.0485693212034464","0.769048210426904","n.s.","-0.548262196729113","0.000302310027182216","***","0.543270292972517","0.000351749246025435","***","1","0","***","0.473715151803856","0.00266303174867022","**","0.60273841926213","6.21359003090127e-05","***","-0.17011298612472","0.307214991053754","n.s.","0.431217403915447","0.0068726380611599","**","-0.395292673589016","0.0140370278319706","*","0.828181087141104","7.72648611757631e-11","***","0.687900245343133","1.30637999662397e-06","***","0.791196781158998","2.03461136827343e-09","***","0.803464248913221","7.42461203628864e-10","***","0.424687438441378","0.00704370979853786","**","-0.380295836903875","0.0169320215321659","*","0.370550863650685","0.0202249616652226","*","0.325643772856241","0.0430737611322924","*","-0.82654861016929","9.06936625169603e-11","***","0.417797843579898","0.00813240758196287","**","0.469337503676407","0.00257677191221628","**","-0.380295836903875","0.0169320215321659","*","-0.75518953089244","2.76796462030252e-08","***","-0.574289531170421","0.000163076510322031","***","0.472520825286856","0.00238604835016809","**","-0.659904165926363","4.87684485421119e-06","***","-0.376400492938019","0.0181896748801933","*","-0.116089050852754","0.481573835966301","n.s.","0.516596110775544","0.000760219553197938","***","0.596167277019007","6.20686047532182e-05","***","-0.151425602558317","0.357464594817356","n.s.","-0.705019414287011","5.42284191411004e-07","***","-0.0478583319169751","0.772338862307478","n.s."
"Sum.of.gram.positiv.markers","0.0463909139258631","0.794458542065088","n.s.","0.021374590103365","0.898643826791333","n.s.","0.314110850943867","0.0547882561650643",".","0.270807885204071","0.100073292668836","n.s.","0.362547043846872","0.0252895665490358","*","0.208386668074822","0.209294542265882","n.s.","0.083848541757284","0.616727506375245","n.s.","-0.150009900795466","0.368687739005672","n.s.","-0.246851295983779","0.135151414824381","n.s.","0.200907171444481","0.233131788780498","n.s.","0.216914822660907","0.197198997509489","n.s.","0.147577913505823","0.383395251082323","n.s.","0.080739161941159","0.634760168224806","n.s.","0.208470834037631","0.229441891191752","n.s.","0.181947118464206","0.274267624221383","n.s.","-0.0664179915199679","0.691965609470813","n.s.","-0.360501210955869","0.0261887418277347","*","0.241842287002737","0.143513833097701","n.s.","0.473715151803856","0.00266303174867022","**","1","0","***","0.534346126505615","0.000549037004875519","***","-0.50605921049739","0.00118915747419274","**","0.195360884917828","0.23982520162421","n.s.","-0.314412490019807","0.0545434355033153",".","0.37419034092941","0.0206457497013117","*","0.16903249725787","0.310343131214791","n.s.","0.301210338853664","0.0661067164611995",".","0.167796821358156","0.313945144025733","n.s.","-0.0680268937658651","0.684883450032982","n.s.","-0.301144470260838","0.066168905355955",".","0.178084464101717","0.284756973089954","n.s.","0.0107320758480569","0.949011045033398","n.s.","-0.314207841406408","0.0547094398530146",".","-0.0775926843780664","0.643339641813529","n.s.","0.201334098671035","0.225471540997629","n.s.","-0.301144470260838","0.066168905355955",".","-0.211272396631252","0.202913400880038","n.s.","-0.331478715518075","0.0450523493490157","*","0.248494603503033","0.132488097189039","n.s.","-0.0793141592546844","0.635970912469809","n.s.","-0.237218341419823","0.151565127549064","n.s.","-0.202526229735167","0.222678724996764","n.s.","0.132472873272124","0.427869917153053","n.s.","0.0847085943082958","0.613105304182291","n.s.","0.263634188046124","0.109753838417737","n.s.","-0.282338466971486","0.0858971326367828",".","0.32647242567965","0.0454492611447421","*"
"Sum.of.general.bacterial.markers.incl..gram.","0.108237299589742","0.542316313772683","n.s.","-0.05051579443946","0.763269428755532","n.s.","0.667582853954276","4.68693236466144e-06","***","0.696550887728104","1.19166683854033e-06","***","0.128097566467849","0.443418191799797","n.s.","0.720535691066258","3.37989305432274e-07","***","0.637829884310904","1.65182732669855e-05","***","-0.399556646485912","0.012946259493268","*","-0.247813326115276","0.133587483539455","n.s.","0.583920258754245","0.000148243472217757","***","0.539561124902604","0.000568359028727095","***","0.601931032400964","8.11080213478643e-05","***","0.596427562191501","9.78941709808279e-05","***","0.324044230537654","0.0575581432464922",".","0.274716234305791","0.0950811290937517",".","-0.322393661111509","0.0483768422711586","*","-0.345356934808111","0.0337007160096125","*","0.727601818082517","2.27451875556284e-07","***","0.60273841926213","6.21359003090127e-05","***","0.534346126505615","0.000549037004875519","***","1","0","***","0.267682246884982","0.1042077384268","n.s.","0.506204213490725","0.00118465436486059","**","0.0864091862929284","0.605969716605547","n.s.","0.359887085376207","0.0264637647094874","*","0.301099835316662","0.0662110730296359",".","0.444689077400526","0.00515393790045793","**","0.497181013599397","0.00149541200356551","**","0.33770419161888","0.0381198760155577","*","-0.083743241839289","0.61717160486101","n.s.","0.101503654425774","0.544263727983763","n.s.","-0.00552498651888863","0.973737753739918","n.s.","-0.310409874290228","0.0578640992973367",".","0.360649799763111","0.0261225560755243","*","0.179100002795566","0.281974360584441","n.s.","-0.083743241839289","0.61717160486101","n.s.","-0.324861128208718","0.0465882206623779","*","-0.0879060188920978","0.604903337913208","n.s.","0.331078126341628","0.0423170948597869","*","-0.417227160808389","0.00915791753165783","**","-0.278411825096022","0.0905385700039466",".","-0.129721734261271","0.437610728176789","n.s.","0.181464120624164","0.275565226948529","n.s.","0.357371663286878","0.0276152923995205","*","-0.216219337965492","0.192292462000107","n.s.","-0.28623219326523","0.0814785388064348",".","-0.152987679124613","0.359147968508292","n.s."
"ratioF.B.1","-0.216378277935488","0.219025576957848","n.s.","-0.137672103492743","0.409795504320703","n.s.","0.0826860999376911","0.621637471143413","n.s.","0.113034101350089","0.499241804232854","n.s.","-0.412978633774948","0.0099691352819283","**","0.374056432103293","0.0206947987691231","*","0.405373237241683","0.0115746991180572","*","0.0197497445105355","0.906313273674958","n.s.","0.200683979531585","0.227004629503726","n.s.","-0.0100456532484248","0.95294458765703","n.s.","-0.0719764184218223","0.672048406271508","n.s.","0.226495459361078","0.177649941611987","n.s.","0.329112798910957","0.0467008839011691","*","-0.134969785207091","0.439498585885419","n.s.","-0.199246764651375","0.230419037281071","n.s.","-0.433740444920287","0.00651764102794219","**","0.0900332171243392","0.59088368623017","n.s.","0.409139080462354","0.0107542009196391","*","-0.17011298612472","0.307214991053754","n.s.","-0.50605921049739","0.00118915747419274","**","0.267682246884982","0.1042077384268","n.s.","1","0","***","0.298698149376783","0.0685114323597926",".","0.737343466195821","1.29090996336956e-07","***","-0.279436026061815","0.0893097148415062",".","-0.209780636962662","0.206194934441331","n.s.","-0.218603600623045","0.187315815757822","n.s.","-0.0431135417815881","0.797170218029244","n.s.","0.0540017743025163","0.74744954198219","n.s.","0.19831839951219","0.232643056156235","n.s.","-0.302797563588564","0.064622054818507",".","-0.0571412555648329","0.73328858013856","n.s.","0.320894041803508","0.0494905941250652","*","0.0652671895608448","0.697047191255119","n.s.","-0.311256203330605","0.0571488832204649",".","0.19831839951219","0.232643056156235","n.s.","0.228735024192974","0.167184333255476","n.s.","0.315307682462678","0.0573121551079612",".","-0.113237080938008","0.498466596424439","n.s.","0.0789795654524654","0.637400462371255","n.s.","0.0568247720174237","0.734712267893874","n.s.","0.00945840154448594","0.955055827668317","n.s.","-0.269042333915326","0.102392999578637","n.s.","-0.115124013936516","0.491289573923964","n.s.","-0.237218681285659","0.151564523913667","n.s.","0.268162847702825","0.103563708052201","n.s.","-0.207076343114428","0.212237490055476","n.s."
"ratioF.B.2","-0.114670542037085","0.518432200966142","n.s.","-0.282976476224442","0.0851606934437773",".","0.614335946678156","4.08129963651582e-05","***","0.578415880430932","0.000142562107650512","***","0.117708990068354","0.481544496181479","n.s.","0.584161756872602","0.000117865340868217","***","0.655951293322026","7.79586681720623e-06","***","-0.387513020357584","0.0162275831025524","*","-0.0913606833360475","0.585399462947053","n.s.","0.307413234790939","0.064191890539961",".","0.254841732329008","0.127960199647922","n.s.","0.439784549568739","0.00645694081512693","**","0.417542372614621","0.0101320514246863","*","0.273296740653658","0.112165067496412","n.s.","0.0782510299825671","0.640517592566888","n.s.","-0.390620814399992","0.0153202917887174","*","-0.412490379028903","0.0100661726131368","*","0.560347303358518","0.000253533244176207","***","0.431217403915447","0.0068726380611599","**","0.195360884917828","0.23982520162421","n.s.","0.506204213490725","0.00118465436486059","**","0.298698149376783","0.0685114323597926",".","1","0","***","0.437430931389836","0.00602685988256613","**","0.325273803687884","0.0462943496322672","*","0.200991339171202","0.226278939924731","n.s.","0.158687932262282","0.34130557004705","n.s.","0.256570234591039","0.119962872911855","n.s.","-0.0711687966072244","0.671129918709562","n.s.","-0.204474824189974","0.218164965879427","n.s.","0.252738822398633","0.125789759986011","n.s.","-0.0474689093067146","0.777174851492821","n.s.","-0.270912964908934","0.099936507322869",".","-0.092656818333641","0.580066635488193","n.s.","0.141583594979324","0.396489292642755","n.s.","-0.204474824189974","0.218164965879427","n.s.","-0.117344724574979","0.482911610011398","n.s.","-0.16890955455648","0.317612193473883","n.s.","0.138936632421989","0.40546624946035","n.s.","-0.000905839934686755","0.995693492488182","n.s.","-0.187127323097573","0.260602191061284","n.s.","-0.170658711885436","0.305642678646194","n.s.","-0.133223426890776","0.425233622984702","n.s.","0.00999093576697586","0.952528131466253","n.s.","0.23313050598718","0.158953018121389","n.s.","-0.259090839319448","0.116241402890458","n.s.","0.354174544978211","0.029138294105399","*"
"ratioF.B.3","-0.536756524527914","0.00106515063009499","**","-0.21973920381262","0.184977780767887","n.s.","-0.0986583838918007","0.555662901022435","n.s.","-0.15591719351811","0.349909293211178","n.s.","-0.641598880126457","1.4186578296325e-05","***","0.262398816889468","0.111490079446029","n.s.","0.280287690803552","0.0882977003265277",".","0.256828118096046","0.119578077007344","n.s.","0.401814726921187","0.0123982916170866","*","-0.318407976643008","0.0547763506541345",".","-0.376086680485717","0.0217862685272104","*","-0.0252414008212868","0.882113020638008","n.s.","0.0756997349368968","0.656103577713998","n.s.","-0.219300653726473","0.205600063886357","n.s.","-0.419454413861053","0.0087556609152558","**","-0.538828479783337","0.000482705944121045","***","0.133564846343078","0.424037411588018","n.s.","0.364117287452808","0.0246169034662336","*","-0.395292673589016","0.0140370278319706","*","-0.314412490019807","0.0545434355033153",".","0.0864091862929284","0.605969716605547","n.s.","0.737343466195821","1.29090996336956e-07","***","0.437430931389836","0.00602685988256613","**","1","0","***","-0.515771091561739","0.000918885787887886","***","-0.588006469007727","0.000103569525559643","***","-0.583509890061841","0.000120458405479378","***","-0.48457600650402","0.00204911863959391","**","-0.44846731217973","0.00474447905066396","**","0.0721746851185048","0.666748628328942","n.s.","-0.314161710344191","0.0547469155425229",".","-0.183888386810123","0.269092662885369","n.s.","0.624898653479395","2.74248044600522e-05","***","-0.457181058248044","0.00390601200946516","**","-0.471124344426914","0.00283129808676726","**","0.0721746851185048","0.666748628328942","n.s.","0.615715131652402","3.87800525356585e-05","***","0.400111171452807","0.014138683950401","*","-0.22762123451695","0.169317933473385","n.s.","0.585986954675659","0.00011087057675252","***","0.0442943689412783","0.79173588809689","n.s.","-0.185818844386688","0.264010582604314","n.s.","-0.656645321135167","7.56735502368002e-06","***","-0.605306242940044","5.66942484582444e-05","***","0.234104098254628","0.157170237761321","n.s.","0.521476843584516","0.000786885796827619","***","0.274461192820288","0.0954009531085425","."
"cp.cp","0.412930383305635","0.0136881887489759","*","-0.18163094333349","0.2684599250385","n.s.","0.63914843895187","1.18964061317506e-05","***","0.700925608038329","6.72890543063076e-07","***","0.664705132152687","3.92907134494358e-06","***","0.398681623862717","0.0119382717934113","*","0.374871017556473","0.0187044681662933","*","-0.585114359031016","9.14386330234765e-05","***","-0.546988184144275","0.000314296003683672","***","0.59980925107295","6.89177386488105e-05","***","0.613703209898768","4.17776366119504e-05","***","0.51599429528258","0.000913374500076891","***","0.411132623946332","0.0103402605389915","*","0.485423432020189","0.00269120288081703","**","0.544919823997833","0.000334665044278148","***","0.161764222978733","0.325189779743421","n.s.","-0.544066906891531","0.000343403512897406","***","0.224161164979923","0.17010350809022","n.s.","0.828181087141104","7.72648611757631e-11","***","0.37419034092941","0.0206457497013117","*","0.359887085376207","0.0264637647094874","*","-0.279436026061815","0.0893097148415062",".","0.325273803687884","0.0462943496322672","*","-0.515771091561739","0.000918885787887886","***","1","0","***","0.749246852134112","4.08094458226316e-08","***","0.794242486877527","1.59416280176572e-09","***","0.813642766093766","3.04484215618572e-10","***","0.434478617746892","0.00571339290045336","**","-0.477209492671011","0.0021276937943074","**","0.566515353443305","0.000170174996424466","***","0.34552414333715","0.0312057709078786","*","-0.888650333578128","4.32318559421358e-14","***","0.39195629359463","0.013595916101107","*","0.646903714940289","8.59221494464713e-06","***","-0.477209492671011","0.0021276937943074","**","-0.900349200653622","6.14102896856132e-15","***","-0.658440116854345","7.00451926930259e-06","***","0.452740402150089","0.00380343055625576","**","-0.62216956414889","2.35276658515277e-05","***","-0.339228621115427","0.0346306055041875","*","-0.0896578325437474","0.587273621350017","n.s.","0.631594977973463","1.61938935356876e-05","***","0.600878270608308","5.23914808590042e-05","***","-0.0481490961993347","0.770992648030488","n.s.","-0.797249047761843","1.24796155291214e-09","***","0.028693533842674","0.862339734075325","n.s."
