"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,2.46818852696731,0,0,"A"
"2","AK",97,115.290248968815,2.72297992554698,0.0144573613,0.0020951584,"B"
"3","AK",181,116.936896199193,3.49335250943763,0.026773477,0.003213622,"B"
"4","AK",375,117.348638350734,3.50570209353906,0.04755325,0.0053283547,"B"
"5","KL",0,100,2.31189717452101,0,0,"A"
"6","KL",97,112.732310451751,1.83802838635575,0.0200751224,0.0020203917,"B"
"7","KL",181,111.796348537793,2.67347341916655,0.0404117216,0.0042461156,"AB"
"8","KL",375,110.882533010628,1.30934504720577,0.0776835238,0.0069587,"AB"
"9","OS",0,100,1.75227480871970,0,0,"A"
"10","OS",97,109.347376856410,2.60329741655206,0.0134305694,0.00071738,"AB"
"11","OS",181,112.446221421089,1.99680299689681,0.0267462763,0.0019261247,"B"
"12","OS",375,115.085318881576,0.857256289721144,0.0531212232,0.0043748774,"B"
"13","SW",0,100,1.60457194289705,0,0,"A"
"14","SW",97,105.259775560599,1.87915179400523,0.025067428,0.0023608272,"A"
"15","SW",181,98.7998237895354,2.56392907289025,0.049045333,0.0045739457,"A"
"16","SW",375,104.940388335596,2.25830835798826,0.1115045689,0.0119923415,"A"
