"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,1.06,0.110860272415325,14,0,"A","a"
"2","AK",97,0.534,0.0473919824442911,97,0,"B","a"
"3","AK",181,1.498,0.117447860772344,181,0,"A","a"
"4","AK",375,1.236,0.0581893461039046,375,0,"A","a"
"5","KL",14,3.218,1.16232697637111,14,0,"A","a"
"6","KL",97,1.58,0.0798749021908634,97,0,"A","b"
"7","KL",181,2.042,0.170481670569009,181,0,"A","ab"
"8","KL",375,1.858,0.135771867483658,375,0,"A","b"
"9","OS",14,1.17,0.159248233899155,14,0,"A","a"
"10","OS",97,1.346,0.0672011904656458,97,0,"A","b"
"11","OS",181,1.924,0.0857088093488645,181,0,"B","ab"
"12","OS",375,1.536,0.194463364158908,375,0,"AB","ab"
"13","SW",14,2.274,0.276633331325059,14,0,"AB","a"
"14","SW",97,1.912,0.148202564080383,97,0,"A","b"
"15","SW",181,2.266,0.0265706605111728,181,0,"A","b"
"16","SW",375,1.046,0.0518266340793997,375,0,"B","a"
