"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,0.590311406175715,0.076359575238917,0,0,"AB","a"
"2","AK",97,0.902172106724407,0.0271276631072961,97,0,"AC","a"
"3","AK",181,0.989903522111866,0.0416639531809085,181,0,"C","a"
"4","AK",375,0.642197541044562,0.0411146322215989,375,0,"B","a"
"5","KL",0,1.11485670275791,0.164670175284519,0,0,"A","a"
"6","KL",97,2.01733923988736,0.153329608492654,97,0,"BC","b"
"7","KL",181,2.04119466507597,0.108431874593593,181,0,"B","b"
"8","KL",375,1.38854126771209,0.037105106464079,375,0,"AC","b"
"9","OS",0,0.931134887662263,0.126576121297791,0,0,"A","a"
"10","OS",97,1.17127714192208,0.132073604740243,97,0,"A","a"
"11","OS",181,1.43189540816383,0.091390926493988,181,0,"A","c"
"12","OS",375,1.06637007709433,0.0650710788787567,375,0,"A","c"
"13","SW",0,1.28569188511289,0.218264771780784,0,0,"AB","a"
"14","SW",97,2.27939316668036,0.195607184596146,97,0,"AB","b"
"15","SW",181,2.32177219616787,0.122356575364733,181,0,"A","b"
"16","SW",375,1.58990420938036,0.074765843189951,375,0,"B","b"
