"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,16.9219581040242,0,0,"AB"
"2","AK",97,58.6422676107138,2.57290321027601,0.0144573613,0.0020951584,"A"
"3","AK",181,55.8997983593772,0.99110954571769,0.026773477,0.003213622,"A"
"4","AK",375,41.7241174668643,1.71670425655573,0.04755325,0.0053283547,"B"
"5","KL",0,100,2.84708171810848,0,0,"A"
"6","KL",97,87.8919197110291,2.73128526708318,0.0200751224,0.0020203917,"A"
"7","KL",181,72.8525997494909,7.68225758783972,0.0404117216,0.0042461156,"AB"
"8","KL",375,57.7889536354173,1.73371507661728,0.0776835238,0.0069587,"B"
"9","OS",0,100,1.37025483978930,0,0,"A"
"10","OS",97,76.4529440178751,3.31155313349924,0.0134305694,0.00071738,"B"
"11","OS",181,56.5436349977605,5.4250652388762,0.0267462763,0.0019261247,"BC"
"12","OS",375,58.0767455799402,2.00236158434661,0.0531212232,0.0043748774,"C"
"13","SW",0,100,1.81788827291677,0,0,"A"
"14","SW",97,88.3614590906499,6.50449561272546,0.025067428,0.0023608272,"AB"
"15","SW",181,77.6823984649327,5.02906801899639,0.049045333,0.0045739457,"AB"
"16","SW",375,74.8700103751738,3.24792580575264,0.1115045689,0.0119923415,"B"
