"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,12.4329277323792,0,0,"AB"
"2","AK",97,70.3024567926013,1.95498772282885,0.0144573613,0.0020951584,"A"
"3","AK",181,49.6521495787918,0.720250295664343,0.026773477,0.003213622,"B"
"4","AK",375,43.6560140200473,2.71126375245139,0.04755325,0.0053283547,"B"
"5","KL",0,100,4.07531395875867,0,0,"A"
"6","KL",97,86.0739380637041,1.81105605035692,0.0200751224,0.0020203917,"A"
"7","KL",181,73.012505585178,2.50137772168452,0.0404117216,0.0042461156,"B"
"8","KL",375,71.5002650924814,1.53125370188007,0.0776835238,0.0069587,"B"
"9","OS",0,100,5.23483815550075,0,0,"A"
"10","OS",97,64.3527382052838,1.87049306125617,0.0134305694,0.00071738,"B"
"11","OS",181,53.4766934064063,0.786393556035408,0.0267462763,0.0019261247,"C"
"12","OS",375,43.8481383585013,1.71848359425219,0.0531212232,0.0043748774,"D"
"13","SW",0,100,1.64886939467266,0,0,"A"
"14","SW",97,97.5036231824873,1.34056699448560,0.025067428,0.0023608272,"A"
"15","SW",181,100.029827745202,3.14894812551349,0.049045333,0.0045739457,"A"
"16","SW",375,115.285068341716,3.38796209312847,0.1115045689,0.0119923415,"A"
