"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,5.31771146384919,0.89986090600545,0,0,"AB","ab"
"2","AK",97,3.11842658739605,0.136819568966591,97,0,"A","a"
"3","AK",181,2.97258998562518,0.0527043459319332,181,0,"A","a"
"4","AK",375,2.21876817772534,0.091289379051251,375,0,"B","ab"
"5","KL",0,3.3317115508595,0.0948565504646295,0,0,"A","ab"
"6","KL",97,2.92830524128452,0.0909985467303342,97,0,"A","a"
"7","KL",181,2.42723848095523,0.255950663420836,181,0,"AB","ab"
"8","KL",375,1.92536124339204,0.0577623854666507,375,0,"B","a"
"9","OS",0,3.31684244263193,0.0454491940983496,0,0,"A","a"
"10","OS",97,2.53582369582651,0.109838999842211,97,0,"B","a"
"11","OS",181,1.87546328421260,0.179940866383517,181,0,"BC","b"
"12","OS",375,1.92631414669482,0.0664151788845654,375,0,"C","a"
"13","SW",0,3.74853049811558,0.0681440963319516,0,0,"A","b"
"14","SW",97,3.31225624259293,0.243823001791603,97,0,"AB","a"
"15","SW",181,2.91194839812567,0.188516148463057,181,0,"AB","a"
"16","SW",375,2.80652517285569,0.121749489384804,375,0,"B","b"
