"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,12.3,2.01102710076220,14,0,"AB","a"
"2","AK",97,15.374,0.447153217588781,97,0,"A","a"
"3","AK",181,6.91,0.345021738445565,181,0,"B","a"
"4","AK",375,15.572,0.569696410380125,375,0,"A","a"
"5","KL",14,8.83333333333333,3.36113241499217,14,0,"AB","a"
"6","KL",97,15.366,0.751242970017025,97,0,"A","a"
"7","KL",181,8.998,0.364834208922354,181,0,"B","b"
"8","KL",375,12.378,0.486666210045448,375,0,"A","b"
"9","OS",14,11.154,2.55152425032568,14,0,"AB","a"
"10","OS",97,14.462,0.503948410058014,97,0,"A","a"
"11","OS",181,8.88,0.364787609438698,181,0,"B","b"
"12","OS",375,13.69,0.321512052651219,375,0,"A","ab"
"13","SW",14,5.44,1.21354851571744,14,0,"A","a"
"14","SW",97,18.174,2.25223577806588,97,0,"B","a"
"15","SW",181,10.612,0.451524085736298,181,0,"AB","b"
"16","SW",375,11.758,0.578432364239761,375,0,"B","b"
