"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,28.9152403336585,0.233163971675038,0,0,"A","a"
"2","AK",97,29.2359647799851,0.523105703567856,97,0,"A","a"
"3","AK",181,28.7189367996355,0.686384162891168,181,0,"A","a"
"4","AK",375,28.7237698269927,0.650719076822512,375,0,"A","a"
"5","KL",0,29.9165473720401,0.215127337126898,0,0,"A","ab"
"6","KL",97,29.6661067756576,0.572797356032486,97,0,"A","ab"
"7","KL",181,30.5710578986097,0.478720328840691,181,0,"A","a"
"8","KL",375,31.1670165744012,0.361190853192973,375,0,"A","ab"
"9","OS",0,31.2347553150391,0.455726791128718,0,0,"A","b"
"10","OS",97,32.2125114065223,0.483096275972793,97,0,"A","b"
"11","OS",181,32.927692598171,0.321614195993141,181,0,"A","b"
"12","OS",375,32.2988499353468,0.315648791569566,375,0,"A","b"
"13","SW",0,30.4666178736388,0.203659596334358,0,0,"A","b"
"14","SW",97,31.0384255886913,0.533730547561678,97,0,"AB","ab"
"15","SW",181,33.4247990763547,0.486190876389748,181,0,"B","b"
"16","SW",375,32.4814728240213,0.560878724445906,375,0,"AB","b"
