"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,1.09264202120586,0.0426815429372678,0,0,"A","a"
"2","AK",97,1.41580803230865,0.0875412879887769,97,0,"AB","a"
"3","AK",181,1.46221068762430,0.00225336955642272,181,0,"B","a"
"4","AK",375,1.43592966522539,0.0131849886998655,375,0,"B","a"
"5","KL",0,2.01359289949047,0.0496082818958095,0,0,"A","b"
"6","KL",97,2.18551058630810,0.0854897971856239,97,0,"A","b"
"7","KL",181,2.08802556557749,0.0758187951888986,181,0,"A","b"
"8","KL",375,2.16858583758343,0.0826568121371835,375,0,"A","b"
"9","OS",0,1.74663075859523,0.0535733620205775,0,0,"A","b"
"10","OS",97,1.84072169520249,0.0553521454256236,97,0,"AB","b"
"11","OS",181,2.10482828091022,0.078295911376901,181,0,"BC","b"
"12","OS",375,2.33631196435477,0.0828009480924814,375,0,"C","b"
"13","SW",0,2.60335059647653,0.0698948470535038,0,0,"A","c"
"14","SW",97,3.29730028317565,0.0744309968840279,97,0,"B","c"
"15","SW",181,3.38323032743945,0.0994916691030637,181,0,"B","c"
"16","SW",375,3.27397726584674,0.0623234872560628,375,0,"B","c"
