"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,119.494656672423,28.4079571320265,14,0,"AB","a"
"2","AK",97,158.400019784610,14.0379107077318,97,0,"A","a"
"3","AK",181,117.211142820657,16.7159086840327,181,0,"AB","a"
"4","AK",375,71.7455602688765,3.63468180185715,375,0,"B","a"
"5","KL",14,173.666649970921,102.976891332151,14,0,"A","a"
"6","KL",97,61.9284450943858,2.17696078526284,97,0,"A","b"
"7","KL",181,97.941411461388,9.71429686586267,181,0,"A","a"
"8","KL",375,71.5979698217932,5.01638251165149,375,0,"A","a"
"9","OS",14,89.8437992057063,18.8288892014582,14,0,"A","a"
"10","OS",97,47.5588626415685,2.44737706057683,97,0,"A","c"
"11","OS",181,54.4946826024025,2.65000455176971,181,0,"A","a"
"12","OS",375,47.5883355299602,5.87250228745361,375,0,"A","a"
"13","SW",14,57.9634631475852,8.90904375209092,14,0,"ABC","a"
"14","SW",97,21.2716289759284,1.75550052083006,97,0,"A","d"
"15","SW",181,29.8996802028751,1.49696861148371,181,0,"B","b"
"16","SW",375,53.6192728298394,4.04782045025227,375,0,"C","a"
