"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,2.07747296203636,0,0,"A"
"2","AK",97,99.7045429092455,0.267548212922934,0.0144573613,0.0020951584,"A"
"3","AK",181,101.685952360664,0.62237283011186,0.026773477,0.003213622,"A"
"4","AK",375,102.66818497184,0.975026454812867,0.04755325,0.0053283547,"A"
"5","KL",0,100,0.442816008604518,0,0,"A"
"6","KL",97,92.7839374393387,0.850520040185765,0.0200751224,0.0020203917,"B"
"7","KL",181,92.9474333433912,0.619092033343113,0.0404117216,0.0042461156,"B"
"8","KL",375,92.8503051291669,0.594401169789918,0.0776835238,0.0069587,"B"
"9","OS",0,100,0.864470559194263,0,0,"A"
"10","OS",97,98.9604422816357,1.08696536132546,0.0134305694,0.00071738,"AB"
"11","OS",181,94.8212597713394,1.00269244075414,0.0267462763,0.0019261247,"B"
"12","OS",375,94.3630602746903,0.480922316952392,0.0531212232,0.0043748774,"B"
"13","SW",0,100,0.493341941619494,0,0,"A"
"14","SW",97,94.3955820693479,0.636543277699906,0.025067428,0.0023608272,"B"
"15","SW",181,90.9372271557989,0.889258687332869,0.049045333,0.0045739457,"BC"
"16","SW",375,90.198936901953,0.732250044672863,0.1115045689,0.0119923415,"C"
