"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,12.9354734535127,0,0,"AB"
"2","AK",97,152.829861880707,4.59548347253537,0.0144573613,0.0020951584,"AC"
"3","AK",181,167.691749093055,7.05796173765726,0.026773477,0.003213622,"C"
"4","AK",375,108.789620923130,6.96490560600154,0.04755325,0.0053283547,"B"
"5","KL",0,100,14.7705238598971,0,0,"A"
"6","KL",97,180.950541437022,13.7533019367737,0.0200751224,0.0020203917,"BC"
"7","KL",181,183.090316452914,9.72608177583332,0.0404117216,0.0042461156,"B"
"8","KL",375,124.548855855389,3.32823997669738,0.0776835238,0.0069587,"AC"
"9","OS",0,100,13.5937470472809,0,0,"A"
"10","OS",97,125.790275656273,14.1841538202732,0.0134305694,0.00071738,"A"
"11","OS",181,153.779589524219,9.81500400263565,0.0267462763,0.0019261247,"A"
"12","OS",375,114.523694818438,6.9883622384858,0.0531212232,0.0043748774,"A"
"13","SW",0,100,16.9764446916159,0,0,"AB"
"14","SW",97,177.289224041436,15.2141572068000,0.025067428,0.0023608272,"AB"
"15","SW",181,180.585428208097,9.51678833642082,0.049045333,0.0045739457,"A"
"16","SW",375,123.661370798864,5.81522245381411,0.1115045689,0.0119923415,"B"
