"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,0.806370512520434,0,0,"A"
"2","AK",97,101.109188243382,1.8091003136465,0.0144573613,0.0020951584,"A"
"3","AK",181,99.3211070295184,2.37377989935705,0.026773477,0.003213622,"A"
"4","AK",375,99.3378214932457,2.25043634192121,0.04755325,0.0053283547,"A"
"5","KL",0,100,0.719091459490927,0,0,"A"
"6","KL",97,99.1628693202192,1.9146506076026,0.0200751224,0.0020203917,"A"
"7","KL",181,102.187787642839,1.60018575301273,0.0404117216,0.0042461156,"A"
"8","KL",375,104.179858012391,1.20732800045817,0.0776835238,0.0069587,"A"
"9","OS",0,100,1.45903749375393,0,0,"A"
"10","OS",97,103.130346569459,1.54666259139923,0.0134305694,0.00071738,"A"
"11","OS",181,105.420043365337,1.02966772990307,0.0267462763,0.0019261247,"A"
"12","OS",375,103.406764706735,1.01056911887376,0.0531212232,0.0043748774,"A"
"13","SW",0,100,0.668468016958897,0,0,"A"
"14","SW",97,101.876833580360,1.75185361819727,0.025067428,0.0023608272,"AB"
"15","SW",181,109.70958186099,1.59581506029399,0.049045333,0.0045739457,"B"
"16","SW",375,106.613320056526,1.84096156249495,0.1115045689,0.0119923415,"AB"
