"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,12.8075010800045,0.316113272247884,0,0,"A","a"
"2","AK",97,14.7657998818208,0.348745683372735,97,0,"B","a"
"3","AK",181,14.9766942436353,0.447411160374588,181,0,"B","a"
"4","AK",375,15.0294281241407,0.448992833491754,375,0,"B","a"
"5","KL",0,13.7303168273413,0.317430806784086,0,0,"A","a"
"6","KL",97,15.4785033918074,0.252367120823114,97,0,"B","a"
"7","KL",181,15.3499928556377,0.367076370746322,181,0,"AB","a"
"8","KL",375,15.2245230885406,0.179777223344453,375,0,"AB","a"
"9","OS",0,9.43264501405776,0.165285862377289,0,0,"A","b"
"10","OS",97,10.3143498910491,0.245559803963493,97,0,"AB","b"
"11","OS",181,10.6066528983727,0.188351338327343,181,0,"B","b"
"12","OS",375,10.8555895933955,0.080861942670078,375,0,"B","b"
"13","SW",0,11.0010088754727,0.176519101851449,0,0,"A","c"
"14","SW",97,11.5796372517241,0.206725655642119,97,0,"A","c"
"15","SW",181,10.8689773840382,0.282058064869481,181,0,"A","b"
"16","SW",375,11.5445014347545,0.248436702897830,375,0,"A","b"
