"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,0.956,0.178117938456518,14,0,"A","a"
"2","AK",97,2.004,0.0786511284089428,97,0,"B","a"
"3","AK",181,3.49,0.212344060430237,181,0,"C","a"
"4","AK",375,2.028,0.110562199688682,375,0,"B","a"
"5","KL",14,1.57,0.587310253046321,14,0,"A","a"
"6","KL",97,2.716,0.275328894233787,97,0,"A","ab"
"7","KL",181,2.052,0.105801701309573,181,0,"A","b"
"8","KL",375,2.84,0.216956216781174,375,0,"A","ab"
"9","OS",14,1.29,0.263039920924562,14,0,"A","a"
"10","OS",97,2.85,0.0671565335615233,97,0,"B","b"
"11","OS",181,2.742,0.176306551211236,181,0,"B","ab"
"12","OS",375,2.638,0.098305645819556,375,0,"B","b"
"13","SW",14,1.6,0.314298159926738,14,0,"A","a"
"14","SW",97,4.908,0.361488589031521,97,0,"B","c"
"15","SW",181,5.89,0.484138409961449,181,0,"B","c"
"16","SW",375,4.394,0.421017814349939,375,0,"B","b"
