"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,13.402,3.00016232894155,14,0,"AB","a"
"2","AK",97,8.212,0.75803298081284,97,0,"A","a"
"3","AK",181,10.362,0.973973305589019,181,0,"A","a"
"4","AK",375,19.202,0.86140814948548,375,0,"B","a"
"5","KL",14,15.65,5.80770465272928,14,0,"A","a"
"6","KL",97,24.098,0.821677552328162,97,0,"A","bc"
"7","KL",181,18.49,2.11745838211758,181,0,"A","abc"
"8","KL",375,23.044,1.94970664460067,375,0,"A","a"
"9","OS",14,11.654,2.01347858195711,14,0,"A","a"
"10","OS",97,19.436,1.06560123873802,97,0,"A","b"
"11","OS",181,16.99,0.538460769230219,181,0,"A","b"
"12","OS",375,21.108,2.82364905751405,375,0,"A","ab"
"13","SW",14,13.1225,2.60232708359268,14,0,"AB","a"
"14","SW",97,33.66,3.07165264963342,97,0,"C","c"
"15","SW",181,24.012,0.954098527406892,181,0,"AC","c"
"16","SW",375,12.302,0.96421678060486,375,0,"B","b"
