"","type","harvest","pca1","pca1.error","pca2","pca2.error"
"1","AK","0","-0.639788464664433","0.285158769791323","1.30615510744444","0.224404167991373"
"2","AK","2","-1.15568845088709","0.332755926826374","-0.603194948749069","0.550177845260259"
"3","AK","6","-0.894342485350478","0.181141469167522","-1.35905467399615","0.3903297686536"
"4","AK","15","-0.869694319364589","0.287431505952985","-0.488969325468247","0.718236235074211"
"5","KL","0","-0.639788464664434","0.0808952074844168","1.30615510744444","0.234245229295996"
"6","KL","2","0.231828340059442","0.300052757370408","-1.08816128613874","0.427023047787002"
"7","KL","6","0.529982888878942","0.507292782778079","-1.5383888762096","0.106868667873283"
"8","KL","15","0.687411546833275","0.29400184927069","-0.818261143780079","0.183201221331229"
"9","OS","0","-0.639788464664434","0.493461861183823","1.30615510744444","0.0783818934750853"
"10","OS","2","-0.712231057376503","0.432079434154781","0.105903687127335","0.269102003129057"
"11","OS","6","0.189402969591612","0.328853755285018","-0.21327818828802","0.228820282705519"
"12","OS","15","0.137978400143888","0.294949477946896","0.380763028871415","0.269584397792276"
"13","SW","0","-0.639788464664434","0.0945140457273574","1.30615510744444","0.0567110550235826"
"14","SW","2","0.496461155010839","0.445663466439166","0.494602155913434","0.260109564146028"
"15","SW","6","1.97579371499557","0.267127337953179","0.806842533601376","0.297680380391722"
"16","SW","15","1.84598256550397","0.637857456004402","-0.0951644549170323","0.245308845929438"
