"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,5.3899252942124,1.10012994835734,14,0,"AB","a"
"2","AK",97,3.71910641755224,0.109863270111277,97,0,"A","ab"
"3","AK",181,8.07922638676692,0.476392944152487,181,0,"B","a"
"4","AK",375,3.59017184104894,0.148324106969436,375,0,"A","ab"
"5","KL",14,11.0962597341416,6.81743652415304,14,0,"AB","a"
"6","KL",97,3.26679254690373,0.138346742714104,97,0,"A","a"
"7","KL",181,5.6970339830014,0.238652226839995,181,0,"B","b"
"8","KL",375,3.88392087131613,0.124766134143671,375,0,"A","ab"
"9","OS",14,7.88582109504898,3.06190233304171,14,0,"AB","a"
"10","OS",97,4.21364759345344,0.145378797004057,97,0,"A","b"
"11","OS",181,6.52797673440723,0.234279072741216,181,0,"B","ab"
"12","OS",375,4.29139524665467,0.141425687951283,375,0,"A","a"
"13","SW",14,9.03065410295874,2.02585703208534,14,0,"A","a"
"14","SW",97,2.41853269641293,0.414797140757794,97,0,"A","ab"
"15","SW",181,3.75166931152889,0.0997953357542738,181,0,"A","c"
"16","SW",375,3.20462696316257,0.151539927125537,375,0,"A","b"
