2.42,3.19,3.72,3.99,5.34,5.44,6,6.07,6.33,6.67,6.76,6.9,7.06,7.7,7.79,8.2,8.78,9.33,9.81,9.98,10.11,10.35,10.72,11.09,11.4,11.63,11.72,12.07,12.4,12.62,12.82,13.26,14.07,14.19,14.34,14.45,14.78,14.9,15.4,15.83,16.55,16.82,16.97,17.12,17.36,17.74,17.87,18.27,18.92,19,20.2,20.4,20.51,20.96,21.02,21.14,21.47,21.64,21.96,22.15,22.23,22.49,22.73,22.87,23.21,23.36,23.91,24.07,24.53,24.71,25.2,25.26,26.06,26.12,26.24,26.56,26.96,26.81,26.89,26.99,27.12,27.37,27.41,27.68,27.84,28.3,28.43,28.51,28.59,28.93,29.03,29.68,29.88,30.2,30.47,30.63,30.85,30.91,31.33,32.05,33.68,34.08,36.92
"E1-AK-0-A",673081579,8932295,121839343,69612442,8419654,4079862,3316781,3775345,23610199,10135490,659121,68803794,125847664,408890,3050434,1326596,1694992,16045138,16321193,2768447,6085906,7047024,3192250,3576321,5706181,49526809,2933117,17808198,595111,2591988,4761461,23235017,10140952,1985205,9678339,1335366,5151343,4660202,4336207,37941297,29655428,36998441,2219121,2282572,4335980,5888959,36521304,2582236,9467012,12217297,15335374,2864727,49015916,1332191,16412049,33817516,5315071,2091284,48387039,97002325,2722726,3045092,6648441,39407494,15291619,23686486,149491415,7467295,5170663,1292196,11755200,4237519,24990951,7999936,2706789,37462041,97949595,7374083,656127,4571887,10590590,16128211,19542808,8811699,3296514,118586894,19136267,4018524,6423581,2077691,7810427,21294035,1765923,3326864,3121644,1617970,4755386,860827,21127068,10825593,7389834,792813,3180994
"E1-AK-0-B",758320946,9608651,26038404,47672604,5814624,4909161,3657423,4598973,27458747,9578392,794947,22839747,204992485,479034,2932744,2288040,2062205,10793965,21316068,1795138,5611633,8309624,3796994,5017849,4637005,59735663,3945089,17869473,1027096,2961215,6660314,30345817,11977412,2295296,14112220,1461222,4461969,6021882,6835345,42377906,41270483,52393103,3086458,2990136,4649781,8309378,40194858,3266172,18424428,16874535,23116900,3152453,75277537,1617282,20606240,42108561,6695096,3130393,62542958,133482581,3940038,3961908,8600103,43930935,17937488,27841261,193968040,9948705,6223620,2261451,14608452,5961466,31930365,13484423,4548931,98317156,108493379,8963516,691154,3437389,14876034,14998248,22091690,11823583,4662147,134953132,24631286,3710081,9248824,1986859,9961021,14386625,3527209,3791064,6222628,2877696,4373538,774378,23476104,12367396,8000774,1096924,3517085
"E1-AK-0-C",706807260,11214701,261205376,33698752,4877890,4212171,3307828,3640026,22503959,8222634,677017,180784467,184862606,424665,2760674,2284667,1823828,7651327,20281014,2321235,4933931,7070544,3330628,4648985,4021844,45116068,3421176,15063585,1085613,2413392,5449648,22805703,10716156,2069907,10048580,1365645,4251458,5343651,5977123,33866015,36212310,44022034,3151708,2630535,4094597,7862907,33382075,2744197,9982829,12668940,19959214,2561492,47280127,1348734,18403932,34373587,5398442,2568794,55938445,115030421,3171504,3607335,6935769,37361456,14671554,20071323,177630757,8258887,4956139,1813180,12879416,5410234,24304307,10386239,3829212,97921032,91024268,8240997,625374,3434318,10354761,12793872,15073579,8967945,3860999,116488400,21425572,3227276,5981814,1880586,9219371,13146851,1727382,3379388,6929745,1847586,3852618,587457,20866125,10182342,6800202,915015,3182302
"E1-AK-0-D",833567533,11118823,81290270,56928189,5851683,5050314,4001366,4551497,26481549,10225103,764283,66781972,205393071,534721,3080715,1581337,2165480,14676649,20829105,2527772,6757522,8897777,3931640,4603313,5424915,61342122,3662271,19701855,1127634,3053966,6225389,31997967,12260158,2405899,13927183,1580970,5020106,5948603,5551103,44244276,38537758,50943592,2883564,3285920,4643292,7955759,43640211,3275892,19027248,17822455,21458039,3300718,83177263,1594413,21960666,42986512,6630965,3109226,61741174,136904446,3875837,4166214,8229267,49636478,19024279,31491235,203783924,9404719,6670774,2145289,15062828,6332022,31168511,12933059,4860394,82839837,111117682,10438662,852999,3686366,15604090,15264819,25286369,11202790,4847593,152629567,22565555,3622847,9461543,1900135,10687694,13668847,1328364,4239482,8640610,3227044,4242939,590975,26704103,13523210,9149114,1155122,3952459
"E1-AK-2-A",1118265453,14082309,83881506,83907244,4988882,6148859,6613668,8199002,7052740,10158815,585510,56847054,129578999,532587,1558654,2947645,2276235,18175394,22612242,1675542,14137559,13723204,4273621,3385234,10200644,102654937,3368173,33219348,189227,2925947,5774672,32784606,16785837,2313057,18575512,1646565,2817765,7291178,4991324,83496602,48355739,56669137,1660825,3271244,2185385,9510438,58776433,3906703,6507286,13722012,29073266,6789747,86328038,2650654,24321317,58943904,12913673,2964024,47901988,176015226,5675142,3718596,7304253,34049183,9695349,48206384,217918945,18263890,9012108,3293384,12991113,5985008,31283975,21631340,3116301,79276487,96886674,13555381,1296421,1166108,17671940,6020088,21262531,10381699,3954094,172141340,23525383,1542694,12582867,1035931,12188316,8481477,338231,4838805,3631096,4874321,2924849,95079,26795392,11003720,7901949,907843,3229746
"E1-AK-2-B",874116580,12955891,257595321,54414421,5290490,4527684,3943470,5379365,20763551,9985994,628742,203650172,223032673,418650,2819637,1758233,1858187,10232764,23349954,2223208,7119896,9041899,3365607,5307246,5921465,63712431,4150374,22103482,931250,2534203,7241937,32652530,11310208,1350976,13079632,1381195,5435017,7923113,7028341,47193930,44198951,54317562,2963780,3389404,5065103,8858621,48788417,3380443,19312900,20060431,25061209,3897175,87412311,1789772,22434618,43946609,7791610,3064537,62527240,132348103,4432326,3868855,5860279,54231037,20484564,32775442,212183494,11207339,6796599,2646348,15181987,6057539,31936746,16065550,5484487,118555031,95444398,12347086,1048772,3227737,16462843,14188338,26115562,11880296,4583635,161607572,21403025,3168107,10702030,1755171,12482130,11983282,1761125,4571696,9403054,3666546,3958586,489186,28204350,13618389,9282662,1297846,4121102
"E1-AK-2-C",1369793802,15100227,81936588,86652084,6185078,8143887,6328072,7718351,16617287,13524201,1175298,66229898,250986424,590901,3010059,2546816,2787029,15812390,35839459,3009567,12589955,14968246,5012455,7549176,9685702,102553628,5771000,34125453,598063,3611617,9798471,44661568,19359264,2346581,23962018,1904309,5395617,10700537,13147721,78702262,78536927,84851940,4277476,4440866,5023926,15175065,74216803,4784057,15157410,24327403,47000089,6338865,123529789,3205283,27777207,77336656,15087313,4975840,91872082,226258931,8583680,4381337,9560279,72588987,24768400,56470619,260958561,20840028,11489717,4580924,22758708,7005556,41057937,28067678,5898144,78175675,126829893,16816162,1588578,2794985,23579378,12880049,30267414,15835168,6217410,239194629,33453609,3334156,16097673,2006632,15710204,15604647,1084629,6396203,10379776,6367269,4786111,346484,38809933,17866119,12267494,1755146,4806078
"E1-AK-2-D",1057204985,12720270,97263869,94563376,5830047,5889379,7873522,6652537,17746959,12650691,829620,71831246,214319442,513735,2849898,2297127,2367717,14813594,21775286,3066412,10425436,11510550,4186813,3955263,9847013,81545632,3493832,34634787,463093,3320068,5712076,36811414,15571911,1841713,17831052,1582430,5320152,6637231,6477752,70473244,46372693,60904727,2563295,3580080,5352504,9890707,58111738,3997502,19481910,18365512,28508715,5671355,98866181,2273967,24180687,61124065,11482134,3849920,66717751,169660343,5495074,3697148,6862482,56193298,19841876,48811442,226065727,16219065,9845028,3271609,17615152,6321751,37930739,20743883,4693809,86034092,111897740,13580341,1256857,2610037,20570794,12215872,28998128,14497345,5142479,199126321,25832038,2989762,14371583,1644329,14001004,13387956,829288,5492894,6798629,4631791,4546787,322953,34214457,15662996,10330880,1437793,4165694
"E1-AK-2-E",912652569,11107691,143638842,64896956,4793445,4901701,4691604,5669788,11603746,10948245,707461,101301395,187105868,441595,2484383,1882266,2034967,8883904,20620472,3232460,9221739,9861068,3656592,3684104,7905388,65977785,3200764,26569662,449241,2682383,4965491,28987758,13765713,1479070,15048314,1417998,4598476,8264612,5682094,58114631,43820637,55570264,2418440,3031718,4293604,9295982,47247432,3351239,8815034,14649975,26882299,4671588,68622077,2048175,20433646,50716780,10246962,3356807,59862026,149351251,4852228,2873272,6019890,41162128,14107665,35123809,183300153,13530029,7628755,2980520,14557881,4894824,27384715,18987210,3896415,59395679,87387199,11679541,1096200,1842224,14500055,8757171,17805555,10535013,4049563,155324053,22674193,2127067,9914370,1421712,10903264,10035519,735373,4466614,7194048,3167892,3335299,246299,25732209,11874113,7743796,1140968,3331999
"E1-AK-3-A",1295834146,14250090,40893817,87071840,7001127,8100759,5998103,6498484,14577497,14299998,1089165,45128459,274253040,557893,3304523,2584939,2534498,13031242,31267334,3001809,12311190,13825167,4472614,6026224,9698226,89537600,5139820,33844829,782884,3208898,7869829,41144142,18229428,2209672,24497418,1634723,6283962,7844619,10240969,74011350,70082962,89126940,3940910,4197716,6068530,13413023,64828646,4506381,12246384,21181719,44171727,6352750,108332780,3049524,23357804,77753937,14176181,5430724,94031185,230049520,7320881,3808015,8388087,59069788,20205839,53132200,212489703,20212810,10502024,4950380,20651066,5928871,43414578,30194893,6517026,66871157,130416840,14010459,1393995,2923986,23200512,13797363,28716389,16856689,6192485,215726784,35276951,3238381,16207212,2020803,13166913,16307421,1319858,5154857,13917103,6125641,4452079,424740,32781042,17638172,10209688,2019267,4234977
"E1-AK-3-B",1031825434,11323827,56887338,54488462,5459261,6500960,4502882,5040298,13404560,11479968,941619,43283160,218996283,470100,2934973,1863290,2012618,6675780,26194057,3219202,7262701,10201355,3528879,5181972,6051252,70848582,4085490,23469085,738953,2665574,6271521,35384795,13396802,1526536,16580088,1297899,5313561,6367221,9692031,60975453,59838994,73701164,3638369,3633175,5454323,11660474,55384692,3786815,8210914,20867066,35868754,4590521,68239050,2195158,18716349,56262100,10815231,4552399,79721292,177923434,6111007,3019219,6401348,56366581,20427202,42395373,167561740,15039380,8519046,3936554,16062868,4844493,33331661,23208176,5882908,65223192,105769274,11249825,1078996,2826459,17217340,13327479,23979407,12414718,5050656,182999673,25223961,2858440,11128131,2004848,11053945,14894632,1449993,4085397,10200117,2950687,3746240,460984,25026888,13567621,7604984,1443696,3241596
"E1-AK-3-C",963907359,11974384,79097587,51630117,5482942,5489100,4877435,5724185,21479141,10637009,979911,69622301,242234726,500367,3254989,2083508,2038472,8610448,30358495,2268282,7882845,10529598,3644926,7350667,5994989,76044448,5351871,24407592,1191138,2715695,9193497,39013184,13121622,1735300,15838527,1307616,5826430,6334951,12615073,59141702,64579646,61470071,4048639,4025457,5942561,11648274,56504495,4050740,11672719,23749105,36711511,4505989,78143425,2309660,21677658,49620818,10335686,4100489,75186104,155465649,6378380,3736948,5645461,58922741,23509193,37430377,207282816,15493714,8175467,3945313,16084999,6007170,35581329,22992012,6160060,130086144,108420300,11773423,1030627,3557706,19403265,15796703,26716690,13640950,5882260,168611203,24346682,3488802,12326416,2022747,12837879,15885674,1815934,4355613,10175519,4080961,3927939,655721,28244520,13947263,8637495,1504615,3636749
"E1-AK-3-D",1270294076,15513165,20989625,111993182,7898641,8296341,7812804,8305359,13050109,17763749,1035277,19905038,256353216,665382,3543825,3833730,2917862,16257721,34250655,2867142,14928594,16356393,5110099,6386335,12861918,120188751,5876471,42176250,480089,3862546,9364180,49945300,21424580,2769831,27315462,1925168,6992566,8130079,8267781,93822913,65753846,90624804,3387399,4700188,6366641,13833208,72254616,5154331,10502693,20664287,42329600,8189836,112977713,3266167,26355526,86279637,15976853,5343740,92057804,253972866,7252415,4402424,8710293,58290159,19387964,62435069,241642880,20774608,11992433,4651047,20916533,6814054,45019063,28793305,5437624,109689873,139318627,15562803,1503454,2359928,24263384,12421970,28803950,16990091,6000300,246027454,36431078,2896656,16455173,1788508,15547036,15869196,717928,5343558,9385236,6396992,4580775,337091,33443941,18693110,10106982,1728362,3905962
"E1-AK-3-E",758957068,12058246,244647722,54429622,4155646,4740369,4029006,4397066,8389784,10415937,556015,184906353,169476244,410896,2224522,1652644,1627468,6647130,18446697,3335118,8637973,8680843,2881089,3221970,7959949,49687012,2869309,26013114,380037,2126702,4268705,21738000,10987382,1408267,12388730,1066117,4435208,4658151,4069581,46651506,35775643,47837792,2007473,2366071,5388080,7796716,39014095,2670909,5026354,10987061,22692519,3864871,50172324,1968156,13702210,41093076,8904184,2904290,48838562,125316175,3744250,2458115,4017551,25460840,8727771,25575182,122126554,11361397,5603729,2666903,9766833,3447059,20892155,16223899,2958566,56868672,66246321,8150967,751893,1322686,11334804,6359142,11937363,8059832,3187314,113791319,18663200,1622158,7455837,1067579,8235330,7861282,503202,2891225,6567303,2341829,2388903,191709,18312057,8593416,5618322,914956,2474527
"E1-AK-4-A",1669642612,20183941,12791296,137150492,8415689,14275354,11772207,9917365,12219752,20826941,1300289,17530614,280952198,862825,3252858,5248935,3672266,26269388,34699196,2811112,21956043,21136940,6545281,4406989,19339232,137049364,4725068,60645435,315428,4894817,6882797,47033597,30878215,4595971,42409806,2319186,6778143,13900321,7373661,143883948,73164411,118552407,2863198,5231563,5631597,16301666,78478123,6044182,13878816,17436847,52077222,12826627,156093256,4494797,32119013,130227950,23130615,6362133,105942180,398650008,9192019,4871747,12380426,50332820,14472209,88253317,291980586,30911385,15619794,6434026,25235762,8500323,55324840,39821279,5628230,80332258,170964141,19842740,2286682,1958767,28567661,10070217,28107090,22147887,7247506,310815169,58241851,2918311,23691577,1911749,19352903,17897312,578669,7355103,10456008,8929178,5543038,235204,49085996,19868076,14507957,2203675,6142655
