"RT";"name";"formula";"MW";"type";"code";"m/z";"checked"
22.73;22.73;"Nonanedioic acid, dimethyl ester";"C11H20O4";216;"sh";;"152+198";"ok"
22.87;22.87;"Benzene, 1,3,5-trimethoxy-";"C9H12O3";168;"ar";;"139+168";"ok"
23.21;23.21;"2,4,6-Trimethoxytoluene";"C10H14O3";182;"ar";;"167+182";"!!"
23.36;23.36;"Benzeneacetic acid, 4-methoxy-, methyl ester";"C10H12O3";180;"ar";;"121+180";"ok"
23.91;23.91;"9-Hexadecanoic acid, methyl ester";"C17H34O2";270;"fa";"16:0fa";"74+87";"ok"
24.07;24.07;"1,2-Dimethoxy-4-(2-methoxyethenyl)benzene";"C11H14O3";194;"g";;"179+194";"ok"
24.53;24.53;"Benzenepropanoic acid, 4-methoxy-, methyl ester";"C11H14O3";194;"ar";;"121+194";"ok"
24.71;24.71;"isoelemicin (1,2,3-trimethoxy-5-(2-propenyl)-benzene";"C12H16O3";208;"sy";"S3:1";"193+208";"ok"
25.2;25.2;"1,2,3,4-Tetramethoxybenzene";"C10H14O4";198;"ar";;"183+198";"!!"
25.26;25.26;"Heptadecanoic acid, methyl ester";"C18H36O2";284;"fa";;"74+87";"ok"
26.06;26.06;"Benzaldehyde, 3,4-dimethoxy-";"C9H10O3";166;"g";"G1=O";"165+166";"ok"
26.12;26.12;"Isoelemicin";"C12H16O3";208;"sy";;"193+208";"ok"
26.24;26.24;"3,4-dimethoxy-benzoic ac., ME";;196;"g";;"165+195";"ok"
26.56;26.56;"Octadecanoic acid, methyl ester";"C19H38O2";298;"fa";"18:0fa";"74+87";"ok"
26.96;26.96;"Benzoic acid, 3,4-dimethoxy-, methyl ester";"C10H12O4";196;"g";"G-COOH";"165+196";"ok"
26.81;26.81;"9(11?)-Octadecenoic acid (Z)-, methyl ester";"C19H36O2";296;"fa";"18:1 fa";"74+87";"ok"
26.89;26.89;;;;"u";;"177+208";"?"
26.99;26.99;"1,2-Dimethoxy-4-(2-methoxy-1-propenyl)benzene";"C12H16O3";208;"g";;"193+208";"ok"
27.12;27.12;"2,4-Dimethoxyacetophenone";"C10H12O3";180;"g";"G2=O";"165+180";"ok"
27.37;27.37;"1,2-Dimethoxy-4-(2-methoxyethenyl)benzene";"C11H14O3";194;"g";"G2=O";"179+194";"[double]"
27.41;27.41;"Benzeneacetic acid, 3,4-dimethoxy-, methyl ester";"C11H14O4";210;"g";"G1-COOH";"151+210";"ok"
27.68;27.68;"3,4,5-Trimethoxybenzaldehyde";"C10H12O4";196;"sy";"S1=O";"181+196";"ok"
27.84;27.84;;"C11H14O3";194;"u";;"191+206";"?"
28.3;28.3;"2-Propenoic acid, 3-(4-methoxyphenyl)-, methyl ester, (E)-";"C11H12O3";192;"ar";;"161+192";"ok"
28.43;28.43;"Benzoic acid, 3,4,5-trimethoxy-, methyl ester?";"C11H14O5";226;"sy";"S-COOH";"211+226";"ok"
28.51;28.51;"1,2-Dimethoxy-4-(3-methoxy-1-propenyl)benzene";"C12H16O3";208;"g";;"177+208";"ok"
28.59;28.59;"3,4,5-Trimethoxyacetophenone";"C11H14O4";210;"sy";;"195+210";"ok"
28.93;28.93;"Benzene, 1,2,3,4-tetramethoxy-5-(2-propenyl)-";"C13H18O4";238;"ar";;"223+238";"ok"
29.03;29.03;"Eicosanoic acid, methyl ester";"C21H42O2";326;"fa";"20:0fa";"74+87";"ok"
29.68;29.68;"2,3,4,6-Tetramethoxystyrene";"C12H16O4";224;"ar";;"209+224";"!!"
29.88;29.88;"N?";;;"u";;"181+222";"?"
30.2;30.2;"Heneicosanoic acid, methyl ester";"C22H44O2";340;"fa";"21:0fa";"74+87";"ok"
30.47;30.47;"Benzoic acid, 3,4,5-trimethoxy-, methyl ester";"C11H14O5";226;"sy";;"211+226";"ok"
30.63;30.63;"3-(3,4-Dimethoxyphenyl)-1-propanol";"C11H16O3";196;"g";;"151+196";"!!"
30.85;30.85;"1,2-Dimethoxy-4-(1,3-dimethoxy-1-propenyl)benzene";"C13H18O4";238;"g";;"207+238";"ok"
30.91;30.91;"1,2-Dimethoxy-4-(2,3-dimethoxy-1-propenyl)benzene";"C13H18O4";238;"g";;"211+238";"?"
31.33;31.33;"Docosanoic acid, methyl ester";"C23H46O2";254;"fa";"22:0fa";"74+87";"ok"
32.05;32.05;"2-Propenoic acid, 3-(3,4-dimethoxyphenyl)-, methyl ester";"C12H14O4";222;"g";;"191+222";"ok"
33.68;33.68;"Tetracosanoic acid, methyl ester?";"C25H50O2";382;"fa";;"74+87";"?"
34.08;34.08;"2-Propenoic acid, 3-(3,4,5-trimethoxyphenyl)-, methyl ester";"C13H16O5";252;"sy";;"252+237";"ok"
36.92;36.92;"FA?";;;"fa";;"74+87";"?"
